iteration	mean	std_dev	min	max	median
250000	317.066	133.594	50.000	950.000	300.000
500000	451.812	152.980	100.000	1000.000	450.000
750000	940.842	248.933	200.000	1800.000	950.000
1000000	1150.673	242.947	500.000	1850.000	1150.000
1250000	1338.550	305.832	650.000	2700.000	1250.000
1500000	1902.736	702.469	450.000	3300.000	1600.000
1750000	1956.410	677.361	250.000	3300.000	1800.000
2000000	1814.750	697.366	300.000	3400.000	1600.000
2250000	1928.649	626.717	550.000	3400.000	1950.000
2500000	2084.132	712.256	700.000	3700.000	2300.000
2750000	2272.222	746.928	400.000	4600.000	2500.000
3000000	2751.049	597.561	500.000	4200.000	2800.000
3250000	1840.761	982.522	100.000	3700.000	1600.000
3500000	2309.451	756.911	400.000	3700.000	2600.000
3750000	2826.224	573.415	800.000	5100.000	2800.000
4000000	3002.985	551.685	1050.000	4800.000	3000.000
4250000	2571.622	819.075	700.000	4300.000	2800.000
4500000	2468.182	951.619	300.000	4100.000	2800.000
4750000	3033.083	554.845	300.000	4700.000	3100.000
5000000	3017.037	499.079	350.000	4000.000	3000.000
5250000	3075.954	705.711	300.000	5600.000	3200.000
5500000	3173.949	1017.284	1100.000	5700.000	3200.000
5750000	3536.842	1367.593	900.000	7900.000	3500.000
6000000	3856.757	1146.626	1250.000	6900.000	3800.000
6250000	3515.086	1490.273	250.000	7200.000	3800.000
6500000	4745.506	1424.202	350.000	9500.000	4700.000
6750000	3643.421	1793.220	350.000	8500.000	3600.000
7000000	5048.276	1413.816	2150.000	10300.000	4800.000
7250000	4398.000	1738.058	350.000	8900.000	4200.000
7500000	5292.857	1979.044	1700.000	12300.000	5250.000
7750000	5468.292	2262.183	600.000	12900.000	5500.000
8000000	3830.093	1875.030	350.000	8300.000	3800.000
8250000	4931.720	2481.705	800.000	12500.000	4800.000
8500000	4963.979	2439.817	1200.000	11700.000	4400.000
8750000	5173.295	2361.155	750.000	12900.000	5100.000
9000000	6456.962	2596.318	650.000	16100.000	6300.000
9250000	5773.214	2304.323	1450.000	13700.000	5600.000
9500000	5193.976	2344.917	300.000	12700.000	5200.000
9750000	6095.679	2425.306	1850.000	13300.000	6000.000
10000000	6681.081	2427.513	1800.000	12100.000	6300.000
10250000	7114.384	3397.788	600.000	21400.000	6500.000
10500000	5869.048	2852.369	1250.000	13500.000	5400.000
10750000	7474.648	3356.588	1700.000	15300.000	6800.000
11000000	6354.605	2384.188	1200.000	13500.000	6200.000
11250000	7195.139	3241.315	1600.000	15300.000	6850.000
11500000	6329.729	3013.852	1600.000	14100.000	6050.000
11750000	5979.487	4105.136	850.000	17800.000	5050.000
12000000	8436.765	3739.019	1100.000	19000.000	8100.000
12250000	8450.770	3088.695	2100.000	16900.000	8300.000
12500000	8139.231	3348.002	1800.000	16700.000	7700.000
12750000	8530.000	3555.719	1450.000	19900.000	8500.000
