iteration	mean	std_dev	min	max	median
250000	8.397	6.011	0.000	34.000	7.000
500000	8.446	4.132	2.000	33.000	7.000
750000	27.790	49.159	9.000	396.000	19.000
1000000	36.878	59.378	11.000	395.000	25.000
1250000	58.341	78.554	10.000	405.000	38.000
1500000	70.086	82.925	15.000	369.000	43.000
1750000	77.070	104.565	12.000	392.000	38.000
2000000	117.610	117.893	21.000	400.000	64.000
2250000	138.969	117.759	28.000	397.000	77.500
2500000	88.745	72.243	24.000	401.000	68.000
2750000	158.793	106.979	32.000	393.000	116.500
3000000	150.000	115.659	17.000	402.000	101.500
3250000	174.096	101.671	31.000	376.000	135.000
3500000	283.627	86.102	73.000	405.000	313.000
3750000	225.370	124.126	21.000	413.000	239.000
4000000	216.310	132.060	24.000	421.000	212.000
4250000	255.051	121.683	25.000	420.000	290.500
4500000	312.095	95.957	35.000	420.000	346.000
4750000	334.192	99.214	44.000	441.000	362.500
5000000	299.951	105.321	76.000	437.000	339.000
5250000	356.692	59.781	235.000	433.000	377.000
5500000	347.328	82.078	29.000	433.000	368.000
5750000	277.209	113.093	60.000	428.000	312.000
6000000	355.552	63.484	98.000	431.000	373.500
6250000	384.491	74.217	111.000	766.000	390.000
6500000	376.609	50.548	103.000	424.000	388.000
6750000	192.013	145.029	6.000	426.000	128.000
7000000	332.672	105.872	28.000	447.000	368.500
7250000	329.362	116.006	16.000	446.000	381.500
7500000	347.152	89.163	76.000	431.000	381.500
7750000	350.636	94.368	68.000	424.000	384.000
8000000	368.290	91.029	51.000	445.000	400.000
8250000	354.436	92.777	49.000	433.000	397.000
8500000	341.931	90.576	74.000	428.000	372.500
8750000	383.550	40.823	219.000	432.000	399.500
9000000	290.882	122.186	31.000	422.000	322.000
9250000	400.542	38.261	211.000	443.000	412.000
9500000	408.700	19.601	374.000	437.000	409.000
9750000	382.690	54.714	130.000	433.000	397.500
10000000	373.837	86.948	21.000	430.000	403.000
10250000	342.842	115.604	56.000	441.000	402.000
10500000	393.923	57.877	123.000	433.000	410.000
10750000	399.667	42.416	295.000	451.000	412.000
11000000	443.875	124.909	359.000	772.000	404.000
11250000	384.905	59.492	160.000	464.000	394.000
11500000	375.867	85.486	121.000	433.000	409.000
11750000	329.667	109.362	56.000	424.000	379.500
12000000	399.900	28.742	336.000	440.000	402.000
12250000	380.875	58.844	107.000	428.000	403.500
12500000	382.300	101.808	83.000	431.000	423.500
12750000	342.341	88.342	41.000	431.000	364.000
13000000	408.606	24.499	328.000	433.000	415.000
13250000	375.100	51.654	226.000	425.000	387.500
