iteration	mean	std_dev	min	max	median
250000	13.418	30.215	1.000	141.000	2.000
500000	18.255	18.590	1.000	108.000	8.000
750000	45.550	32.000	2.000	128.000	34.000
1000000	35.418	20.301	11.000	109.000	33.000
1250000	60.373	37.907	13.000	157.000	48.000
1500000	96.406	29.821	40.000	208.000	101.000
1750000	106.384	34.446	53.000	240.000	100.000
2000000	135.152	37.825	68.000	258.000	139.000
2250000	178.270	57.160	57.000	351.000	168.000
2500000	144.829	58.586	66.000	301.000	135.000
2750000	172.737	70.193	58.000	447.000	158.000
3000000	168.201	41.432	93.000	354.000	158.000
3250000	211.238	61.147	118.000	394.000	199.000
3500000	149.019	52.389	39.000	268.000	152.000
3750000	184.202	84.279	69.000	437.000	143.000
4000000	227.058	57.793	128.000	466.000	238.000
4250000	208.055	58.948	71.000	404.000	210.000
4500000	222.647	66.496	104.000	454.000	211.000
4750000	250.892	45.631	121.000	375.000	251.000
5000000	238.440	65.022	97.000	357.000	258.000
5250000	256.562	67.457	145.000	453.000	256.000
5500000	197.886	87.719	47.000	456.000	207.000
5750000	238.473	90.010	116.000	498.000	235.500
6000000	273.288	69.018	125.000	455.000	243.000
6250000	264.894	60.267	155.000	482.000	264.000
6500000	221.241	50.725	120.000	573.000	234.000
6750000	287.570	74.342	139.000	434.000	271.000
7000000	210.614	62.576	102.000	383.000	200.000
7250000	249.662	59.586	125.000	485.000	233.000
7500000	256.104	57.903	118.000	406.000	252.000
7750000	251.097	74.957	129.000	433.000	237.000
8000000	301.405	96.180	125.000	483.000	324.000
8250000	316.722	75.208	166.000	490.000	300.000
8500000	261.445	63.960	129.000	472.000	237.000
8750000	308.908	80.768	146.000	577.000	277.000
9000000	316.022	78.733	125.000	485.000	334.000
9250000	298.776	100.195	135.000	587.000	324.000
9500000	319.141	53.505	159.000	438.000	327.000
9750000	359.584	111.780	125.000	576.000	376.000
10000000	392.393	110.664	151.000	681.000	421.000
10250000	413.310	88.006	186.000	635.000	432.000
10500000	403.113	161.532	82.000	666.000	426.000
10750000	406.658	171.438	104.000	783.000	384.000
11000000	355.831	114.999	148.000	683.000	379.000
11250000	412.276	159.571	131.000	731.000	432.000
11500000	351.952	206.222	133.000	777.000	245.000
11750000	443.106	106.656	124.000	733.000	443.000
12000000	427.796	189.769	149.000	829.000	453.000
12250000	545.940	147.763	153.000	781.000	566.000
12500000	527.860	153.310	139.000	877.000	524.500
12750000	580.633	94.200	261.000	733.000	584.000
13000000	410.113	120.878	186.000	773.000	374.000
