iteration	mean	std_dev	min	max	median
250000	44.519	45.442	2.000	141.000	8.000
500000	3.853	2.533	2.000	8.000	3.000
750000	40.649	13.457	13.000	87.000	34.000
1000000	50.653	11.529	34.000	84.000	45.000
1250000	77.785	27.360	47.000	128.000	73.000
1500000	68.602	11.771	40.000	123.000	76.000
1750000	117.756	42.685	53.000	192.000	131.000
2000000	128.438	45.420	68.000	250.000	138.000
2250000	230.461	49.498	119.000	351.000	252.000
2500000	202.742	63.986	125.000	301.000	185.000
2750000	233.512	76.284	119.000	447.000	251.500
3000000	163.922	37.482	125.000	265.000	138.000
3250000	217.855	32.430	143.000	309.000	209.000
3500000	164.951	25.377	109.000	259.000	160.000
3750000	268.132	86.587	116.000	437.000	306.000
4000000	274.810	48.509	161.000	466.000	300.000
4250000	244.370	33.548	210.000	404.000	254.000
4500000	238.675	34.411	170.000	368.000	255.000
4750000	232.711	29.184	204.000	354.000	236.000
5000000	268.151	41.749	118.000	357.000	267.000
5250000	275.171	76.292	153.000	453.000	256.000
5500000	145.466	67.302	47.000	335.000	133.000
5750000	248.594	125.440	116.000	498.000	259.000
6000000	266.316	60.118	187.000	418.000	236.000
6250000	260.382	41.131	190.000	368.000	271.000
6500000	182.901	40.895	120.000	282.000	175.000
6750000	298.974	54.641	154.000	433.000	328.000
7000000	189.459	24.250	151.000	309.000	182.000
7250000	239.058	37.160	164.000	384.000	233.000
7500000	295.200	62.082	225.000	383.000	285.000
7750000	250.152	87.797	129.000	385.000	280.000
8000000	347.540	53.666	166.000	435.000	365.000
8250000	344.862	79.841	203.000	481.000	314.500
8500000	278.741	61.097	137.000	383.000	269.000
8750000	319.884	106.310	220.000	577.000	237.000
9000000	316.412	85.196	196.000	440.000	334.000
9250000	316.326	85.968	135.000	431.000	324.000
9500000	337.205	60.933	201.000	421.000	381.000
9750000	346.580	100.360	223.000	576.000	340.000
10000000	440.642	60.734	284.000	577.000	433.000
10250000	421.658	50.370	334.000	578.000	432.000
10500000	307.600	175.329	82.000	577.000	377.000
10750000	418.070	52.850	326.000	635.000	424.000
11000000	440.413	122.369	168.000	683.000	432.000
11250000	356.306	179.055	131.000	680.000	253.500
11500000	339.989	191.403	163.000	732.000	199.000
11750000	489.058	79.713	225.000	733.000	483.000
12000000	556.176	163.310	205.000	829.000	508.000
12250000	682.500	106.040	153.000	781.000	678.000
12500000	669.576	102.540	433.000	877.000	685.000
12750000	622.667	100.943	261.000	733.000	628.000
13000000	334.207	103.334	186.000	773.000	333.000
13250000	583.262	65.094	371.000	684.000	585.000
13500000	401.776	258.461	109.000	778.000	629.000
13750000	355.619	146.032	94.000	582.000	438.000
14000000	452.535	203.753	133.000	780.000	529.000
14250000	509.313	101.056	383.000	684.000	483.000
14500000	439.986	162.517	245.000	878.000	366.000
14750000	673.896	55.908	483.000	782.000	683.000
15000000	413.185	164.764	200.000	830.000	356.000
15250000	504.409	67.231	271.000	682.000	532.000
15500000	534.515	188.204	136.000	780.000	585.000
15750000	593.362	216.630	190.000	830.000	730.000
16000000	567.314	230.588	138.000	879.000	499.000
16250000	563.736	223.675	249.000	830.000	677.000
16500000	544.291	270.399	122.000	1077.000	682.000
16750000	614.431	213.630	274.000	925.000	566.000
17000000	580.292	236.524	169.000	926.000	678.000
17250000	564.610	186.891	173.000	879.000	631.000
17500000	704.525	116.448	174.000	780.000	731.000
