iteration(key)	values
250000 (returns)	9400.000	7100.000	4400.000	9400.000	9400.000	9400.000	12700.000	4200.000	9400.000	7100.000	9400.000	4400.000	4200.000	4400.000	7100.000	9400.000	4400.000	4200.000	9400.000	9400.000	9400.000	7100.000	4400.000	7100.000	4200.000	4400.000	7100.000	4400.000	7100.000	4400.000	9400.000	9400.000	9400.000	4400.000	4400.000	4200.000	4400.000	7100.000	4400.000	4400.000	4200.000	9400.000	7100.000	7100.000	9400.000	4200.000	7100.000	4200.000	7100.000	4200.000	9400.000	7100.000	9400.000	9400.000	4200.000	9400.000	4200.000	7100.000	4200.000	4400.000	4400.000	7100.000	4400.000	9400.000	9400.000	9400.000	4400.000	7100.000	9400.000	7100.000	9400.000	7100.000	9400.000	4400.000	4200.000	7100.000	9400.000	4400.000	7100.000	4400.000	4400.000	7100.000	4400.000	4400.000	4200.000	9400.000	4400.000	9400.000	7100.000	4400.000	4200.000	4400.000	4400.000	9400.000	9400.000	4400.000	4400.000	4400.000	7100.000	7100.000	9400.000	4200.000	4400.000	9400.000	7100.000	7100.000	9400.000	9400.000	9400.000	9400.000	9400.000	7100.000	4200.000	4200.000	7100.000	9400.000	4400.000	4200.000	9400.000	4200.000	4200.000	7100.000	7100.000	7100.000	4200.000	9400.000	11700.000	4400.000	9400.000	7100.000	9400.000	4400.000	7100.000	7100.000	4400.000	4200.000	7100.000	4400.000	4400.000	4400.000	9400.000	4200.000	7100.000	4200.000	9400.000	4400.000	9400.000	4400.000	4400.000	4400.000	4200.000	9400.000	7100.000	4200.000	7100.000	9400.000	9400.000	9400.000	4200.000	4400.000	4400.000	7100.000	4400.000
500000 (returns)	5700.000	1900.000	5900.000	1900.000	5800.000	5900.000	5900.000	5900.000	4900.000	1900.000	1900.000	4900.000	5900.000	1900.000	4900.000	5800.000	1900.000	1900.000	4900.000	4900.000	4900.000	5900.000	4900.000	4900.000	5800.000	5900.000	1900.000	4900.000	3700.000	1900.000	5900.000	5800.000	5800.000	5800.000	5800.000	4900.000	5900.000	5900.000	1900.000	1900.000	1900.000	4900.000	5800.000	4900.000	5800.000	5800.000	4900.000	1900.000	4900.000	1900.000	5900.000	4900.000	5900.000	5800.000	1900.000	5800.000	5800.000	5900.000	4900.000	5900.000	4900.000	5900.000	5900.000	4900.000	1900.000	5900.000	1900.000	4900.000	5800.000	1900.000	4900.000	4900.000	5900.000	5800.000	5800.000	5900.000	3300.000	7000.000	1900.000	1900.000	4900.000	5900.000	1900.000	1900.000	1900.000	5900.000	5800.000	5800.000	5800.000	1900.000	5800.000	5900.000	5900.000	4900.000	5900.000	5800.000	5800.000	5800.000	5900.000	4900.000	5900.000	1900.000	4900.000	5800.000	1900.000	4900.000	1900.000	5800.000	1900.000	5800.000	5900.000	5900.000	4900.000	1900.000	1900.000	1900.000	5800.000	5900.000	5800.000	1900.000	1900.000	5800.000	5800.000	4900.000	1900.000	4900.000	5900.000	4900.000	5800.000	1900.000	5900.000	5900.000	5900.000	4900.000	5900.000	4900.000	5900.000	5900.000	5900.000	1900.000	4900.000	5900.000	3200.000	5900.000	4900.000	5900.000	5900.000	1900.000	1900.000	5800.000	5800.000	5900.000	5900.000	4900.000	5800.000	5900.000	5800.000	5800.000	4900.000	5800.000	4900.000	5800.000	5900.000	5800.000	5800.000	5900.000	1900.000	1900.000	5900.000	5800.000	5900.000	5800.000	4900.000	4900.000	5900.000	4900.000	5800.000
750000 (returns)	2600.000	5800.000	6700.000	2600.000	6700.000	6200.000	7300.000	7300.000	5000.000	2600.000	7300.000	6700.000	6700.000	7300.000	6700.000	5000.000	2600.000	5000.000	7300.000	5000.000	6700.000	5000.000	6700.000	4700.000	2600.000	6700.000	6700.000	7300.000	6700.000	6700.000	2600.000	7300.000	2600.000	5000.000	2600.000	5000.000	6700.000	7300.000	5000.000	7300.000	7300.000	7300.000	7300.000	7300.000	6700.000	7300.000	5000.000	2600.000	6700.000	6700.000	2600.000	7300.000	5000.000	7300.000	6700.000	7400.000	5000.000	5000.000	5000.000	5000.000	6700.000	5100.000	5000.000	2600.000	6700.000	5000.000	6700.000	2600.000	5000.000	6700.000	2600.000	6700.000	10200.000	5000.000	6700.000	5000.000	7300.000	6700.000	7300.000	5000.000	6700.000	2600.000	5000.000	2600.000	2600.000	5000.000	2600.000	7300.000	5000.000	2600.000	7300.000	7300.000	6700.000	6700.000	6700.000	2800.000	2600.000	5700.000	7300.000	2600.000	5000.000	7300.000	5000.000	2800.000	2600.000	7300.000	5000.000	2600.000	5000.000	6700.000	2600.000	2600.000	2600.000	5000.000	5000.000	7300.000	6700.000	5000.000	2600.000	5000.000	2600.000	7300.000	6700.000	7300.000	6700.000	2600.000	7300.000	5000.000	2600.000	6700.000	5000.000	2600.000	6700.000	5000.000	6700.000	7300.000	6700.000	5000.000	5000.000	7300.000	2600.000	7300.000	7300.000	2600.000	2600.000	6700.000	2600.000	7300.000	2600.000	5000.000	7300.000	5000.000	6700.000	7300.000	6700.000	2600.000	2600.000	5000.000	6700.000	7300.000	6700.000	5000.000	7300.000	7300.000	7300.000	7300.000
1000000 (returns)	9300.000	3100.000	3500.000	3100.000	3300.000	9300.000	9300.000	3100.000	9300.000	3300.000	3300.000	3500.000	3500.000	9300.000	3300.000	3500.000	9300.000	3100.000	3500.000	3300.000	3100.000	3500.000	3500.000	3100.000	3500.000	3300.000	3500.000	3100.000	3100.000	3300.000	3300.000	8100.000	9300.000	3300.000	3300.000	9300.000	3500.000	3500.000	9300.000	3100.000	3100.000	4800.000	3300.000	3300.000	3100.000	3300.000	3100.000	9300.000	3100.000	3100.000	3100.000	3500.000	3500.000	3100.000	3500.000	9300.000	3100.000	6500.000	3300.000	9300.000	3500.000	9300.000	9300.000	9300.000	3300.000	9300.000	3300.000	9300.000	3300.000	3500.000	9300.000	4300.000	9300.000	9300.000	3500.000	3300.000	3300.000	3100.000	3300.000	3500.000	3300.000	6200.000	3300.000	3300.000	9300.000	3300.000	9300.000	3300.000	3100.000	3500.000	9300.000	3300.000	3100.000	3300.000	3300.000	3300.000	3100.000	3500.000	9300.000	3500.000	3500.000	3300.000	3500.000	9300.000	3500.000	9300.000	3500.000	3500.000	3300.000	9100.000	9300.000	9300.000	5300.000	3500.000	3500.000	3300.000	9300.000	9300.000	9300.000	3300.000	3100.000	3500.000	3300.000	3500.000	9300.000	3100.000	3500.000	3500.000	3100.000	3100.000	3100.000	3300.000	3300.000	3100.000	3100.000	9300.000	3100.000	3000.000	3300.000	3500.000	3500.000	3500.000	3100.000	3500.000	3300.000	3500.000	3300.000	3300.000	3100.000	3500.000	3500.000	3300.000	3100.000	3100.000	3100.000	3100.000	3500.000	3500.000	3500.000	9300.000	9300.000	3300.000	3500.000	3100.000	3500.000	3100.000	3100.000	3100.000	3500.000	3100.000	3500.000	9300.000	3100.000	3500.000	3100.000	9300.000	3300.000	3100.000	3500.000	3500.000	3100.000	3500.000	3100.000	3300.000
1250000 (returns)	7100.000	11600.000	10600.000	11400.000	5500.000	5500.000	11400.000	10600.000	10600.000	11400.000	11400.000	5500.000	5500.000	10600.000	11400.000	5100.000	7100.000	11400.000	7100.000	5500.000	10600.000	10600.000	11400.000	10600.000	7100.000	10600.000	10600.000	5500.000	11400.000	10600.000	5500.000	11600.000	7100.000	10600.000	5500.000	5500.000	10600.000	11400.000	11400.000	5500.000	11400.000	5000.000	7100.000	11400.000	5500.000	7100.000	7500.000	5500.000	9800.000	10600.000	11400.000	10600.000	10600.000	10600.000	5500.000	5500.000	10600.000	7700.000	14600.000	11400.000	10600.000	7100.000	10600.000	10600.000	11400.000	5500.000	11400.000	5700.000	11400.000	7100.000	5500.000	10600.000	11400.000	5500.000	11400.000	11400.000	10600.000	11400.000	10600.000	10600.000	5500.000	11400.000	7100.000	11400.000	10600.000	8000.000	11400.000	7100.000	10600.000	11400.000	7100.000	7100.000	5500.000	11400.000	5500.000	10600.000	7100.000	7000.000	5500.000	11400.000	11400.000	11200.000	10600.000	7100.000	11400.000	7100.000	10600.000	7100.000	5500.000	11400.000	7100.000	8800.000	5500.000	10600.000	5500.000	7100.000	5500.000	10600.000	5500.000	7100.000	7100.000	7100.000	11400.000	5500.000	5500.000	11400.000	7100.000	5500.000	7100.000	10600.000	8000.000	10600.000	7100.000	11400.000	7100.000	10600.000	5700.000	7100.000	10600.000	5500.000	7100.000
1500000 (returns)	6500.000	2900.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	7500.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	2900.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	7000.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	5500.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6100.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000	6300.000
1750000 (returns)	5200.000	2400.000	4300.000	7900.000	4300.000	4300.000	5200.000	4300.000	5200.000	2400.000	4300.000	7900.000	5200.000	4300.000	7900.000	4800.000	5200.000	2400.000	4300.000	7900.000	7900.000	7900.000	2400.000	2400.000	4300.000	2400.000	2400.000	5200.000	9300.000	2400.000	5200.000	7900.000	4300.000	4300.000	7900.000	7900.000	2400.000	7900.000	8100.000	5200.000	5200.000	5200.000	4300.000	5200.000	4300.000	2400.000	5200.000	4300.000	5200.000	7900.000	2400.000	2400.000	7900.000	4300.000	2400.000	5200.000	2400.000	4300.000	7900.000	4300.000	2400.000	2400.000	2400.000	7900.000	2400.000	2400.000	2400.000	4300.000	5200.000	7900.000	2400.000	2400.000	4300.000	5200.000	7900.000	4300.000	7900.000	4300.000	5200.000	2400.000	4300.000	2400.000	7200.000	7900.000	2400.000	5200.000	5200.000	4300.000	2400.000	2400.000	5200.000	7900.000	4300.000	7900.000	4300.000	5200.000	2400.000	7900.000	6500.000	4300.000	2400.000	5200.000	5200.000	2400.000	2400.000	2400.000	7900.000	7900.000	5200.000	4300.000	4300.000	7700.000	5200.000	2400.000	2400.000	2400.000	5200.000	4300.000	7900.000	4300.000	4300.000	4300.000	2400.000	2400.000	7900.000	2400.000	5200.000	5200.000	7900.000	2600.000	7900.000	7900.000	5200.000	5200.000	4300.000	5200.000	4300.000	4300.000	2400.000	2400.000	2400.000	5200.000	2400.000	7900.000	2400.000	4300.000	2400.000	2400.000	4300.000	5200.000	2400.000	2400.000	2400.000	7900.000	5200.000	2400.000	7900.000	8100.000	4300.000	7900.000	2400.000	5200.000	4100.000	7900.000	5200.000	4300.000	7900.000	4300.000	5200.000	7900.000	2400.000	2400.000	5200.000	2400.000	7900.000	5200.000	5200.000	3100.000	7900.000	2400.000	5200.000	9800.000	2400.000	4300.000	2400.000	5200.000	5200.000	4300.000	7900.000	7900.000	2400.000	5200.000	8300.000	7900.000	4300.000	2400.000	2400.000	4300.000	4300.000	5200.000	2400.000
2000000 (returns)	6000.000	6300.000	2700.000	2700.000	3100.000	6300.000	5200.000	2700.000	2700.000	2700.000	2700.000	2700.000	2700.000	3100.000	6300.000	5200.000	6300.000	7000.000	6300.000	6300.000	3100.000	2700.000	2700.000	3800.000	3100.000	2700.000	2700.000	5200.000	2700.000	5200.000	3100.000	6300.000	6300.000	5200.000	5200.000	6300.000	3100.000	7200.000	2700.000	6300.000	5200.000	3100.000	6300.000	5200.000	2700.000	5200.000	5200.000	2700.000	3100.000	5200.000	6300.000	2700.000	2700.000	2700.000	2700.000	2700.000	6300.000	3100.000	3100.000	3100.000	7200.000	2700.000	5200.000	2700.000	6300.000	6300.000	2700.000	5200.000	5200.000	6300.000	3100.000	5200.000	5200.000	5400.000	5200.000	6300.000	5200.000	3100.000	6300.000	3100.000	5200.000	6300.000	3100.000	5200.000	2700.000	2700.000	6300.000	3100.000	6300.000	5200.000	2700.000	3100.000	2700.000	6300.000	5200.000	2700.000	5200.000	3100.000	5200.000	3100.000	5200.000	3100.000	2700.000	2700.000	6300.000	6300.000	2700.000	6300.000	3100.000	3100.000	6300.000	6300.000	3100.000	5200.000	3100.000	3100.000	5200.000	3100.000	3100.000	2700.000	6300.000	5200.000	5200.000	2700.000	6300.000	5200.000	5200.000	3100.000	3100.000	6800.000	3100.000	6300.000	2700.000	2700.000	3100.000	2700.000	6300.000	3100.000	5200.000	5200.000	3100.000	6300.000	2700.000	3100.000	3100.000	6300.000	7200.000	2700.000	6300.000	2700.000	3100.000	3100.000	6300.000	3100.000	2700.000	5200.000	5200.000	6300.000	4100.000	5200.000	3100.000	6300.000	6300.000	5200.000	5200.000	6300.000	3100.000	3100.000	2700.000	5200.000	6300.000	3100.000	3100.000	3100.000	2700.000	6300.000	3100.000	2700.000	8100.000	3100.000	2700.000	3100.000	2700.000	5200.000	5200.000	2700.000	2700.000	2700.000	5200.000	6300.000	6300.000	5200.000	2700.000	6300.000	2700.000	2700.000	2700.000	2700.000	2700.000	2700.000	6300.000	6300.000	6300.000	3100.000	3100.000	6300.000	5200.000	6300.000	3100.000
2250000 (returns)	3200.000	6600.000	3300.000	3200.000	3300.000	3300.000	6600.000	3300.000	3300.000	11000.000	6600.000	6600.000	3200.000	3300.000	6600.000	3900.000	6600.000	3300.000	3200.000	3200.000	3300.000	6600.000	3300.000	3300.000	4500.000	3300.000	3300.000	6600.000	6600.000	3200.000	3300.000	6600.000	6600.000	3300.000	3200.000	3300.000	6600.000	3200.000	3300.000	3200.000	3300.000	3200.000	3300.000	3200.000	3300.000	3300.000	6600.000	3200.000	5200.000	3300.000	3300.000	3200.000	3200.000	3200.000	6600.000	6600.000	3300.000	3600.000	3300.000	3300.000	9700.000	9200.000	3300.000	3200.000	3300.000	6600.000	6600.000	3200.000	6600.000	6600.000	6600.000	3300.000	3300.000	3300.000	3200.000	3300.000	5400.000	3300.000	3200.000	3200.000	3200.000	3300.000	3500.000	6600.000	6600.000	3300.000	3200.000	6600.000	3300.000	3200.000	6600.000	3300.000	3300.000	3300.000	3200.000	3200.000	3300.000	4300.000	6600.000	3300.000	6600.000	3300.000	3300.000	3300.000	3300.000	6600.000	6600.000	3300.000	3300.000	3200.000	6600.000	3300.000	3200.000	3300.000	6600.000	3300.000	6600.000	3200.000	3300.000	3300.000	3300.000	3300.000	3200.000	3300.000	6600.000	3300.000	3300.000	3200.000	3300.000	3300.000	3300.000	3300.000	3000.000	6600.000	3300.000	3200.000	3300.000	3300.000	3200.000	6600.000	6600.000	6600.000	3300.000	3300.000	3200.000	3200.000	3200.000	3300.000	3300.000	3300.000	3200.000	3300.000	3300.000	6600.000	3300.000	3300.000	3300.000	6600.000	6600.000	6600.000	3300.000	3300.000	3300.000	3300.000	3200.000	3200.000	6600.000	6600.000	3200.000	3300.000	3200.000	3300.000	3200.000	3300.000	3200.000	6600.000	3300.000	3300.000	3200.000	3200.000	6600.000	3300.000	3300.000	3300.000	3300.000	3200.000	6600.000	3300.000	3200.000	3300.000	3300.000	3300.000	3300.000	3300.000	3200.000	6600.000	3300.000	6600.000	6600.000	3200.000	3300.000	3300.000	3300.000	6600.000
2500000 (returns)	5900.000	13300.000	5900.000	13500.000	5700.000	8800.000	5900.000	7900.000	8800.000	5700.000	5900.000	5900.000	13300.000	13300.000	5700.000	5900.000	13300.000	13300.000	13300.000	8800.000	5900.000	5900.000	5900.000	5700.000	5900.000	8500.000	5900.000	8800.000	5900.000	13300.000	13300.000	5900.000	5700.000	13300.000	13300.000	15700.000	13300.000	5700.000	5900.000	13300.000	13300.000	8700.000	5700.000	8800.000	5700.000	8800.000	5900.000	5700.000	5700.000	5700.000	8800.000	8800.000	8800.000	5900.000	8800.000	13300.000	13300.000	5700.000	5700.000	5900.000	5900.000	5900.000	13300.000	8800.000	5700.000	13300.000	5700.000	9900.000	5900.000	13300.000	13300.000	13300.000	12900.000	13300.000	8800.000	5900.000	13300.000	8800.000	8800.000	8800.000	5700.000	5900.000	13300.000	35900.000	13300.000	5700.000	8800.000	5700.000	8800.000	5900.000	13300.000	8800.000	8800.000	5900.000	13300.000	13300.000	5700.000	5900.000	8800.000	8800.000	13300.000	12100.000	5700.000	13300.000	35900.000	5700.000	5700.000	5900.000	13300.000	5700.000	13300.000	13300.000	5700.000	15500.000	5700.000	13300.000	8800.000	5700.000	13300.000
