iteration	mean	std_dev	min	max	median
250000	6610.430	2264.953	4200.000	12700.000	7100.000
500000	4708.475	1593.201	1900.000	7000.000	5800.000
750000	5463.253	1819.979	2600.000	10200.000	6000.000
1000000	4625.543	2439.674	3000.000	9300.000	3500.000
1250000	8782.270	2462.349	5000.000	14600.000	10600.000
1500000	6271.782	356.059	2900.000	7500.000	6300.000
1750000	4790.050	2059.730	2400.000	9800.000	4300.000
2000000	4337.321	1553.371	2700.000	8100.000	3100.000
2250000	4201.471	1587.960	3000.000	11000.000	3300.000
2500000	9444.538	4781.630	5700.000	35900.000	8800.000
2750000	2549.383	741.557	1700.000	3400.000	2000.000
3000000	3463.850	1183.556	2400.000	6300.000	2900.000
3250000	7296.196	1930.571	3600.000	13500.000	7200.000
3500000	11603.333	5286.000	5700.000	19600.000	10900.000
3750000	7688.679	1674.334	5400.000	16500.000	7600.000
4000000	13045.283	3526.534	8100.000	20900.000	13700.000
4250000	12873.148	3140.996	4400.000	18300.000	11300.000
4500000	2798.578	746.650	2200.000	8200.000	2600.000
4750000	15825.000	3517.101	11100.000	27600.000	17700.000
5000000	9029.197	10190.852	2600.000	29900.000	3000.000
5250000	20551.137	10561.615	5600.000	36900.000	23650.000
5500000	12881.301	9792.741	3500.000	31400.000	7300.000
5750000	24643.590	5064.724	10700.000	50500.000	23300.000
6000000	20115.789	6003.399	9600.000	35300.000	19200.000
6250000	17537.256	7991.317	4600.000	34700.000	14400.000
6500000	40842.000	12432.427	8700.000	55600.000	42600.000
6750000	21288.889	14938.905	5400.000	48000.000	17000.000
7000000	20255.000	11782.221	4000.000	38200.000	11900.000
7250000	21138.750	11240.035	6100.000	35200.000	29200.000
7500000	62744.445	14400.221	45100.000	96300.000	57050.000
7750000	37486.273	16495.906	17900.000	123000.000	30900.000
8000000	64969.695	23638.367	28000.000	145500.000	66000.000
8250000	138520.000	104092.516	15400.000	452700.000	138600.000
8500000	105655.555	49621.762	50700.000	217500.000	101950.000
8750000	215110.000	114242.695	131800.000	546700.000	181000.000
9000000	503875.000	312925.562	111100.000	940600.000	481900.000
9250000	342900.000	254820.062	79800.000	673300.000	309250.000
9500000	1297500.000	0.000	1297500.000	1297500.000	1297500.000
9750000	1634000.000	1179700.000	454300.000	2813700.000	1634000.000
10000000	2625900.000	0.000	2625900.000	2625900.000	2625900.000
10250000	995900.000	1304568.875	31700.000	2840200.000	115800.000
10500000	1420750.000	1293950.000	126800.000	2714700.000	1420750.000
10750000	2586200.000	0.000	2586200.000	2586200.000	2586200.000
11000000	1098866.625	1210611.500	213900.000	2810600.000	272100.000
11250000	2733800.000	0.000	2733800.000	2733800.000	2733800.000
11500000	2732900.000	0.000	2732900.000	2732900.000	2732900.000
11750000	1410550.000	1369250.000	41300.000	2779800.000	1410550.000
12000000	2819600.000	0.000	2819600.000	2819600.000	2819600.000
12250000	390550.000	896222.562	26300.000	2757000.000	28550.000
12500000	2691700.000	0.000	2691700.000	2691700.000	2691700.000
12750000	1432300.000	1326500.000	105800.000	2758800.000	1432300.000
13000000	2665600.000	0.000	2665600.000	2665600.000	2665600.000
13250000	2435000.000	0.000	2435000.000	2435000.000	2435000.000
13500000	2685800.000	0.000	2685800.000	2685800.000	2685800.000
13750000	2709000.000	0.000	2709000.000	2709000.000	2709000.000
14000000	2781200.000	0.000	2781200.000	2781200.000	2781200.000
14250000	2599700.000	0.000	2599700.000	2599700.000	2599700.000
14500000	2550200.000	0.000	2550200.000	2550200.000	2550200.000
14750000	2789800.000	0.000	2789800.000	2789800.000	2789800.000
15000000	2810700.000	0.000	2810700.000	2810700.000	2810700.000
15250000	2572300.000	0.000	2572300.000	2572300.000	2572300.000
15500000	2712400.000	0.000	2712400.000	2712400.000	2712400.000
15750000	658200.000	1098315.625	12700.000	2560500.000	29800.000
16000000	2720000.000	0.000	2720000.000	2720000.000	2720000.000
16250000	2628700.000	0.000	2628700.000	2628700.000	2628700.000
16500000	2728900.000	0.000	2728900.000	2728900.000	2728900.000
