iteration	mean	std_dev	min	max	median
250000	2318.681	2389.901	0.000	13000.000	2000.000
500000	1383.838	1368.528	0.000	7000.000	1000.000
750000	6268.292	4420.155	0.000	16000.000	6000.000
1000000	151.899	843.270	0.000	7000.000	0.000
1250000	6655.172	5682.859	0.000	29000.000	5000.000
1500000	380.952	722.179	0.000	2000.000	0.000
1750000	3122.449	2611.846	0.000	14000.000	3000.000
2000000	6000.000	4000.000	2000.000	10000.000	6000.000
2250000	2000.000	0.000	2000.000	2000.000	2000.000
2500000	2361.446	2114.655	0.000	11000.000	3000.000
2750000	2126.316	2201.636	0.000	14000.000	2000.000
3000000	872.549	1108.537	0.000	4000.000	500.000
3250000	8300.000	5301.886	0.000	19000.000	7000.000
3500000	882.353	1510.058	0.000	8000.000	0.000
3750000	8440.000	5980.501	2000.000	24000.000	7000.000
4000000	8900.000	4134.005	3000.000	18000.000	9500.000
4250000	2895.349	1555.404	0.000	8000.000	3000.000
4500000	1137.255	897.045	0.000	3000.000	1000.000
4750000	4722.222	2940.249	0.000	13000.000	5000.000
5000000	2346.535	2554.110	0.000	8000.000	1000.000
5250000	6096.774	5893.434	0.000	23000.000	4000.000
5500000	4900.000	2662.705	1000.000	8000.000	5000.000
5750000	4933.333	3086.890	0.000	16000.000	5000.000
6000000	1194.175	2389.533	0.000	16000.000	0.000
6250000	4049.383	3770.913	0.000	14000.000	4000.000
6500000	5000.000	0.000	5000.000	5000.000	5000.000
6750000	186.275	479.591	0.000	3000.000	0.000
7000000	12951.220	9320.712	1000.000	30000.000	13000.000
7250000	18228.572	6090.207	2000.000	30000.000	19000.000
7500000	3333.333	1247.219	2000.000	5000.000	3000.000
7750000	5208.333	2783.570	2000.000	12000.000	4500.000
8000000	4655.172	3655.660	0.000	14000.000	3000.000
8250000	4800.000	4707.441	0.000	17000.000	3000.000
8500000	18222.223	8189.122	10000.000	40000.000	15000.000
8750000	6000.000	4000.000	2000.000	10000.000	6000.000
9000000	18000.000	0.000	18000.000	18000.000	18000.000
9250000	14166.667	15173.990	2000.000	60000.000	6500.000
9500000	4564.706	3355.231	0.000	18000.000	3000.000
9750000	9965.518	7355.424	2000.000	28000.000	8000.000
10000000	2851.351	3513.228	0.000	17000.000	2000.000
10250000	10531.915	5507.639	3000.000	29000.000	9000.000
10500000	204.082	768.768	0.000	5000.000	0.000
10750000	7375.000	6040.230	1000.000	24000.000	5500.000
11000000	19583.334	15160.025	4000.000	58000.000	14500.000
11250000	1225.000	1524.590	0.000	4000.000	0.000
11500000	1262.626	1453.563	0.000	8000.000	1000.000
11750000	3648.148	2536.091	0.000	12000.000	4000.000
12000000	15352.941	6876.569	6000.000	33000.000	14000.000
12250000	20071.428	11464.008	11000.000	68000.000	17500.000
12500000	10558.140	4942.941	2000.000	26000.000	10000.000
12750000	16466.666	9646.186	2000.000	39000.000	16000.000
13000000	0.000	0.000	0.000	0.000	0.000
13250000	9691.177	4570.550	2000.000	23000.000	11000.000
13500000	24437.500	13847.241	6000.000	61000.000	20000.000
13750000	6064.103	3722.212	1000.000	20000.000	5000.000
14000000	12192.982	6655.531	2000.000	30000.000	11000.000
14250000	7909.091	5264.884	3000.000	20000.000	6000.000
14500000	23968.750	12902.239	8000.000	65000.000	21500.000
14750000	11433.962	4549.557	2000.000	22000.000	12000.000
15000000	18222.223	7230.764	6000.000	33000.000	18000.000
15250000	68384.617	21667.197	25000.000	100000.000	68000.000
15500000	12094.340	5412.300	1000.000	25000.000	13000.000
15750000	37470.590	19054.467	13000.000	88000.000	30000.000
16000000	5375.000	3805.834	1000.000	11000.000	5000.000
16250000	45192.309	17672.271	13000.000	77000.000	43500.000
16500000	54000.000	16534.346	23000.000	74000.000	59000.000
16750000	4545.455	3499.705	0.000	11000.000	4000.000
17000000	15333.333	10622.066	4000.000	58000.000	14000.000
17250000	2041.096	1996.149	0.000	13000.000	1000.000
17500000	30666.666	16574.746	10000.000	67000.000	26500.000
17750000	6245.902	4378.246	0.000	19000.000	6000.000
18000000	12517.241	9445.381	2000.000	37000.000	9000.000
18250000	45625.000	17577.951	8000.000	65000.000	47000.000
18500000	35200.000	14945.233	13000.000	57000.000	37000.000
18750000	11102.041	4982.602	0.000	20000.000	12000.000
19000000	1218.750	2102.593	0.000	9000.000	0.000
19250000	34130.434	17691.326	8000.000	68000.000	34000.000
19500000	4386.667	2682.751	0.000	13000.000	4000.000
19750000	13262.295	8521.721	0.000	34000.000	12000.000
20000000	4203.390	3960.738	0.000	16000.000	3000.000
20250000	18200.000	9826.495	3000.000	31000.000	20000.000
20500000	15884.615	8732.464	3000.000	48000.000	14000.000
20750000	40500.000	14655.901	14000.000	68000.000	42000.000
21000000	14413.044	6141.718	5000.000	31000.000	13000.000
21250000	4910.112	3404.031	0.000	18000.000	4000.000
21500000	8813.953	5491.032	0.000	20000.000	9000.000
21750000	4111.111	3482.888	0.000	24000.000	3000.000
22000000	48241.379	18444.053	20000.000	92000.000	47000.000
22250000	6757.576	4400.622	0.000	20000.000	6000.000
22500000	8946.429	5211.319	1000.000	24000.000	7500.000
22750000	29600.000	13857.849	7000.000	63000.000	28500.000
23000000	10960.000	5564.027	3000.000	24000.000	9000.000
23250000	59500.000	26029.518	24000.000	116000.000	62500.000
23500000	11047.619	4603.065	2000.000	26000.000	10500.000
23750000	4415.385	2789.499	0.000	9000.000	4000.000
24000000	22720.000	21287.592	4000.000	79000.000	13000.000
24250000	38800.000	20948.189	12000.000	81000.000	31000.000
24500000	10950.000	5004.748	4000.000	23000.000	9000.000
24750000	34461.539	14851.135	14000.000	65000.000	32000.000
25000000	9000.000	2992.053	3000.000	15000.000	9000.000
25250000	23825.000	13732.967	7000.000	68000.000	23500.000
25500000	12000.000	10281.745	3000.000	32000.000	8000.000
25750000	16714.285	9284.615	5000.000	29000.000	17000.000
26000000	3951.923	3092.733	0.000	13000.000	3000.000
26250000	22800.000	21793.578	8000.000	66000.000	12000.000
26500000	53857.145	26648.121	13000.000	115000.000	55000.000
26750000	4027.778	2088.143	0.000	9000.000	3500.000
27000000	34200.000	15620.499	8000.000	68000.000	33000.000
27250000	29085.715	17428.010	4000.000	86000.000	27000.000
27500000	17454.545	9810.604	3000.000	46000.000	18000.000
27750000	19285.715	5556.145	7000.000	35000.000	19000.000
28000000	10758.064	8509.361	2000.000	48000.000	9000.000
28250000	21580.645	11921.177	6000.000	54000.000	21000.000
28500000	26125.000	16374.045	10000.000	59000.000	23000.000
28750000	17696.428	7166.189	2000.000	35000.000	19000.000
29000000	8140.625	6905.313	0.000	33000.000	6000.000
29250000	56944.445	14284.694	31000.000	85000.000	58000.000
29500000	9942.029	5075.899	1000.000	30000.000	9000.000
29750000	8000.000	7845.735	1000.000	28000.000	6000.000
30000000	6319.149	5287.909	0.000	27000.000	5000.000
30250000	18645.834	6520.767	2000.000	31000.000	20000.000
30500000	21000.000	9010.504	3000.000	35000.000	20000.000
30750000	8941.177	5011.406	1000.000	21000.000	10000.000
31000000	26818.182	18622.982	5000.000	77000.000	21000.000
31250000	37000.000	12930.584	24000.000	61000.000	34000.000
31500000	27666.666	16779.617	8000.000	49000.000	26000.000
31750000	10142.857	4852.939	5000.000	20000.000	9000.000
