iteration	mean	std_dev	min	max	median
250000	5.617	14.683	0.000	44.000	0.000
500000	480.912	142.721	132.000	660.000	484.000
750000	1.553	8.119	0.000	44.000	0.000
1000000	12.320	19.756	0.000	44.000	0.000
1250000	1237.455	870.326	528.000	3540.000	948.000
1500000	196.533	100.164	44.000	396.000	176.000
1750000	3405.714	2184.152	660.000	7806.000	2580.000
2000000	3886.889	2072.682	1380.000	6984.000	3028.000
2250000	3124.737	1375.120	852.000	5346.000	3252.000
2500000	2618.129	1584.336	220.000	5632.000	2860.000
2750000	4605.200	1679.262	1952.000	10040.000	4616.000
3000000	3157.760	1989.942	484.000	6894.000	2664.000
3250000	4461.037	1951.695	1380.000	7850.000	4414.000
3500000	7170.000	2743.550	3240.000	12216.000	5952.000
3750000	6711.385	2288.996	2496.000	9864.000	6672.000
4000000	7555.263	3034.443	2440.000	13808.000	7460.000
4250000	7037.158	2674.858	3840.000	12354.000	6232.000
4500000	10121.000	5261.415	3000.000	22656.000	9086.000
4750000	5439.556	3234.607	1536.000	11940.000	4710.000
5000000	8920.235	3292.358	3420.000	14372.000	7590.000
5250000	10941.200	6628.273	3000.000	26302.000	7760.000
5500000	11464.588	6608.980	2496.000	24014.000	9980.000
5750000	7994.667	3019.986	3480.000	11770.000	8361.000
6000000	10509.529	3766.515	5880.000	20764.000	10320.000
6250000	10227.765	6627.711	1588.000	28230.000	7182.000
6500000	8092.364	4049.027	3240.000	20400.000	7480.000
6750000	10387.000	5783.013	3252.000	28166.000	9014.000
7000000	13763.866	6720.667	5934.000	27258.000	12870.000
7250000	6251.158	2310.566	2056.000	11720.000	6600.000
7500000	6901.818	1396.848	3660.000	9464.000	6995.000
7750000	9224.190	3806.483	3900.000	16330.000	8892.000
8000000	11917.500	4198.416	8124.000	25434.000	10668.000
8250000	10544.889	3252.865	6308.000	17958.000	10658.000
8500000	12830.923	5475.064	5276.000	26970.000	12894.000
8750000	10188.375	3831.824	4284.000	18700.000	9642.000
9000000	12056.706	4453.038	6210.000	24228.000	11130.000
9250000	11032.471	5994.241	3180.000	29550.000	9340.000
9500000	10617.412	6573.049	4260.000	28320.000	7590.000
9750000	8426.818	3725.394	3480.000	17502.000	8022.000
10000000	10222.777	5331.636	3364.000	25254.000	9264.000
10250000	16184.770	7189.568	7680.000	29400.000	15082.000
10500000	13480.857	6132.594	5152.000	26710.000	13528.000
10750000	10363.889	2713.286	5280.000	16052.000	10999.000
11000000	12107.177	6361.407	5310.000	24510.000	9940.000
