iteration	mean	std_dev	min	max	median
250000	0.000	0.000	0.000	0.000	0.000
500000	30.000	0.000	30.000	30.000	30.000
750000	0.000	0.000	0.000	0.000	0.000
1000000	1.000	1.414	0.000	3.000	0.000
1250000	0.000	0.000	0.000	0.000	0.000
1500000	0.500	0.500	0.000	1.000	0.500
1750000	18.763	1.306	18.000	21.000	18.000
2000000	56.483	1.038	52.000	58.000	57.000
2250000	37.763	6.497	28.000	45.000	41.000
2500000	2.967	0.254	1.000	3.000	3.000
2750000	81.750	8.788	71.000	97.000	76.000
3000000	29.034	1.402	27.000	30.000	30.000
3250000	30.000	0.000	30.000	30.000	30.000
3500000	30.000	0.000	30.000	30.000	30.000
3750000	49.176	19.058	30.000	84.000	53.500
4000000	29.200	0.980	28.000	30.000	30.000
4250000	29.525	0.851	28.000	30.000	30.000
4500000	30.000	0.000	30.000	30.000	30.000
4750000	30.051	0.220	30.000	31.000	30.000
5000000	17.875	14.365	3.000	38.000	18.000
5250000	40.356	19.385	22.000	78.000	34.000
5500000	30.000	0.000	30.000	30.000	30.000
5750000	32.424	1.498	31.000	34.000	31.000
6000000	30.442	13.098	14.000	57.000	33.000
6250000	30.000	0.000	30.000	30.000	30.000
6500000	43.047	9.386	31.000	67.000	42.000
6750000	48.825	13.981	30.000	66.000	57.000
7000000	48.702	12.932	30.000	69.000	55.000
7250000	58.228	2.152	57.000	62.000	57.000
7500000	17.500	13.519	0.000	30.000	30.000
7750000	59.105	1.372	57.000	60.000	60.000
8000000	31.579	1.675	30.000	37.000	32.000
8250000	30.052	0.391	30.000	33.000	30.000
8500000	43.053	8.787	33.000	56.000	44.000
8750000	48.263	6.273	39.000	57.000	51.000
9000000	40.889	11.153	30.000	60.000	36.000
9250000	44.690	13.651	31.000	60.000	34.000
9500000	26.339	7.245	12.000	30.000	30.000
9750000	38.241	12.065	31.000	60.000	31.000
10000000	30.000	0.000	30.000	30.000	30.000
10250000	34.707	8.757	30.000	51.000	30.000
10500000	31.293	1.486	30.000	33.000	30.000
10750000	30.000	0.000	30.000	30.000	30.000
11000000	30.828	1.341	30.000	33.000	30.000
11250000	30.600	1.200	30.000	33.000	30.000
11500000	41.052	9.321	33.000	58.000	38.500
11750000	32.552	2.159	31.000	38.000	31.000
12000000	30.000	0.000	30.000	30.000	30.000
12250000	13.246	10.440	0.000	28.000	20.000
12500000	0.000	0.000	0.000	0.000	0.000
12750000	30.526	4.239	25.000	38.000	29.000
13000000	39.737	2.977	36.000	50.000	39.000
13250000	16.500	5.741	9.000	27.000	18.000
13500000	31.632	2.229	30.000	39.000	31.000
13750000	57.147	10.887	37.000	70.000	61.500
14000000	28.649	6.171	15.000	37.000	30.000
14250000	55.333	23.147	12.000	76.000	67.000
14500000	49.474	20.098	6.000	60.000	57.000
14750000	57.439	3.372	50.000	63.000	55.000
15000000	64.976	5.986	54.000	78.000	68.000
15250000	60.073	10.614	42.000	72.000	64.000
15500000	30.035	0.184	30.000	31.000	30.000
15750000	30.000	0.000	30.000	30.000	30.000
16000000	40.286	6.386	30.000	48.000	39.000
16250000	49.561	22.665	3.000	69.000	57.000
16500000	75.116	26.786	23.000	123.000	73.000
16750000	37.217	4.690	30.000	47.000	36.000
17000000	58.483	10.112	42.000	75.000	58.000
17250000	44.875	11.677	30.000	57.000	45.500
17500000	56.310	1.465	54.000	60.000	57.000
17750000	58.364	4.996	48.000	65.000	61.000
18000000	43.862	8.186	30.000	57.000	42.000
18250000	43.474	9.703	33.000	60.000	45.000
18500000	33.211	3.968	27.000	39.000	30.000
18750000	60.690	1.392	57.000	62.000	60.000
19000000	59.526	1.094	57.000	60.000	60.000
19250000	60.000	0.000	60.000	60.000	60.000
19500000	59.288	1.276	57.000	60.000	60.000
19750000	50.059	20.133	9.000	60.000	60.000
20000000	48.167	15.236	24.000	61.000	57.000
20250000	25.034	6.510	15.000	32.000	26.000
20500000	26.538	4.290	21.000	38.000	27.000
20750000	15.200	8.841	3.000	33.000	13.000
21000000	15.759	3.292	12.000	32.000	17.000
21250000	38.811	6.032	33.000	54.000	38.000
21500000	37.000	10.292	21.000	60.000	37.000
21750000	44.576	4.684	38.000	53.000	43.000
22000000	50.175	8.798	38.000	62.000	50.000
22250000	50.769	11.378	30.000	58.000	57.000
22500000	43.105	21.685	12.000	76.000	50.000
22750000	46.474	17.698	14.000	61.000	55.000
23000000	36.509	2.225	33.000	42.000	37.000
23250000	38.316	9.967	27.000	60.000	43.000
23500000	39.947	10.947	30.000	56.000	30.000
23750000	41.070	21.233	10.000	82.000	36.000
24000000	54.254	1.536	49.000	58.000	54.000
24250000	53.500	5.796	42.000	66.000	53.000
24500000	44.545	22.289	9.000	65.000	55.000
24750000	55.196	2.664	51.000	62.000	55.000
25000000	69.093	7.486	56.000	76.000	72.000
25250000	51.208	6.311	34.000	62.000	52.000
25500000	59.931	2.266	51.000	70.000	60.000
25750000	16.250	4.323	12.000	23.000	15.000
26000000	46.397	12.897	21.000	65.000	53.000
26250000	35.886	17.918	18.000	57.000	20.000
26500000	30.041	2.441	27.000	33.000	30.000
26750000	30.737	1.291	30.000	33.000	30.000
27000000	36.446	4.910	30.000	44.000	36.000
27250000	29.672	2.277	26.000	33.000	30.000
27500000	32.776	2.505	30.000	36.000	33.000
27750000	47.677	6.874	33.000	57.000	49.000
28000000	32.368	3.001	30.000	37.000	30.000
28250000	36.895	12.565	30.000	60.000	30.000
28500000	34.789	8.811	30.000	51.000	30.000
28750000	23.614	7.113	15.000	38.000	19.000
29000000	14.143	4.627	10.000	21.000	14.000
29250000	27.000	7.937	16.000	40.000	28.000
29500000	30.069	6.308	20.000	40.000	31.000
29750000	47.263	7.531	37.000	61.000	45.000
30000000	44.561	22.727	8.000	60.000	60.000
30250000	47.070	8.748	34.000	60.000	39.000
30500000	35.323	2.116	31.000	38.000	36.000
30750000	21.500	4.610	16.000	30.000	21.000
