iteration	mean	std_dev	min	max	median
250000	2866.667	1742.922	1100.000	9800.000	3400.000
500000	8333.721	4028.521	3300.000	25200.000	10900.000
750000	4725.926	3828.476	700.000	11000.000	3200.000
1000000	3977.895	2312.173	3000.000	15600.000	3100.000
1250000	26983.784	21159.785	10600.000	95300.000	15600.000
1500000	11602.857	4094.909	3300.000	18100.000	13300.000
1750000	49817.647	29498.778	15600.000	93100.000	65900.000
2000000	70931.579	28136.099	15900.000	109700.000	72200.000
2250000	41818.750	28098.381	15300.000	102100.000	36000.000
2500000	100192.857	35273.239	15800.000	158100.000	106300.000
2750000	86405.882	35886.337	15900.000	148100.000	92800.000
3000000	93944.444	31477.174	16000.000	154400.000	94250.000
3250000	112487.805	18273.280	70700.000	158300.000	113600.000
3500000	92905.556	30307.678	18600.000	140600.000	96000.000
3750000	110311.111	18420.600	39900.000	157200.000	112500.000
4000000	109940.541	31429.333	16000.000	141200.000	115500.000
4250000	121606.667	15836.960	83400.000	155600.000	122500.000
4500000	116726.923	15672.699	83700.000	145000.000	117950.000
4750000	118012.963	16248.978	74600.000	155400.000	116000.000
5000000	106534.783	15417.765	72900.000	136700.000	104600.000
5250000	127164.407	12875.700	96500.000	156900.000	125200.000
5500000	116572.222	21154.698	64100.000	158700.000	114500.000
5750000	120976.087	24954.360	92300.000	216300.000	116700.000
6000000	123519.718	19168.325	90500.000	190800.000	118800.000
6250000	132400.000	18498.672	73800.000	188400.000	137000.000
6500000	126497.468	22139.580	75200.000	196700.000	123600.000
6750000	133415.000	14877.249	97700.000	189700.000	134250.000
7000000	127700.000	18219.808	74200.000	157900.000	129100.000
7250000	131495.122	16831.836	95300.000	189800.000	136750.000
7500000	133265.432	15839.879	100200.000	158200.000	137200.000
7750000	128138.750	15211.579	105400.000	156100.000	128350.000
8000000	138095.122	19436.575	95600.000	199500.000	140950.000
8250000	135257.831	16681.128	95200.000	157900.000	139000.000
8500000	139581.250	18600.518	109100.000	206100.000	140650.000
8750000	130125.610	35188.284	29500.000	198500.000	139800.000
9000000	137650.617	18350.552	93900.000	192100.000	139500.000
9250000	146403.947	25151.506	94300.000	220400.000	143450.000
9500000	134321.176	17811.966	96700.000	212200.000	138000.000
9750000	126766.216	28767.165	16000.000	189700.000	128400.000
10000000	141009.722	26810.234	94500.000	218400.000	140950.000
10250000	139519.481	16384.646	96800.000	191500.000	138300.000
10500000	135751.471	19781.799	93500.000	199700.000	138800.000
10750000	136378.462	23819.736	75000.000	208900.000	138900.000
11000000	144094.937	22552.307	104500.000	217400.000	142200.000
11250000	136610.976	22430.016	98400.000	215200.000	138400.000
11500000	139367.059	18788.829	101000.000	214700.000	137500.000
11750000	142529.870	22769.837	103000.000	216800.000	139800.000
12000000	141407.595	16342.921	112100.000	192700.000	141400.000
12250000	144946.875	30044.373	42100.000	217100.000	139700.000
12500000	150241.892	23049.887	95500.000	221300.000	147750.000
12750000	144701.266	17672.567	112700.000	197000.000	145200.000
13000000	148509.091	24060.144	97100.000	213900.000	147800.000
13250000	158309.459	27746.932	117400.000	220800.000	148750.000
13500000	141218.033	30624.203	58500.000	217600.000	139300.000
13750000	144133.846	26952.358	75100.000	214200.000	145200.000
14000000	141316.949	17877.428	96700.000	196200.000	140000.000
14250000	139114.103	27613.359	38000.000	207800.000	142150.000
14500000	145392.647	26233.865	96100.000	199000.000	143150.000
14750000	145475.758	20199.168	109900.000	217300.000	142700.000
15000000	140800.000	20923.140	58900.000	200700.000	140400.000
15250000	153755.714	27201.348	95200.000	244100.000	152400.000
15500000	140483.750	22065.009	108600.000	207200.000	139950.000
15750000	142254.545	26203.200	97200.000	219800.000	140400.000
16000000	129752.439	19526.519	95300.000	190300.000	129250.000
16250000	148244.156	28820.229	99100.000	222800.000	143100.000
16500000	146507.692	21690.473	95700.000	219600.000	144700.000
16750000	145814.667	23684.288	97100.000	228100.000	144700.000
17000000	151166.667	28623.027	110000.000	226100.000	148100.000
17250000	140780.303	23089.780	97800.000	209300.000	140100.000
17500000	144811.268	26358.148	95500.000	243600.000	142800.000
17750000	138698.780	21952.535	107800.000	223300.000	139200.000
