iteration	mean	std_dev	min	max	median
250000	-17.314	3.178	-24.000	-9.000	-17.000
500000	-5.357	2.885	-17.000	-3.000	-4.500
750000	-19.314	2.470	-22.000	-12.000	-21.000
1000000	-19.771	1.149	-24.000	-18.000	-20.000
1250000	-20.412	4.839	-29.000	-16.000	-20.000
1500000	-1.861	1.917	-7.000	3.000	-2.000
1750000	-15.061	4.163	-23.000	-8.000	-16.000
2000000	-3.176	2.864	-10.000	5.000	-3.000
2250000	-16.917	2.773	-22.000	-11.000	-17.000
2500000	-19.657	3.312	-25.000	-14.000	-18.000
2750000	-5.950	2.073	-11.000	-3.000	-5.500
3000000	-17.571	3.819	-23.000	-7.000	-19.000
3250000	-12.684	3.994	-25.000	-8.000	-11.000
3500000	-9.528	3.312	-14.000	-2.000	-10.000
3750000	-17.750	3.068	-22.000	-8.000	-19.000
4000000	-18.139	3.029	-25.000	-13.000	-18.000
4250000	-16.917	3.507	-24.000	-11.000	-17.000
4500000	-16.629	3.099	-24.000	-11.000	-17.000
4750000	-8.382	3.020	-14.000	-2.000	-8.000
5000000	-11.868	3.045	-16.000	-5.000	-13.000
5250000	-21.647	3.605	-27.000	-13.000	-23.000
5500000	-14.600	3.164	-20.000	-8.000	-15.000
5750000	-8.306	2.737	-15.000	-4.000	-8.000
6000000	-16.706	3.391	-22.000	-10.000	-18.000
6250000	-9.421	2.691	-16.000	-5.000	-9.000
6500000	-8.333	2.494	-14.000	-2.000	-9.000
6750000	-13.353	3.733	-22.000	-6.000	-13.000
7000000	-15.371	3.136	-21.000	-10.000	-15.000
7250000	-10.000	2.528	-15.000	-5.000	-10.000
7500000	-9.083	3.112	-15.000	-3.000	-9.000
7750000	-6.750	3.183	-12.000	-1.000	-7.000
8000000	-8.257	2.771	-15.000	-3.000	-8.000
8250000	-5.829	2.883	-12.000	1.000	-6.000
8500000	-7.242	5.045	-19.000	2.000	-7.000
8750000	-6.342	2.452	-11.000	-1.000	-6.000
9000000	-13.306	4.013	-21.000	-6.000	-14.000
9250000	-4.889	3.169	-10.000	1.000	-5.500
9500000	-7.057	3.680	-15.000	0.000	-6.000
9750000	-19.143	2.987	-26.000	-10.000	-20.000
10000000	-5.514	3.706	-14.000	0.000	-6.000
10250000	-13.917	4.573	-23.000	-2.000	-15.000
10500000	-7.943	3.633	-15.000	-2.000	-7.000
10750000	-5.361	2.616	-11.000	0.000	-5.000
11000000	-3.514	2.579	-10.000	1.000	-3.000
11250000	-3.595	2.342	-9.000	0.000	-3.000
11500000	-4.946	3.093	-11.000	-1.000	-5.000
11750000	-6.257	3.367	-14.000	0.000	-6.000
12000000	-4.378	1.991	-10.000	-1.000	-4.000
12250000	-7.892	3.486	-15.000	-2.000	-8.000
12500000	-5.471	3.118	-13.000	1.000	-5.000
12750000	-3.743	3.341	-10.000	6.000	-4.000
13000000	-6.028	2.920	-13.000	0.000	-6.000
13250000	-2.474	2.436	-9.000	2.000	-2.000
13500000	-4.027	2.666	-10.000	1.000	-4.000
13750000	-3.778	2.636	-10.000	3.000	-4.000
14000000	-4.027	2.488	-8.000	1.000	-4.000
14250000	-4.108	2.534	-12.000	0.000	-4.000
14500000	-6.361	3.457	-13.000	0.000	-5.500
14750000	-4.229	2.192	-9.000	-1.000	-4.000
15000000	-4.056	2.380	-10.000	1.000	-4.000
15250000	-4.528	2.754	-12.000	-1.000	-4.000
15500000	-6.167	3.114	-13.000	-1.000	-6.000
15750000	-5.371	3.025	-12.000	-2.000	-5.000
16000000	-5.657	2.976	-12.000	0.000	-5.000
16250000	-3.722	2.512	-9.000	1.000	-4.000
16500000	-8.333	3.317	-16.000	0.000	-8.000
16750000	-4.971	3.075	-10.000	1.000	-5.000
17000000	-5.000	3.243	-11.000	2.000	-5.000
17250000	-8.286	3.385	-15.000	-1.000	-8.000
17500000	-6.297	2.893	-11.000	0.000	-7.000
17750000	-4.730	2.806	-11.000	2.000	-5.000
18000000	-8.429	3.812	-19.000	0.000	-7.000
18250000	-6.324	3.909	-15.000	1.000	-6.000
18500000	-7.242	3.124	-17.000	-1.000	-7.000
18750000	-4.853	3.457	-12.000	2.000	-5.000
19000000	-3.973	2.365	-9.000	2.000	-4.000
19250000	-3.806	3.821	-15.000	5.000	-3.000
19500000	-4.378	2.935	-14.000	1.000	-4.000
19750000	-6.143	2.748	-13.000	-1.000	-6.000
20000000	-4.611	2.701	-11.000	0.000	-4.500
20250000	-4.714	3.300	-11.000	1.000	-4.000
20500000	-4.389	3.352	-13.000	3.000	-4.000
20750000	-5.556	2.455	-11.000	0.000	-5.000
21000000	-4.972	3.379	-11.000	1.000	-5.000
21250000	-6.000	3.251	-13.000	-1.000	-5.000
21500000	-4.971	4.404	-17.000	1.000	-4.000
21750000	-8.343	3.338	-15.000	-2.000	-9.000
22000000	-3.395	2.601	-10.000	0.000	-3.000
22250000	-4.806	2.259	-10.000	-1.000	-4.000
22500000	-3.861	3.084	-11.000	2.000	-3.000
22750000	-6.382	4.044	-16.000	2.000	-6.500
23000000	-9.667	4.065	-19.000	1.000	-11.000
23250000	-7.250	2.871	-14.000	-2.000	-7.000
23500000	-5.788	2.434	-10.000	1.000	-5.000
23750000	-6.758	3.618	-15.000	1.000	-7.000
24000000	-4.778	3.690	-13.000	1.000	-5.000
24250000	-6.222	3.433	-18.000	0.000	-6.000
24500000	-5.211	3.197	-11.000	2.000	-5.000
