iteration	mean	std_dev	min	max	median
250000	2.521	22.312	0.000	200.000	0.000
500000	0.755	12.263	0.000	200.000	0.000
750000	51.456	87.427	0.000	200.000	0.000
1000000	55.263	89.435	0.000	200.000	0.000
1250000	205.495	157.496	0.000	600.000	200.000
1500000	585.340	155.172	200.000	800.000	600.000
1750000	49.565	85.845	0.000	200.000	0.000
2000000	362.832	232.796	0.000	1000.000	200.000
2250000	326.400	111.817	0.000	600.000	400.000
2500000	266.667	156.182	0.000	600.000	400.000
2750000	1076.730	372.514	600.000	4600.000	1000.000
3000000	2907.143	723.124	1600.000	6000.000	3000.000
3250000	1001.786	1166.648	200.000	3800.000	400.000
3500000	2928.889	1383.734	400.000	8000.000	3000.000
3750000	2752.252	1156.404	1200.000	8200.000	2800.000
4000000	3951.807	1383.410	2000.000	7400.000	3600.000
4250000	1926.190	2070.893	600.000	7500.000	800.000
4500000	3455.056	466.161	1700.000	4500.000	3400.000
4750000	2607.207	696.285	1000.000	3500.000	2200.000
5000000	7961.702	2298.802	2600.000	12200.000	6800.000
5250000	4613.699	2532.167	1000.000	9100.000	4700.000
5500000	4345.070	1609.110	1500.000	8700.000	5100.000
5750000	6652.727	3163.017	2000.000	10800.000	7400.000
6000000	3830.000	2123.405	600.000	10000.000	4500.000
6250000	4835.211	1137.714	2600.000	7900.000	4300.000
6500000	6803.773	2207.104	1800.000	10800.000	6800.000
6750000	3475.862	1266.452	1400.000	5800.000	3000.000
7000000	5832.759	1380.828	3700.000	8900.000	6100.000
7250000	5114.286	2023.384	1500.000	9500.000	4400.000
7500000	7878.261	1410.660	4700.000	10100.000	8700.000
7750000	8236.956	2076.929	3900.000	12100.000	8100.000
8000000	9224.391	1578.635	5500.000	12100.000	9500.000
8250000	4756.338	2559.365	2300.000	13600.000	3400.000
8500000	7340.000	2088.061	3100.000	12100.000	6200.000
8750000	7194.545	2495.918	4200.000	14100.000	8100.000
9000000	9172.341	3363.996	3100.000	14400.000	9800.000
9250000	11625.000	2119.536	5900.000	14800.000	12600.000
9500000	5913.433	2550.791	2300.000	13200.000	5800.000
9750000	3662.637	2338.575	600.000	8800.000	1800.000
10000000	5420.896	1771.713	2600.000	10800.000	5300.000
10250000	13735.294	2041.609	9600.000	15200.000	15000.000
10500000	5013.235	2008.431	1900.000	9200.000	4950.000
10750000	10887.805	2993.179	1400.000	14500.000	11700.000
11000000	14215.151	1377.552	9300.000	15400.000	14200.000
11250000	11263.415	2629.825	2000.000	15000.000	10200.000
11500000	11059.523	2744.957	6400.000	15200.000	11200.000
11750000	11916.667	1646.967	6000.000	13700.000	12100.000
12000000	10024.444	2817.182	2300.000	15300.000	9300.000
12250000	3275.490	2653.760	800.000	14700.000	3300.000
12500000	8808.511	3156.003	4600.000	14500.000	8800.000
12750000	3256.701	2140.089	1000.000	8900.000	2000.000
13000000	13048.571	2091.257	6500.000	14700.000	14500.000
13250000	12859.459	2434.156	3600.000	15400.000	13600.000
13500000	10286.667	2166.574	7300.000	14800.000	9400.000
13750000	10707.143	2821.634	3200.000	15200.000	11900.000
14000000	7685.714	3271.491	2100.000	14900.000	9300.000
14250000	10259.091	3085.326	4300.000	14900.000	8900.000
14500000	10327.907	2605.747	3500.000	14100.000	11100.000
14750000	7775.000	2535.339	4900.000	12100.000	6100.000
15000000	7605.556	2655.771	1700.000	12200.000	7200.000
