iteration	mean	std_dev	min	max	median
250000	189.474	138.772	0.000	490.000	160.000
500000	352.323	220.760	130.000	1030.000	330.000
750000	2396.471	443.574	1030.000	3130.000	2570.000
1000000	1910.769	674.508	340.000	3190.000	2140.000
1250000	1915.106	359.497	790.000	3020.000	1920.000
1500000	2145.000	490.358	1080.000	3500.000	2150.000
1750000	2496.591	895.103	1020.000	4980.000	2270.000
2000000	4554.062	1651.427	2100.000	8930.000	4505.000
2250000	5832.500	1639.605	2600.000	9300.000	5915.000
2500000	6461.429	1353.321	3690.000	8760.000	6600.000
2750000	7174.333	2125.947	5030.000	13010.000	6505.000
3000000	5767.059	2122.050	2120.000	10450.000	5780.000
3250000	5272.778	1422.780	2960.000	7510.000	4980.000
3500000	5681.765	1713.600	2000.000	8970.000	5525.000
3750000	7213.000	1995.929	3150.000	11230.000	7245.000
4000000	7623.571	1761.933	4130.000	11650.000	7330.000
4250000	7764.828	1986.157	4870.000	14420.000	7500.000
4500000	7679.286	1999.459	4300.000	12500.000	7415.000
4750000	6399.000	2268.560	2670.000	9580.000	6235.000
5000000	8089.615	1865.978	4740.000	11930.000	8090.000
5250000	7037.667	2184.688	3720.000	12540.000	7175.000
5500000	7311.667	2320.660	3360.000	12340.000	6735.000
5750000	7040.345	1396.242	4780.000	9550.000	7150.000
6000000	8444.230	1871.762	4900.000	11780.000	8430.000
6250000	7660.371	1914.441	4490.000	11630.000	8200.000
6500000	6276.875	1957.244	3300.000	11380.000	5900.000
6750000	7788.889	1967.260	3960.000	11780.000	7430.000
7000000	8265.000	1874.530	5610.000	13080.000	7685.000
7250000	7861.111	1642.307	5280.000	11620.000	7580.000
7500000	8716.000	2064.794	5630.000	12620.000	8100.000
7750000	9041.600	1775.812	6040.000	14100.000	8920.000
8000000	9977.826	2074.002	6840.000	13310.000	9250.000
8250000	8648.077	1498.512	6210.000	12210.000	8410.000
8500000	6380.606	1963.179	2620.000	10430.000	6230.000
8750000	7516.667	1592.987	5010.000	12100.000	7520.000
9000000	7481.852	1831.314	4390.000	11420.000	7150.000
9250000	9342.500	2151.182	5210.000	13360.000	8665.000
9500000	5373.514	1892.128	1430.000	10380.000	5320.000
9750000	8920.000	2009.330	5630.000	12840.000	8860.000
10000000	8385.000	1663.755	4590.000	11220.000	8790.000
10250000	7858.929	2009.830	3830.000	11860.000	7950.000
10500000	8017.308	2367.967	4270.000	12590.000	7685.000
10750000	9558.750	1871.578	5380.000	12340.000	9430.000
11000000	9071.200	2290.683	4430.000	15310.000	8790.000
11250000	8819.200	1882.073	6060.000	13840.000	8840.000
11500000	10353.182	2887.532	3640.000	15530.000	10390.000
11750000	9172.400	1607.513	6400.000	11660.000	9560.000
12000000	10239.546	1790.463	7330.000	13450.000	10070.000
12250000	9467.200	2326.304	4590.000	14890.000	9330.000
12500000	11053.333	2562.958	6680.000	14570.000	11790.000
12750000	9512.917	1590.219	5880.000	12780.000	9180.000
13000000	8081.111	2325.624	3380.000	13300.000	7850.000
13250000	10363.637	2388.306	5300.000	13850.000	10425.000
13500000	8270.741	2558.786	3120.000	13580.000	8170.000
