iteration	mean	std_dev	min	max	median
250000	302.617	108.277	100.000	620.000	260.000
500000	514.190	265.867	180.000	1450.000	460.000
750000	643.028	538.846	0.000	2210.000	500.000
1000000	5410.000	0.000	5410.000	5410.000	5410.000
1250000	5280.000	0.000	5280.000	5280.000	5280.000
1500000	4500.000	0.000	4500.000	4500.000	4500.000
1750000	2724.000	1828.558	200.000	4930.000	2790.000
2000000	217.465	292.323	40.000	1590.000	120.000
2250000	12174.211	4835.681	3380.000	22780.000	12170.000
2500000	4630.000	0.000	4630.000	4630.000	4630.000
2750000	4430.000	0.000	4430.000	4430.000	4430.000
3000000	5370.000	0.000	5370.000	5370.000	5370.000
3250000	4700.000	0.000	4700.000	4700.000	4700.000
3500000	4930.000	71.414	4840.000	5000.000	4940.000
3750000	4930.000	0.000	4930.000	4930.000	4930.000
4000000	3790.000	1303.150	1950.000	4800.000	4620.000
4250000	3951.250	2825.316	200.000	9400.000	4675.000
4500000	4970.000	0.000	4970.000	4970.000	4970.000
4750000	5280.000	0.000	5280.000	5280.000	5280.000
5000000	10912.500	4378.704	2860.000	17170.000	11810.000
5250000	8111.250	3567.826	4050.000	13660.000	8440.000
5500000	9513.750	3615.480	4990.000	17140.000	9330.000
5750000	11066.071	3884.639	5190.000	23170.000	10755.000
6000000	15407.619	3961.726	4520.000	18980.000	16960.000
6250000	13024.546	5343.023	4360.000	24880.000	12260.000
6500000	8020.000	2815.948	4710.000	11840.000	8710.000
6750000	2986.667	1190.779	1680.000	4560.000	2720.000
7000000	12591.739	3700.653	4770.000	20660.000	12810.000
7250000	5464.286	2811.140	1250.000	13300.000	4475.000
7500000	7798.000	4048.330	2800.000	15670.000	8550.000
7750000	7142.857	4680.629	4230.000	20230.000	4845.000
8000000	6813.333	3068.299	3960.000	11580.000	5085.000
8250000	5000.000	0.000	5000.000	5000.000	5000.000
8500000	5987.000	2141.392	4620.000	10350.000	5000.000
8750000	4530.000	0.000	4530.000	4530.000	4530.000
9000000	4488.667	3113.510	400.000	13990.000	4620.000
9250000	3697.778	1060.794	2590.000	5680.000	3220.000
9500000	4620.000	0.000	4620.000	4620.000	4620.000
9750000	19607.691	4879.576	10980.000	28960.000	19810.000
10000000	4650.000	0.000	4650.000	4650.000	4650.000
10250000	13330.000	2344.277	10620.000	16630.000	13060.000
10500000	4255.909	3528.766	260.000	14760.000	4025.000
10750000	9980.833	3566.367	4430.000	17200.000	10630.000
11000000	7655.000	3185.000	4470.000	10840.000	7655.000
11250000	5222.500	1204.894	3960.000	7210.000	4860.000
11500000	8784.000	2176.388	4740.000	10670.000	9950.000
11750000	2725.000	2325.000	400.000	5050.000	2725.000
12000000	7096.667	3239.065	3890.000	14750.000	4820.000
12250000	11394.546	5459.584	4720.000	23020.000	11020.000
12500000	8096.667	2119.879	5330.000	10480.000	8480.000
12750000	9052.895	3060.428	3550.000	16540.000	10260.000
13000000	11839.167	3320.641	4900.000	17330.000	11495.000
