iteration	mean	std_dev	min	max	median
250000	-100.000	0.000	-100.000	-100.000	-100.000
500000	-16.406	23.392	-210.000	0.000	-4.000
750000	-102.000	0.000	-102.000	-102.000	-102.000
1000000	0.000	0.000	0.000	0.000	0.000
1250000	0.000	0.000	0.000	0.000	0.000
1500000	0.000	0.000	0.000	0.000	0.000
1750000	0.000	0.000	0.000	0.000	0.000
2000000	-3.869	7.838	-45.000	0.000	0.000
2250000	0.000	0.000	0.000	0.000	0.000
2500000	0.000	0.000	0.000	0.000	0.000
2750000	-339.000	0.000	-339.000	-339.000	-339.000
3000000	0.000	0.000	0.000	0.000	0.000
3250000	0.000	0.000	0.000	0.000	0.000
3500000	-18.000	0.000	-18.000	-18.000	-18.000
3750000	0.000	0.000	0.000	0.000	0.000
4000000	-10.111	18.236	-51.000	0.000	0.000
4250000	-24.000	24.000	-48.000	0.000	-24.000
4500000	0.000	0.000	0.000	0.000	0.000
4750000	-21.800	19.263	-53.000	0.000	-31.000
5000000	0.000	0.000	0.000	0.000	0.000
5250000	-267.000	0.000	-267.000	-267.000	-267.000
5500000	0.000	0.000	0.000	0.000	0.000
5750000	-11.875	22.161	-64.000	0.000	0.000
6000000	-2.364	5.296	-24.000	0.000	0.000
6250000	-12.000	12.000	-24.000	0.000	-12.000
6500000	0.000	0.000	0.000	0.000	0.000
6750000	0.000	0.000	0.000	0.000	0.000
7000000	0.000	0.000	0.000	0.000	0.000
7250000	-15.333	20.739	-61.000	0.000	-4.000
7500000	-15.395	25.952	-188.000	0.000	-6.000
7750000	-37.000	0.000	-37.000	-37.000	-37.000
8000000	0.000	0.000	0.000	0.000	0.000
8250000	-35.667	50.440	-107.000	0.000	0.000
8500000	-38.000	0.000	-38.000	-38.000	-38.000
8750000	0.000	0.000	0.000	0.000	0.000
9000000	0.000	0.000	0.000	0.000	0.000
9250000	0.000	0.000	0.000	0.000	0.000
9500000	-34.684	24.370	-98.000	0.000	-28.000
9750000	0.000	0.000	0.000	0.000	0.000
10000000	0.000	0.000	0.000	0.000	0.000
10250000	0.000	0.000	0.000	0.000	0.000
10500000	-72.500	72.500	-145.000	0.000	-72.500
10750000	0.000	0.000	0.000	0.000	0.000
11000000	-10.000	0.000	-10.000	-10.000	-10.000
11250000	0.000	0.000	0.000	0.000	0.000
11500000	0.000	0.000	0.000	0.000	0.000
11750000	0.000	0.000	0.000	0.000	0.000
12000000	0.000	0.000	0.000	0.000	0.000
12250000	-13.100	12.357	-49.000	0.000	-13.000
12500000	-12.167	13.674	-34.000	0.000	-3.000
12750000	-50.000	50.000	-100.000	0.000	-50.000
13000000	0.000	0.000	0.000	0.000	0.000
13250000	0.000	0.000	0.000	0.000	0.000
13500000	0.000	0.000	0.000	0.000	0.000
13750000	-5.200	10.400	-26.000	0.000	0.000
14000000	-20.000	0.000	-20.000	-20.000	-20.000
14250000	-17.172	27.230	-135.000	0.000	-9.000
14500000	-2.500	1.500	-4.000	-1.000	-2.500
14750000	0.000	0.000	0.000	0.000	0.000
15000000	0.000	0.000	0.000	0.000	0.000
15250000	-18.000	0.000	-18.000	-18.000	-18.000
15500000	0.000	0.000	0.000	0.000	0.000
15750000	-10.225	17.659	-72.000	0.000	0.000
16000000	0.000	0.000	0.000	0.000	0.000
16250000	-8.750	11.311	-24.000	0.000	0.000
16500000	0.000	0.000	0.000	0.000	0.000
16750000	-2.286	4.802	-14.000	0.000	0.000
