iteration	mean	std_dev	min	max	median
250000	-21.000	0.000	-21.000	-21.000	-21.000
500000	-21.000	0.000	-21.000	-21.000	-21.000
750000	-21.000	0.000	-21.000	-21.000	-21.000
1000000	-19.782	0.815	-21.000	-19.000	-20.000
1250000	-14.082	6.673	-21.000	-4.000	-19.000
1500000	-19.753	0.790	-21.000	-18.000	-20.000
1750000	2.932	15.548	-19.000	20.000	5.500
2000000	-8.014	13.863	-21.000	21.000	-11.000
2250000	-1.842	16.706	-21.000	21.000	-10.000
2500000	10.509	14.842	-19.000	21.000	17.000
2750000	6.523	10.237	-21.000	20.000	1.000
3000000	-1.295	16.208	-18.000	21.000	-15.000
3250000	16.852	5.642	1.000	21.000	20.000
3500000	17.407	3.754	5.000	21.000	19.000
3750000	19.750	1.335	14.000	21.000	20.000
4000000	16.981	4.374	5.000	20.000	20.000
4250000	20.662	0.584	19.000	21.000	21.000
4500000	17.983	1.266	16.000	20.000	17.000
4750000	18.966	1.564	14.000	21.000	19.000
5000000	18.041	2.441	12.000	20.000	19.000
5250000	19.439	3.085	-3.000	21.000	21.000
5500000	20.224	0.861	18.000	21.000	20.000
5750000	17.333	2.867	14.000	21.000	17.000
6000000	19.413	0.611	18.000	20.000	19.000
6250000	20.091	0.883	19.000	21.000	20.000
6500000	20.190	0.906	18.000	21.000	21.000
6750000	20.985	0.122	20.000	21.000	21.000
7000000	19.533	1.396	17.000	21.000	19.000
7250000	17.093	3.708	11.000	21.000	15.000
7500000	18.333	3.197	14.000	21.000	21.000
7750000	20.415	0.523	19.000	21.000	20.000
8000000	20.957	0.266	19.000	21.000	21.000
8250000	20.986	0.120	20.000	21.000	21.000
8500000	20.388	0.622	18.000	21.000	20.000
8750000	20.556	0.717	19.000	21.000	21.000
9000000	20.940	0.237	20.000	21.000	21.000
9250000	20.806	0.432	19.000	21.000	21.000
9500000	20.750	0.496	19.000	21.000	21.000
9750000	20.571	0.750	18.000	21.000	21.000
10000000	20.466	0.532	19.000	21.000	20.000
10250000	20.688	0.634	18.000	21.000	21.000
10500000	18.885	3.338	12.000	21.000	21.000
10750000	21.000	0.000	21.000	21.000	21.000
11000000	20.857	0.393	19.000	21.000	21.000
11250000	20.000	0.616	19.000	21.000	20.000
11500000	20.322	1.142	15.000	21.000	21.000
11750000	20.855	0.564	17.000	21.000	21.000
12000000	17.920	6.876	-2.000	21.000	21.000
12250000	19.808	1.225	18.000	21.000	20.000
12500000	20.250	0.661	19.000	21.000	20.000
12750000	20.175	1.557	16.000	21.000	21.000
13000000	20.738	0.440	20.000	21.000	21.000
13250000	20.926	0.356	19.000	21.000	21.000
13500000	20.545	0.838	18.000	21.000	21.000
13750000	20.661	0.473	20.000	21.000	21.000
14000000	20.965	0.184	20.000	21.000	21.000
14250000	20.955	0.207	20.000	21.000	21.000
14500000	20.684	0.465	20.000	21.000	21.000
14750000	20.899	0.347	19.000	21.000	21.000
15000000	20.967	0.180	20.000	21.000	21.000
15250000	20.519	0.918	15.000	21.000	21.000
15500000	20.431	0.591	19.000	21.000	20.000
15750000	20.873	0.333	20.000	21.000	21.000
16000000	20.733	0.442	20.000	21.000	21.000
16250000	20.661	0.606	18.000	21.000	21.000
16500000	20.983	0.128	20.000	21.000	21.000
16750000	20.984	0.127	20.000	21.000	21.000
17000000	20.942	0.233	20.000	21.000	21.000
17250000	20.949	0.220	20.000	21.000	21.000
17500000	21.000	0.000	21.000	21.000	21.000
17750000	20.949	0.287	19.000	21.000	21.000
18000000	20.873	0.384	19.000	21.000	21.000
18250000	20.473	0.850	19.000	21.000	21.000
18500000	20.867	0.427	19.000	21.000	21.000
18750000	20.967	0.256	19.000	21.000	21.000
19000000	20.967	0.178	20.000	21.000	21.000
19250000	20.415	0.899	18.000	21.000	21.000
19500000	21.000	0.000	21.000	21.000	21.000
19750000	20.948	0.289	19.000	21.000	21.000
20000000	20.889	0.369	19.000	21.000	21.000
20250000	20.948	0.221	20.000	21.000	21.000
20500000	20.942	0.234	20.000	21.000	21.000
20750000	20.883	0.321	20.000	21.000	21.000
21000000	20.905	0.343	19.000	21.000	21.000
21250000	20.941	0.235	20.000	21.000	21.000
21500000	20.942	0.234	20.000	21.000	21.000
21750000	20.971	0.168	20.000	21.000	21.000
22000000	20.860	0.395	19.000	21.000	21.000
22250000	20.942	0.234	20.000	21.000	21.000
22500000	20.932	0.312	19.000	21.000	21.000
22750000	20.903	0.346	19.000	21.000	21.000
23000000	20.928	0.259	20.000	21.000	21.000
23250000	20.941	0.235	20.000	21.000	21.000
23500000	20.955	0.208	20.000	21.000	21.000
23750000	20.955	0.207	20.000	21.000	21.000
24000000	20.797	0.402	20.000	21.000	21.000
24250000	20.806	0.395	20.000	21.000	21.000
24500000	20.940	0.237	20.000	21.000	21.000
24750000	20.875	0.415	19.000	21.000	21.000
25000000	20.942	0.234	20.000	21.000	21.000
25250000	20.985	0.121	20.000	21.000	21.000
25500000	20.754	0.463	19.000	21.000	21.000
25750000	20.200	0.833	18.000	21.000	20.000
26000000	20.928	0.310	19.000	21.000	21.000
26250000	20.632	0.540	19.000	21.000	21.000
26500000	20.957	0.204	20.000	21.000	21.000
26750000	20.986	0.119	20.000	21.000	21.000
27000000	20.910	0.286	20.000	21.000	21.000
27250000	20.935	0.246	20.000	21.000	21.000
27500000	20.691	0.462	20.000	21.000	21.000
27750000	20.810	0.507	19.000	21.000	21.000
28000000	20.957	0.204	20.000	21.000	21.000
28250000	20.924	0.401	18.000	21.000	21.000
28500000	20.986	0.119	20.000	21.000	21.000
28750000	20.694	0.461	20.000	21.000	21.000
29000000	20.938	0.240	20.000	21.000	21.000
29250000	20.957	0.204	20.000	21.000	21.000
29500000	20.943	0.232	20.000	21.000	21.000
29750000	20.985	0.120	20.000	21.000	21.000
30000000	20.646	0.618	18.000	21.000	21.000
30250000	20.925	0.263	20.000	21.000	21.000
30500000	20.956	0.205	20.000	21.000	21.000
30750000	20.943	0.232	20.000	21.000	21.000
31000000	20.926	0.312	19.000	21.000	21.000
31250000	20.985	0.121	20.000	21.000	21.000
31500000	20.971	0.169	20.000	21.000	21.000
31750000	20.970	0.171	20.000	21.000	21.000
32000000	20.958	0.201	20.000	21.000	21.000
32250000	20.986	0.117	20.000	21.000	21.000
32500000	21.000	0.000	21.000	21.000	21.000
32750000	20.973	0.163	20.000	21.000	21.000
33000000	20.871	0.532	17.000	21.000	21.000
33250000	20.972	0.165	20.000	21.000	21.000
33500000	20.931	0.304	19.000	21.000	21.000
33750000	20.931	0.304	19.000	21.000	21.000
34000000	20.917	0.276	20.000	21.000	21.000
34250000	20.931	0.254	20.000	21.000	21.000
34500000	20.944	0.229	20.000	21.000	21.000
34750000	20.232	0.515	19.000	21.000	20.000
35000000	20.928	0.259	20.000	21.000	21.000
35250000	20.931	0.304	19.000	21.000	21.000
35500000	20.973	0.162	20.000	21.000	21.000
35750000	20.959	0.199	20.000	21.000	21.000
36000000	20.403	1.185	17.000	21.000	21.000
36250000	20.292	0.626	17.000	21.000	20.000
36500000	20.973	0.163	20.000	21.000	21.000
36750000	20.958	0.262	19.000	21.000	21.000
37000000	20.914	0.368	19.000	21.000	21.000
37250000	20.127	1.188	18.000	21.000	21.000
37500000	20.683	0.532	19.000	21.000	21.000
37750000	20.379	0.917	18.000	21.000	21.000
38000000	20.456	0.527	19.000	21.000	20.000
38250000	20.015	1.261	17.000	21.000	21.000
38500000	20.855	0.546	17.000	21.000	21.000
38750000	20.937	0.302	19.000	21.000	21.000
39000000	20.952	0.278	19.000	21.000	21.000
39250000	20.667	0.639	18.000	21.000	21.000
39500000	20.904	0.294	20.000	21.000	21.000
39750000	20.882	0.323	20.000	21.000	21.000
40000000	20.920	0.317	19.000	21.000	21.000
40250000	20.961	0.252	19.000	21.000	21.000
40500000	20.974	0.159	20.000	21.000	21.000
40750000	20.949	0.221	20.000	21.000	21.000
41000000	21.000	0.000	21.000	21.000	21.000
41250000	20.962	0.192	20.000	21.000	21.000
41500000	20.922	0.313	19.000	21.000	21.000
41750000	20.948	0.222	20.000	21.000	21.000
42000000	20.936	0.245	20.000	21.000	21.000
42250000	20.987	0.113	20.000	21.000	21.000
42500000	20.987	0.114	20.000	21.000	21.000
42750000	20.974	0.158	20.000	21.000	21.000
43000000	20.949	0.221	20.000	21.000	21.000
43250000	20.974	0.158	20.000	21.000	21.000
43500000	20.936	0.245	20.000	21.000	21.000
43750000	20.987	0.112	20.000	21.000	21.000
44000000	20.936	0.245	20.000	21.000	21.000
44250000	20.974	0.158	20.000	21.000	21.000
44500000	21.000	0.000	21.000	21.000	21.000
44750000	20.957	0.203	20.000	21.000	21.000
45000000	20.936	0.245	20.000	21.000	21.000
45250000	20.962	0.192	20.000	21.000	21.000
45500000	20.688	2.072	3.000	21.000	21.000
45750000	20.714	0.452	20.000	21.000	21.000
46000000	20.987	0.112	20.000	21.000	21.000
46250000	20.922	0.268	20.000	21.000	21.000
46500000	20.974	0.158	20.000	21.000	21.000
46750000	20.961	0.195	20.000	21.000	21.000
47000000	20.397	0.677	17.000	21.000	20.000
47250000	20.873	0.373	19.000	21.000	21.000
47500000	20.962	0.250	19.000	21.000	21.000
47750000	20.974	0.159	20.000	21.000	21.000
48000000	20.973	0.163	20.000	21.000	21.000
48250000	20.667	0.577	18.000	21.000	21.000
48500000	20.974	0.159	20.000	21.000	21.000
48750000	20.932	0.251	20.000	21.000	21.000
49000000	20.987	0.112	20.000	21.000	21.000
49250000	20.987	0.115	20.000	21.000	21.000
49500000	20.987	0.114	20.000	21.000	21.000
49750000	21.000	0.000	21.000	21.000	21.000
50000000	20.949	0.221	20.000	21.000	21.000
