iteration	mean	std_dev	min	max	median
250000	517.702	191.874	200.000	1570.000	440.000
500000	989.667	379.846	550.000	1800.000	800.000
750000	1840.293	187.050	1380.000	2760.000	1850.000
1000000	2262.446	303.860	1660.000	3360.000	2120.000
1250000	2390.855	162.426	2100.000	3010.000	2390.000
1500000	2060.278	146.577	1830.000	2490.000	2030.000
1750000	2383.104	251.409	2090.000	3280.000	2270.000
2000000	3306.094	495.645	2340.000	4440.000	3185.000
2250000	3659.167	545.459	2670.000	4960.000	3520.000
2500000	4142.342	692.831	2780.000	5470.000	4140.000
2750000	4557.636	1002.066	2420.000	6720.000	4695.000
3000000	6371.494	1168.790	3570.000	7940.000	6620.000
3250000	6202.198	1094.559	3380.000	7970.000	6300.000
3500000	6654.819	1709.578	3360.000	8600.000	7410.000
3750000	6698.977	1251.400	3020.000	8860.000	7240.000
4000000	7200.526	669.615	5070.000	8760.000	7020.000
4250000	7422.247	1302.397	4470.000	9080.000	7790.000
4500000	7684.711	548.314	3600.000	8410.000	7760.000
4750000	8557.816	1129.943	4770.000	10130.000	8890.000
5000000	8428.536	1091.699	3280.000	9630.000	8375.000
5250000	8434.103	1154.626	3890.000	9660.000	8710.000
5500000	8861.250	843.181	4190.000	10500.000	8740.000
5750000	8667.850	582.588	6710.000	9720.000	8630.000
6000000	9498.400	1054.198	7950.000	11690.000	9040.000
6250000	8782.346	452.328	6510.000	9810.000	8910.000
6500000	9849.866	1956.360	6200.000	13270.000	9310.000
6750000	10060.731	1436.781	3040.000	12060.000	10305.000
7000000	11690.758	1486.976	6080.000	13440.000	11920.000
7250000	11422.254	1220.150	3570.000	13000.000	11440.000
7500000	11306.986	1933.948	3870.000	14610.000	11760.000
7750000	11206.892	1012.291	8610.000	14400.000	11170.000
8000000	12241.875	1277.079	8600.000	14780.000	11940.000
8250000	10911.791	2309.595	3850.000	14940.000	11850.000
8500000	12986.936	1477.652	9210.000	16740.000	13175.000
8750000	13160.448	2077.104	8540.000	15900.000	13100.000
9000000	13178.308	1705.814	6670.000	16050.000	12860.000
9250000	13148.387	1547.104	8330.000	15210.000	12840.000
9500000	13767.869	1409.204	9640.000	16300.000	13730.000
9750000	12927.879	2223.264	5460.000	15780.000	13900.000
10000000	13070.896	2212.786	9260.000	15770.000	13190.000
10250000	14217.586	1731.897	9720.000	17940.000	14465.000
10500000	13208.710	2412.552	5980.000	18140.000	13460.000
10750000	11082.500	2717.230	6870.000	16280.000	10520.000
11000000	12240.526	4443.628	3110.000	17790.000	13600.000
11250000	14403.833	1386.933	11400.000	16770.000	14830.000
11500000	14690.322	1320.833	12010.000	18820.000	14815.000
11750000	13135.968	2769.316	7290.000	17600.000	14275.000
12000000	14549.836	1500.244	11150.000	16990.000	15070.000
12250000	15092.951	1375.835	11800.000	17840.000	15220.000
12500000	14507.213	2873.210	3000.000	19020.000	15620.000
12750000	14120.000	2307.342	5450.000	19660.000	14840.000
13000000	16477.037	1551.519	12530.000	19020.000	16695.000
13250000	15573.571	1673.770	12440.000	19420.000	15515.000
13500000	13939.345	1930.601	8940.000	16990.000	14760.000
13750000	14638.064	1857.913	9830.000	17790.000	15080.000
14000000	15127.500	2171.213	9840.000	18540.000	15235.000
14250000	13460.952	2092.380	6620.000	19110.000	13240.000
14500000	14101.562	2656.454	9420.000	19250.000	14145.000
14750000	15509.500	1883.090	9930.000	19090.000	15590.000
15000000	14537.705	2261.171	9020.000	18600.000	15340.000
15250000	14444.762	2686.885	9130.000	18980.000	15130.000
15500000	13173.492	3594.480	3170.000	19160.000	13700.000
15750000	14451.250	2154.060	7060.000	19230.000	14490.000
16000000	13741.692	2699.684	6810.000	20880.000	13220.000
16250000	13611.864	1947.189	6610.000	17970.000	13470.000
16500000	15448.196	2081.547	9480.000	18740.000	15670.000
16750000	14547.869	2247.912	5280.000	19140.000	15110.000
17000000	14846.271	2042.499	9330.000	18910.000	15410.000
17250000	10989.868	4394.168	3390.000	18940.000	7700.000
17500000	14902.728	2089.346	8020.000	22640.000	15030.000
17750000	14615.714	2483.349	8660.000	20110.000	14740.000
18000000	14166.154	2531.146	8680.000	20660.000	13140.000
18250000	12985.522	2535.408	7690.000	17810.000	13090.000
18500000	11744.800	2853.063	8370.000	18400.000	11400.000
18750000	14454.412	2308.560	6630.000	18950.000	14940.000
19000000	15450.526	2473.848	8530.000	19620.000	15710.000
19250000	14284.091	2865.573	3810.000	19420.000	14990.000
19500000	15215.370	1756.796	9540.000	18700.000	15295.000
19750000	14262.770	3184.399	6290.000	19140.000	14910.000
20000000	16114.311	2588.852	9330.000	22160.000	16185.000
20250000	15194.667	2476.262	6750.000	22250.000	15165.000
20500000	16094.562	2020.888	11470.000	20790.000	15920.000
20750000	15712.280	2868.570	7370.000	22930.000	15490.000
21000000	14388.484	2273.644	8220.000	21130.000	14850.000
21250000	15359.311	2089.013	11410.000	23030.000	15260.000
21500000	16870.525	1965.275	12290.000	21600.000	17460.000
21750000	15478.500	2777.382	5980.000	19280.000	15930.000
22000000	16066.271	2318.813	11740.000	21400.000	15890.000
22250000	16498.545	2996.803	9030.000	23590.000	16560.000
