iteration	mean	std_dev	min	max	median
250000	1.860	28.212	0.000	1100.000	0.000
500000	809.877	493.064	0.000	3100.000	800.000
750000	533.333	765.768	0.000	4300.000	100.000
1000000	853.602	831.898	100.000	7800.000	500.000
1250000	812.704	754.432	0.000	4200.000	600.000
1500000	3782.155	2626.452	100.000	12100.000	2700.000
1750000	7270.524	4252.221	1300.000	17200.000	6450.000
2000000	12309.538	5015.911	1400.000	26700.000	12750.000
2250000	19540.171	4348.626	1300.000	33700.000	19100.000
2500000	23509.677	5756.301	3800.000	40100.000	23100.000
2750000	26573.967	5968.743	14200.000	52600.000	25800.000
3000000	30026.148	7340.855	10300.000	51100.000	29700.000
3250000	32427.817	6378.361	16300.000	53100.000	32250.000
3500000	31900.000	6612.503	16200.000	55400.000	30600.000
3750000	34069.340	6125.785	19500.000	50600.000	33800.000
4000000	34661.712	7371.440	7500.000	53600.000	34400.000
4250000	37106.707	6804.815	23100.000	55500.000	37400.000
4500000	37282.530	7436.713	5700.000	58200.000	37900.000
4750000	41182.587	7285.981	17900.000	62700.000	41100.000
5000000	41243.719	7963.992	26100.000	62500.000	41100.000
5250000	42736.683	7772.281	26800.000	60800.000	42600.000
5500000	42524.554	10042.965	4600.000	67100.000	43500.000
5750000	44629.167	7869.458	22500.000	66400.000	46050.000
6000000	46404.082	7753.945	28400.000	67100.000	47500.000
6250000	42760.377	7559.026	14100.000	64800.000	42000.000
6500000	46423.684	8218.574	31100.000	66500.000	44850.000
6750000	46907.389	7169.180	31500.000	67500.000	47600.000
7000000	50021.939	9390.827	0.000	68600.000	50250.000
7250000	50846.789	8664.835	11500.000	71100.000	52150.000
7500000	52887.019	7025.775	35000.000	75000.000	52950.000
7750000	48484.753	9441.286	19500.000	73900.000	49700.000
8000000	54254.902	8373.957	34800.000	80500.000	53700.000
8250000	53238.298	8713.092	30400.000	71900.000	52700.000
8500000	50555.294	11025.420	12500.000	75400.000	50750.000
8750000	52021.622	8923.553	33300.000	73700.000	52500.000
9000000	55949.727	9230.970	6600.000	74000.000	57000.000
9250000	55058.031	8219.940	35400.000	71900.000	55100.000
9500000	54007.477	8010.352	24800.000	76100.000	53750.000
9750000	55984.500	10392.411	9600.000	77600.000	57150.000
10000000	54104.926	9226.460	29700.000	78400.000	54400.000
10250000	54778.488	8784.087	34900.000	75200.000	54100.000
10500000	57593.194	8474.360	30600.000	80000.000	57800.000
10750000	59062.814	7934.096	40600.000	76000.000	59400.000
11000000	56511.917	7622.479	36900.000	75200.000	56800.000
11250000	56356.716	9935.031	3600.000	75200.000	57000.000
11500000	58833.679	7465.586	42100.000	80400.000	58900.000
11750000	58262.791	8342.718	29400.000	77900.000	57700.000
12000000	54741.546	9003.092	30900.000	77900.000	55200.000
12250000	55586.500	8956.326	31300.000	75200.000	55400.000
12500000	56037.569	8031.452	38800.000	76200.000	56000.000
12750000	59486.528	8717.829	31500.000	76900.000	60000.000
13000000	57137.824	9097.439	30300.000	77200.000	56700.000
13250000	57630.769	8113.252	30900.000	78400.000	58000.000
13500000	56544.286	8571.803	33000.000	76000.000	57350.000
13750000	57651.010	9500.807	24100.000	81100.000	57150.000
14000000	58585.204	8710.118	30800.000	79800.000	57650.000
14250000	56789.000	8399.665	25500.000	75100.000	56600.000
14500000	61690.052	8844.033	15700.000	77000.000	63300.000
