iteration	mean	std_dev	min	max	median
250000	3.183	20.215	0.000	300.000	0.000
500000	965.714	694.444	0.000	2700.000	1000.000
750000	147.507	361.775	0.000	1100.000	0.000
1000000	3740.000	2608.908	200.000	7800.000	4100.000
1250000	1369.565	786.852	0.000	4200.000	1300.000
1500000	8082.170	1505.105	3500.000	12100.000	8100.000
1750000	12985.483	1620.170	9100.000	17200.000	12750.000
2000000	17410.619	2064.850	12800.000	26700.000	17400.000
2250000	19533.912	4028.548	11900.000	33700.000	18800.000
2500000	19431.959	4761.412	3800.000	33800.000	21800.000
2750000	28840.707	5393.107	14600.000	51000.000	29800.000
3000000	27270.666	5417.423	18900.000	45800.000	26600.000
3250000	33064.219	6080.356	21000.000	53100.000	32500.000
3500000	31688.637	6514.048	20000.000	55400.000	32500.000
3750000	33848.000	5340.028	22600.000	46400.000	33050.000
4000000	33237.930	7393.913	26500.000	51100.000	29500.000
4250000	36913.727	7239.489	23100.000	55500.000	37400.000
4500000	36543.902	6037.871	24800.000	49300.000	37200.000
4750000	38842.855	5946.050	28200.000	54100.000	39500.000
5000000	39201.695	7617.720	26100.000	52600.000	39900.000
5250000	40244.086	7355.336	26800.000	55500.000	39600.000
5500000	41540.324	7060.806	26100.000	63300.000	41300.000
5750000	43227.535	5979.721	28800.000	58500.000	42200.000
6000000	46326.668	7780.957	28400.000	62000.000	47500.000
6250000	44380.000	6290.358	35400.000	56500.000	43050.000
6500000	50000.000	7466.592	40800.000	66500.000	46400.000
6750000	46347.367	7698.829	32100.000	60900.000	48350.000
7000000	51648.277	8870.607	32400.000	68600.000	50700.000
7250000	50867.949	9868.773	11500.000	67700.000	52500.000
7500000	53083.824	7075.197	38200.000	75000.000	52050.000
7750000	47366.250	8516.072	27300.000	73900.000	47850.000
8000000	57340.000	8556.992	46300.000	80500.000	56650.000
8250000	53305.883	7152.784	38600.000	69600.000	53600.000
8500000	49420.000	6452.462	37900.000	60700.000	49600.000
8750000	51811.109	7618.755	39200.000	64500.000	52100.000
9000000	52106.410	10442.632	6600.000	74000.000	52200.000
9250000	53074.625	9790.862	35400.000	70600.000	53100.000
9500000	53431.344	6904.708	34700.000	65200.000	53600.000
9750000	52301.352	12543.842	9600.000	70400.000	54400.000
10000000	56456.062	8950.234	37700.000	78400.000	56650.000
10250000	53909.590	9258.601	34900.000	75100.000	54600.000
10500000	60559.375	8793.015	39300.000	76100.000	61200.000
10750000	59037.680	7847.756	40600.000	75200.000	59600.000
11000000	53823.438	9270.042	36900.000	73600.000	54450.000
11250000	56276.469	13647.087	3600.000	72000.000	58900.000
11500000	59149.254	7946.845	42100.000	77900.000	59600.000
11750000	59243.750	9092.165	29400.000	77900.000	58700.000
12000000	58831.250	9208.894	30900.000	73700.000	60200.000
12250000	60032.203	7602.752	42100.000	75200.000	59500.000
12500000	56728.125	7179.778	43600.000	73100.000	56850.000
12750000	61823.078	7488.058	39900.000	76600.000	63000.000
13000000	56310.605	10680.613	30300.000	75400.000	57400.000
13250000	61519.445	9393.816	34500.000	76300.000	62450.000
13500000	57208.824	7864.099	37100.000	74400.000	57450.000
13750000	55414.926	10707.693	24100.000	74500.000	56100.000
14000000	63522.582	6378.250	48500.000	79800.000	63000.000
14250000	58557.574	8263.173	26100.000	73900.000	59100.000
14500000	61656.922	10262.059	15700.000	77000.000	63900.000
14750000	59612.699	8885.184	39100.000	80600.000	60100.000
15000000	58668.184	6916.716	38500.000	73700.000	59850.000
