iteration	mean	std_dev	min	max	median
250000	-29972.951	13.913	-29998.000	-29950.000	-29972.000
500000	-29973.642	14.064	-29998.000	-29950.000	-29975.000
750000	-29973.210	14.019	-29998.000	-29950.000	-29973.000
1000000	-29973.877	14.621	-29998.000	-29950.000	-29973.000
1250000	-19408.621	7608.441	-38894.000	-8934.000	-15544.000
1500000	-15475.004	7719.707	-29998.000	-8789.000	-12993.000
1750000	-14716.707	6828.205	-35877.000	-7230.000	-12735.000
2000000	-16792.763	6025.052	-36619.000	-9013.000	-14352.000
2250000	-18517.290	6145.794	-33553.000	-9828.000	-17455.000
2500000	-26256.739	5271.260	-38315.000	-12502.000	-29955.000
2750000	-27133.188	5381.912	-38136.000	-14026.000	-29958.000
3000000	-21071.435	7489.655	-38795.000	-10687.000	-16951.500
3250000	-15611.223	6918.953	-35692.000	-7730.000	-12915.000
3500000	-29977.210	14.611	-29998.000	-29952.000	-29978.000
3750000	-17710.179	5504.438	-38514.000	-8343.000	-16380.000
4000000	-29975.469	15.678	-29998.000	-29950.000	-29978.000
4250000	-22868.290	6380.751	-38251.000	-11213.000	-22434.000
4500000	-18645.875	5885.375	-39294.000	-11507.000	-17181.000
4750000	-17002.744	7696.517	-29997.000	-8292.000	-12812.000
5000000	-22473.184	5933.018	-34990.000	-12460.000	-21816.500
5250000	-22705.469	6375.246	-37267.000	-13901.000	-20519.000
5500000	-20680.481	6670.127	-38976.000	-10973.000	-18782.000
5750000	-20681.076	6346.104	-36076.000	-11827.000	-19042.000
6000000	-24147.967	6904.951	-33021.000	-11951.000	-29955.000
6250000	-27411.515	4683.520	-33085.000	-13811.000	-29960.000
6500000	-26487.513	6466.802	-38165.000	-13278.000	-29955.000
6750000	-25310.500	6857.743	-39473.000	-9500.000	-27705.000
7000000	-19992.116	8218.416	-37891.000	-8966.000	-16969.000
7250000	-19687.899	6195.626	-37597.000	-11729.000	-17614.000
7500000	-18998.749	5590.658	-37241.000	-8264.000	-16791.000
7750000	-24610.742	5896.315	-37253.000	-11769.000	-25181.000
8000000	-19120.333	6004.965	-37366.000	-9117.000	-17122.500
8250000	-21853.451	4732.471	-36990.000	-13702.000	-20381.000
8500000	-18558.820	5228.760	-38557.000	-13030.000	-15867.000
8750000	-23385.238	6876.449	-39608.000	-13984.000	-21928.000
9000000	-18927.765	4933.779	-39023.000	-11480.000	-17049.000
9250000	-20334.633	6578.547	-32972.000	-13432.000	-15892.000
9500000	-20134.371	6194.978	-37886.000	-13450.000	-16268.000
9750000	-23368.980	6120.406	-39133.000	-10948.000	-22418.500
10000000	-19486.572	5848.834	-29998.000	-12913.000	-15762.000
10250000	-27344.773	5462.535	-38630.000	-15460.000	-29967.500
10500000	-23609.019	5867.931	-38504.000	-15158.000	-23046.000
10750000	-18739.244	5661.795	-39519.000	-11928.000	-16107.000
11000000	-20931.618	5558.428	-36411.000	-14768.000	-19213.500
11250000	-19808.627	6559.072	-37989.000	-12031.000	-16330.000
11500000	-22664.895	5879.011	-37745.000	-13355.000	-21525.000
11750000	-16558.044	4506.053	-38015.000	-10165.000	-14841.000
12000000	-18625.848	6026.113	-37942.000	-10341.000	-16110.000
12250000	-18554.092	6101.779	-35481.000	-11185.000	-15653.500
12500000	-18924.569	5969.226	-38423.000	-10433.000	-16753.000
12750000	-22168.243	7217.852	-37517.000	-7425.000	-20364.500
13000000	-18915.844	5890.456	-29998.000	-11095.000	-16330.000
13250000	-22598.593	7355.027	-39912.000	-11775.000	-22151.000
13500000	-19510.849	7443.701	-37131.000	-11156.000	-16753.000
13750000	-21518.542	6630.093	-39059.000	-13828.000	-18833.500
14000000	-22172.326	5913.326	-37277.000	-14823.000	-20793.000
14250000	-23396.953	5318.677	-36620.000	-15354.000	-21226.500
14500000	-24131.164	6523.862	-39943.000	-14763.000	-23955.500
14750000	-28030.155	5535.249	-38885.000	-12971.000	-29968.000
15000000	-20551.416	6500.142	-38353.000	-10584.000	-18406.000
15250000	-16663.193	5219.673	-37637.000	-12369.000	-15061.500
15500000	-24579.534	7253.978	-39883.000	-10227.000	-23186.500
15750000	-23890.915	6373.271	-38262.000	-13718.000	-22650.000
16000000	-21251.255	6222.930	-36811.000	-13025.000	-18818.500
16250000	-23805.527	6789.001	-39992.000	-13114.000	-23989.000
16500000	-21790.178	7101.563	-38040.000	-12821.000	-20123.000
16750000	-20708.761	6577.601	-39052.000	-11382.000	-17921.000
17000000	-23133.381	7442.073	-37237.000	-9167.000	-24431.000
17250000	-24733.813	6141.049	-37488.000	-14523.000	-24144.000
17500000	-24166.597	6484.312	-39077.000	-14386.000	-23940.000
17750000	-21396.749	6501.645	-37756.000	-12505.000	-18339.000
18000000	-25436.705	6075.909	-36776.000	-12890.000	-29951.000
18250000	-19186.991	5537.610	-36566.000	-12773.000	-16242.000
18500000	-15175.193	4976.954	-33161.000	-8081.000	-14757.000
18750000	-17775.906	5657.443	-39344.000	-10739.000	-15690.000
19000000	-19374.545	6575.044	-30406.000	-10787.000	-15428.000
19250000	-24948.518	6702.146	-38406.000	-13235.000	-25832.000
19500000	-19114.855	5281.436	-34934.000	-12575.000	-16410.000
19750000	-26506.849	6156.662	-37044.000	-12438.000	-29967.000
20000000	-21248.021	7436.927	-39357.000	-12392.000	-17698.000
20250000	-20216.624	6497.030	-38579.000	-11511.000	-16753.000
20500000	-21647.889	7011.679	-39794.000	-12932.000	-18362.500
20750000	-25672.193	6200.988	-35339.000	-15426.000	-29960.000
21000000	-25880.548	6191.177	-37941.000	-11789.000	-28595.000
21250000	-26728.169	6215.445	-39557.000	-15530.000	-29953.000
21500000	-23740.378	6758.535	-38716.000	-15360.000	-24209.000
21750000	-21619.180	6305.295	-39214.000	-14041.000	-19413.500
22000000	-18625.235	6380.057	-39046.000	-12637.000	-15242.000
22250000	-19803.729	5798.539	-37507.000	-13319.000	-16503.000
22500000	-20284.108	6787.493	-39325.000	-10715.000	-16089.000
22750000	-19739.628	6084.173	-38789.000	-9438.000	-17341.000
23000000	-20004.208	6517.135	-37303.000	-11296.000	-16326.000
23250000	-23557.831	7033.768	-39482.000	-11969.000	-22384.000
