iteration	mean	std_dev	min	max	median
250000	0.000	0.000	0.000	0.000	0.000
500000	160.000	94.657	0.000	400.000	160.000
750000	1300.000	1090.871	0.000	3200.000	1000.000
1000000	0.000	0.000	0.000	0.000	0.000
1250000	426.667	253.684	0.000	880.000	440.000
1500000	124.444	272.238	0.000	880.000	0.000
1750000	91.429	144.561	0.000	320.000	0.000
2000000	7.742	23.652	0.000	80.000	0.000
2250000	0.000	0.000	0.000	0.000	0.000
2500000	0.000	0.000	0.000	0.000	0.000
2750000	35.556	39.752	0.000	80.000	0.000
3000000	20.000	47.610	0.000	160.000	0.000
3250000	827.500	525.161	0.000	1820.000	780.000
3500000	0.000	0.000	0.000	0.000	0.000
3750000	139.259	163.796	0.000	560.000	80.000
4000000	3.333	15.986	0.000	80.000	0.000
4250000	304.444	132.591	80.000	500.000	320.000
4500000	61.818	33.526	0.000	80.000	80.000
4750000	50.000	111.803	0.000	300.000	0.000
5000000	57.143	139.971	0.000	400.000	0.000
5250000	0.000	0.000	0.000	0.000	0.000
5500000	57.143	139.971	0.000	400.000	0.000
5750000	680.000	388.330	0.000	1040.000	850.000
6000000	180.000	402.492	0.000	1080.000	0.000
6250000	0.000	0.000	0.000	0.000	0.000
6500000	400.000	490.551	0.000	1040.000	0.000
6750000	143.333	214.139	0.000	800.000	40.000
7000000	184.615	291.643	0.000	800.000	0.000
7250000	17.778	50.283	0.000	160.000	0.000
7500000	33.333	56.174	0.000	240.000	0.000
7750000	6.667	22.111	0.000	80.000	0.000
8000000	104.444	170.692	0.000	500.000	0.000
8250000	670.000	536.563	0.000	1600.000	560.000
8500000	273.636	340.768	0.000	1320.000	160.000
8750000	0.000	0.000	0.000	0.000	0.000
9000000	405.714	317.799	80.000	1120.000	400.000
9250000	6.667	22.111	0.000	80.000	0.000
9500000	1548.000	835.569	240.000	2780.000	1600.000
9750000	120.000	51.640	80.000	240.000	80.000
10000000	545.000	453.441	0.000	1320.000	470.000
10250000	122.667	130.203	0.000	400.000	80.000
10500000	440.000	690.893	0.000	1840.000	0.000
10750000	552.000	282.541	160.000	1000.000	480.000
11000000	929.231	677.035	0.000	2640.000	720.000
11250000	260.000	658.179	0.000	2000.000	0.000
11500000	101.333	138.461	0.000	400.000	0.000
11750000	1345.714	830.952	400.000	2620.000	1260.000
12000000	21.818	35.629	0.000	80.000	0.000
12250000	34.286	39.590	0.000	80.000	0.000
12500000	181.333	188.109	0.000	640.000	160.000
12750000	140.800	182.821	0.000	640.000	80.000
13000000	1651.429	1186.344	320.000	4360.000	1200.000
13250000	992.000	1048.092	80.000	3200.000	600.000
13500000	430.769	250.122	0.000	800.000	400.000
13750000	1862.500	849.555	560.000	3320.000	1720.000
14000000	512.941	357.833	80.000	1360.000	400.000
14250000	75.789	84.000	0.000	320.000	80.000
14500000	76.923	122.499	0.000	480.000	0.000
14750000	4.706	18.824	0.000	80.000	0.000
15000000	90.000	128.323	0.000	500.000	80.000
15250000	583.333	575.085	0.000	1800.000	370.000
15500000	525.714	718.945	0.000	1820.000	80.000
15750000	453.333	373.036	0.000	940.000	480.000
16000000	3086.000	1877.979	1120.000	7080.000	2250.000
16250000	1394.286	1038.555	640.000	3840.000	1120.000
16500000	1300.000	1024.109	380.000	2800.000	560.000
16750000	1750.000	1606.725	0.000	6000.000	1400.000
17000000	140.000	142.829	0.000	400.000	120.000
17250000	265.455	263.555	0.000	880.000	160.000
17500000	591.250	506.259	0.000	1400.000	570.000
17750000	152.727	350.301	0.000	1200.000	0.000
18000000	302.857	151.725	0.000	480.000	320.000
18250000	597.143	539.039	0.000	1480.000	720.000
18500000	227.500	480.514	0.000	1460.000	0.000
18750000	150.909	311.637	0.000	1100.000	0.000
19000000	35.556	100.566	0.000	320.000	0.000
19250000	1030.000	1150.795	0.000	3600.000	550.000
19500000	633.846	625.577	0.000	1840.000	400.000
19750000	96.000	83.650	0.000	320.000	80.000
20000000	293.333	139.841	160.000	640.000	280.000
20250000	538.667	336.212	0.000	1280.000	480.000
20500000	377.143	267.780	0.000	800.000	320.000
20750000	86.667	94.985	0.000	240.000	40.000
21000000	56.667	117.992	0.000	320.000	0.000
21250000	88.000	121.062	0.000	320.000	40.000
21500000	80.000	126.491	0.000	400.000	40.000
21750000	3434.000	1395.193	320.000	5140.000	3920.000
22000000	508.889	500.499	0.000	1500.000	520.000
22250000	298.667	163.864	80.000	720.000	240.000
22500000	661.818	329.126	320.000	1520.000	560.000
22750000	831.250	927.765	0.000	2580.000	320.000
23000000	2030.000	1096.829	0.000	3660.000	2210.000
23250000	276.923	115.784	0.000	480.000	320.000
23500000	32.000	53.066	0.000	160.000	0.000
23750000	924.615	651.255	400.000	2900.000	560.000
24000000	790.588	417.844	160.000	1520.000	640.000
24250000	1434.118	687.186	0.000	2280.000	1560.000
24500000	712.500	646.602	0.000	1540.000	750.000
24750000	2172.500	2411.969	0.000	7200.000	1240.000
25000000	892.500	686.800	0.000	2060.000	800.000
25250000	100.000	173.205	0.000	400.000	0.000
25500000	509.091	413.971	80.000	1280.000	400.000
25750000	566.667	857.697	0.000	2400.000	0.000
26000000	480.000	288.444	160.000	1200.000	400.000
26250000	300.000	194.936	0.000	720.000	400.000
26500000	700.000	424.735	0.000	1600.000	640.000
26750000	2303.333	1749.911	800.000	5600.000	1510.000
27000000	8.889	25.142	0.000	80.000	0.000
27250000	589.091	1091.733	0.000	4000.000	320.000
27500000	0.000	0.000	0.000	0.000	0.000
27750000	1257.778	973.993	0.000	3320.000	1000.000
28000000	1667.500	885.434	800.000	3500.000	1420.000
28250000	493.333	383.435	0.000	1600.000	400.000
28500000	1130.000	540.278	400.000	1820.000	1100.000
28750000	806.667	1458.934	0.000	4800.000	0.000
29000000	527.692	466.709	0.000	1900.000	400.000
29250000	611.429	278.128	0.000	1120.000	560.000
29500000	0.000	0.000	0.000	0.000	0.000
29750000	196.923	224.752	0.000	680.000	160.000
30000000	380.000	267.921	0.000	900.000	240.000
30250000	217.143	251.948	0.000	560.000	0.000
30500000	2355.556	2844.172	320.000	10160.000	1340.000
30750000	112.941	125.921	0.000	400.000	80.000
31000000	0.000	0.000	0.000	0.000	0.000
31250000	338.462	237.223	80.000	1040.000	320.000
31500000	350.588	297.291	80.000	1400.000	240.000
31750000	1502.000	1609.284	0.000	4880.000	920.000
32000000	2594.286	2532.683	60.000	7600.000	1400.000
32250000	578.000	491.280	240.000	2600.000	440.000
32500000	2676.923	2769.792	320.000	8400.000	1040.000
32750000	240.000	408.613	0.000	1320.000	80.000
33000000	196.000	186.719	0.000	720.000	160.000
33250000	270.000	169.411	0.000	480.000	240.000
33500000	813.333	653.061	80.000	1920.000	720.000
33750000	740.000	574.224	80.000	2400.000	600.000
34000000	276.000	219.782	0.000	880.000	320.000
34250000	2160.000	1820.818	160.000	6520.000	1660.000
34500000	4946.667	3658.901	80.000	10400.000	4520.000
34750000	2750.000	2666.196	0.000	9180.000	2140.000
35000000	713.846	403.629	20.000	1580.000	740.000
35250000	1325.714	1118.505	160.000	3600.000	1280.000
35500000	233.333	290.134	0.000	700.000	80.000
35750000	153.846	199.597	0.000	720.000	80.000
36000000	165.926	178.206	0.000	800.000	80.000
36250000	1056.471	719.517	160.000	2580.000	1240.000
36500000	1080.000	866.008	0.000	3200.000	800.000
36750000	501.538	619.005	0.000	2400.000	160.000
37000000	45.714	111.977	0.000	320.000	0.000
37250000	2068.572	1225.345	320.000	3560.000	2140.000
37500000	1331.765	1103.280	0.000	3880.000	800.000
37750000	37.647	48.450	0.000	160.000	0.000
38000000	457.143	659.301	0.000	1920.000	0.000
38250000	429.474	747.864	0.000	3200.000	160.000
38500000	966.000	929.776	0.000	3160.000	560.000
38750000	420.000	494.368	0.000	1600.000	280.000
39000000	2467.692	2325.954	0.000	8240.000	1600.000
39250000	325.714	229.213	0.000	640.000	320.000
39500000	641.538	622.870	0.000	2260.000	400.000
39750000	171.429	176.805	0.000	800.000	160.000
40000000	1012.000	661.888	20.000	2320.000	1000.000
40250000	1588.000	1200.906	0.000	3200.000	2140.000
40500000	407.273	203.116	160.000	800.000	400.000
40750000	263.636	406.208	0.000	1460.000	80.000
41000000	2032.500	741.346	1200.000	3720.000	1760.000
41250000	380.000	295.973	0.000	1040.000	320.000
41500000	505.714	799.622	0.000	1780.000	0.000
41750000	795.714	972.307	80.000	3220.000	480.000
42000000	1016.000	1484.501	0.000	3820.000	0.000
42250000	1158.333	657.797	0.000	2400.000	1280.000
42500000	2450.000	1809.475	400.000	6080.000	1620.000
42750000	0.000	0.000	0.000	0.000	0.000
43000000	1384.615	1093.285	0.000	3280.000	1560.000
43250000	1720.000	868.233	0.000	2700.000	2060.000
43500000	2032.000	1221.579	240.000	4720.000	1950.000
43750000	1980.000	1251.065	80.000	3840.000	2260.000
44000000	678.261	1053.391	0.000	3600.000	240.000
44250000	558.000	448.683	0.000	1200.000	470.000
44500000	1915.556	650.045	1020.000	3440.000	1880.000
44750000	668.889	985.996	0.000	3180.000	240.000
45000000	400.000	289.689	80.000	900.000	360.000
45250000	332.632	243.847	0.000	880.000	320.000
45500000	1830.000	1048.094	240.000	3580.000	1660.000
45750000	0.000	0.000	0.000	0.000	0.000
46000000	3394.000	1579.723	1400.000	6700.000	3310.000
46250000	575.294	644.014	0.000	2080.000	320.000
46500000	294.737	464.343	0.000	2160.000	240.000
46750000	668.889	644.713	0.000	1920.000	660.000
47000000	1052.308	536.056	80.000	2400.000	1040.000
47250000	173.333	152.607	0.000	400.000	160.000
47500000	1173.333	761.519	0.000	2480.000	1280.000
47750000	2705.455	1889.706	400.000	6800.000	2480.000
48000000	523.333	562.662	0.000	1460.000	420.000
48250000	2298.182	1837.834	0.000	6400.000	1860.000
48500000	398.824	338.055	0.000	1420.000	320.000
48750000	1384.615	977.946	0.000	3760.000	1360.000
