iteration	mean	std_dev	min	max	median
250000	0.000	0.000	0.000	0.000	0.000
500000	0.000	0.000	0.000	0.000	0.000
750000	0.000	0.000	0.000	0.000	0.000
1000000	0.000	0.000	0.000	0.000	0.000
1250000	0.000	0.000	0.000	0.000	0.000
1500000	0.000	0.000	0.000	0.000	0.000
1750000	0.000	0.000	0.000	0.000	0.000
2000000	0.000	0.000	0.000	0.000	0.000
2250000	0.000	0.000	0.000	0.000	0.000
2500000	0.000	0.000	0.000	0.000	0.000
2750000	0.000	0.000	0.000	0.000	0.000
3000000	0.000	0.000	0.000	0.000	0.000
3250000	0.000	0.000	0.000	0.000	0.000
3500000	0.000	0.000	0.000	0.000	0.000
3750000	0.000	0.000	0.000	0.000	0.000
4000000	45.752	84.007	0.000	200.000	0.000
4250000	0.000	0.000	0.000	0.000	0.000
4500000	0.000	0.000	0.000	0.000	0.000
4750000	0.000	0.000	0.000	0.000	0.000
5000000	0.000	0.000	0.000	0.000	0.000
5250000	0.000	0.000	0.000	0.000	0.000
5500000	0.000	0.000	0.000	0.000	0.000
5750000	0.000	0.000	0.000	0.000	0.000
6000000	0.000	0.000	0.000	0.000	0.000
6250000	0.000	0.000	0.000	0.000	0.000
6500000	0.000	0.000	0.000	0.000	0.000
6750000	0.000	0.000	0.000	0.000	0.000
7000000	0.000	0.000	0.000	0.000	0.000
7250000	0.000	0.000	0.000	0.000	0.000
7500000	0.000	0.000	0.000	0.000	0.000
7750000	0.000	0.000	0.000	0.000	0.000
8000000	0.000	0.000	0.000	0.000	0.000
8250000	0.000	0.000	0.000	0.000	0.000
8500000	0.000	0.000	0.000	0.000	0.000
8750000	392.537	194.179	0.000	900.000	400.000
9000000	210.127	154.752	0.000	600.000	200.000
9250000	107.447	116.910	0.000	700.000	200.000
9500000	0.000	0.000	0.000	0.000	0.000
9750000	440.000	158.023	200.000	900.000	400.000
10000000	694.215	153.363	400.000	1000.000	700.000
10250000	600.000	0.000	600.000	600.000	600.000
10500000	992.593	184.443	500.000	1500.000	900.000
