iteration	mean	std_dev	min	max	median
250000	106.289	39.946	100.000	600.000	100.000
500000	101.208	13.409	0.000	200.000	100.000
750000	1.158	10.700	0.000	100.000	0.000
1000000	5.858	50.180	0.000	800.000	0.000
1250000	5.278	37.267	0.000	500.000	0.000
1500000	393.478	253.585	100.000	800.000	300.000
1750000	225.743	138.345	100.000	1300.000	200.000
2000000	866.667	390.157	500.000	1700.000	800.000
2250000	909.639	551.147	200.000	3500.000	800.000
2500000	800.000	325.813	200.000	1300.000	800.000
2750000	1644.118	881.573	400.000	3600.000	1600.000
3000000	570.642	361.014	200.000	1900.000	400.000
3250000	675.385	402.504	300.000	1500.000	800.000
3500000	1100.000	357.771	600.000	1700.000	1050.000
3750000	943.697	584.483	200.000	1800.000	1300.000
4000000	1102.500	456.337	200.000	2000.000	1300.000
4250000	801.961	456.968	500.000	1700.000	600.000
4500000	1625.806	342.635	800.000	2800.000	1600.000
4750000	697.938	480.760	300.000	1500.000	400.000
5000000	1075.862	527.620	100.000	3400.000	1300.000
5250000	1465.333	246.843	500.000	2000.000	1500.000
5500000	1508.333	155.233	1300.000	1700.000	1500.000
5750000	1600.000	275.681	500.000	2600.000	1500.000
6000000	1868.000	869.814	600.000	4700.000	1800.000
6250000	1297.778	344.796	600.000	1800.000	1500.000
6500000	1172.277	632.787	300.000	3300.000	1400.000
6750000	1325.490	396.970	600.000	1700.000	1500.000
7000000	1660.377	876.817	600.000	5100.000	1500.000
7250000	1034.737	416.696	500.000	1700.000	800.000
7500000	1390.566	300.480	600.000	2400.000	1400.000
7750000	1482.432	611.900	800.000	4700.000	1400.000
8000000	1760.606	512.238	600.000	3100.000	1600.000
8250000	1105.814	765.591	600.000	7500.000	800.000
8500000	1387.037	594.744	800.000	5500.000	1350.000
8750000	1565.517	275.150	1300.000	3300.000	1500.000
9000000	1977.778	706.443	600.000	4700.000	1900.000
9250000	2298.750	1227.140	800.000	10100.000	2000.000
9500000	1632.500	578.095	600.000	3300.000	1500.000
9750000	1856.923	481.334	600.000	2800.000	1800.000
10000000	1640.385	272.989	1300.000	2600.000	1550.000
10250000	1390.000	522.079	600.000	3500.000	1500.000
10500000	1260.714	316.234	800.000	1800.000	1400.000
10750000	855.238	679.213	300.000	4500.000	500.000
11000000	1910.448	507.888	1400.000	4700.000	1800.000
11250000	1314.667	740.035	200.000	4300.000	1600.000
11500000	1768.000	770.179	800.000	5000.000	1450.000
11750000	2400.000	1507.783	800.000	7100.000	1950.000
12000000	1521.429	67.386	1400.000	1700.000	1500.000
12250000	2105.333	603.963	800.000	2800.000	2400.000
12500000	2311.940	821.997	800.000	4700.000	2100.000
12750000	2071.795	366.164	1300.000	3100.000	1850.000
13000000	1973.333	729.992	800.000	4300.000	1800.000
13250000	1496.203	509.515	300.000	3600.000	1400.000
13500000	1533.333	746.026	600.000	4300.000	1300.000
13750000	570.588	517.647	200.000	2500.000	400.000
14000000	1731.507	1280.505	200.000	6900.000	1500.000
14250000	1942.500	591.138	800.000	4900.000	1700.000
14500000	2187.273	1068.568	600.000	5500.000	1800.000
14750000	1571.429	166.599	1300.000	1900.000	1600.000
15000000	3842.857	1477.311	1600.000	5100.000	5100.000
15250000	1660.440	1312.985	300.000	3900.000	1600.000
15500000	1385.714	688.442	100.000	2700.000	1600.000
15750000	1988.060	895.682	1300.000	5700.000	1900.000
16000000	2322.727	1497.553	1300.000	5300.000	1600.000
16250000	2126.966	912.555	800.000	7600.000	1800.000
16500000	1461.538	1191.178	200.000	7500.000	1350.000
16750000	2151.428	1175.068	500.000	6200.000	2100.000
17000000	1247.674	804.743	100.000	4900.000	1400.000
17250000	1735.354	1091.687	1300.000	7500.000	1500.000
17500000	2214.286	1683.473	200.000	5500.000	1500.000
17750000	3000.000	695.222	2000.000	4300.000	2800.000
18000000	1457.576	180.958	1300.000	2400.000	1400.000
18250000	2213.043	1110.152	600.000	7500.000	1700.000
18500000	656.250	416.286	200.000	2600.000	600.000
18750000	1363.793	763.995	600.000	3300.000	1300.000
19000000	828.571	477.985	200.000	1700.000	600.000
19250000	1571.429	88.063	1400.000	1700.000	1600.000
