iteration	mean	std_dev	min	max	median
250000	0.000	0.000	0.000	0.000	0.000
500000	0.000	0.000	0.000	0.000	0.000
750000	6.383	75.524	0.000	900.000	0.000
1000000	0.000	0.000	0.000	0.000	0.000
1250000	0.000	0.000	0.000	0.000	0.000
1500000	0.000	0.000	0.000	0.000	0.000
1750000	0.000	0.000	0.000	0.000	0.000
2000000	21.212	88.788	0.000	600.000	0.000
2250000	0.000	0.000	0.000	0.000	0.000
2500000	389.189	302.944	0.000	1200.000	400.000
2750000	2517.647	634.531	1000.000	3900.000	2400.000
3000000	1711.111	582.883	400.000	2800.000	1800.000
3250000	850.847	668.510	0.000	2600.000	800.000
3500000	1245.455	1075.530	200.000	4100.000	800.000
3750000	1750.943	745.457	0.000	3600.000	1700.000
4000000	1331.250	756.818	200.000	3600.000	1200.000
4250000	1336.667	682.634	200.000	2300.000	1500.000
4500000	2114.815	867.608	600.000	3800.000	2300.000
4750000	3451.064	1067.882	900.000	5800.000	3300.000
5000000	2470.370	1071.798	400.000	5100.000	2600.000
5250000	2604.839	584.319	1400.000	3700.000	2650.000
5500000	2590.566	594.714	400.000	4100.000	2600.000
5750000	2558.928	1077.328	800.000	5100.000	2700.000
6000000	2880.435	690.186	1900.000	4900.000	3000.000
6250000	3636.364	808.503	1600.000	5400.000	3700.000
6500000	1866.102	1000.781	0.000	3600.000	2200.000
6750000	2574.510	1260.383	200.000	4900.000	3000.000
7000000	3005.263	722.914	2100.000	5200.000	2900.000
7250000	2398.276	894.329	400.000	5000.000	2300.000
7500000	3368.000	1303.601	400.000	5500.000	3650.000
7750000	3863.043	708.752	2500.000	5400.000	3950.000
8000000	3608.889	635.548	2100.000	4900.000	3600.000
8250000	3656.863	946.667	0.000	5000.000	3700.000
8500000	4150.000	1174.734	2000.000	7600.000	4100.000
8750000	2878.182	1004.117	800.000	5400.000	2900.000
9000000	4116.327	1009.616	1000.000	5900.000	4200.000
9250000	4217.778	786.070	2800.000	6000.000	4200.000
9500000	4560.000	1319.832	1400.000	6700.000	4600.000
