iteration	mean	std_dev	min	max	median
250000	346.328	158.310	100.000	900.000	300.000
500000	310.236	154.536	100.000	1050.000	250.000
750000	554.743	228.013	250.000	1300.000	500.000
1000000	833.634	370.489	250.000	1950.000	800.000
1250000	1458.850	506.407	300.000	2900.000	1500.000
1500000	1558.168	624.258	350.000	2800.000	1500.000
1750000	2193.289	640.225	550.000	3200.000	2500.000
2000000	1539.268	676.311	300.000	3600.000	1450.000
2250000	2498.889	523.184	500.000	3600.000	2600.000
2500000	2281.410	729.269	600.000	3800.000	2500.000
2750000	2605.033	535.822	800.000	3700.000	2700.000
3000000	2229.321	753.667	400.000	3800.000	2450.000
3250000	2057.584	810.386	350.000	4200.000	2250.000
3500000	2483.451	689.374	450.000	4100.000	2600.000
3750000	2544.631	612.650	400.000	4300.000	2600.000
4000000	2110.625	753.293	400.000	5100.000	2175.000
4250000	2629.861	622.448	500.000	4100.000	2700.000
4500000	2383.775	655.278	500.000	3500.000	2500.000
4750000	2781.757	526.755	1050.000	4500.000	2750.000
5000000	1954.645	800.575	250.000	3700.000	2050.000
5250000	2710.563	603.623	900.000	4700.000	2800.000
5500000	2594.604	643.107	300.000	4200.000	2700.000
5750000	2057.094	790.676	300.000	4200.000	2200.000
6000000	2587.847	710.542	1050.000	4700.000	2650.000
6250000	2583.099	825.046	400.000	4800.000	2700.000
6500000	2353.311	851.210	300.000	5000.000	2500.000
6750000	2864.567	823.525	400.000	5500.000	2900.000
7000000	2601.418	942.156	550.000	5200.000	2600.000
7250000	3157.090	1114.259	750.000	6100.000	3100.000
7500000	3220.076	856.545	950.000	7000.000	3100.000
7750000	3287.313	888.036	800.000	6100.000	3300.000
8000000	2635.621	1155.644	450.000	7100.000	2700.000
8250000	3102.273	1297.636	300.000	7500.000	3000.000
8500000	3187.586	1525.129	300.000	7200.000	3300.000
8750000	3068.440	1328.365	400.000	7500.000	3000.000
9000000	2742.282	1349.319	350.000	6800.000	2500.000
9250000	3504.331	1520.529	450.000	7700.000	3300.000
9500000	3402.158	1218.131	850.000	6700.000	3300.000
9750000	3362.238	1464.358	750.000	7700.000	3300.000
10000000	3339.706	1471.995	650.000	7500.000	3200.000
10250000	3898.740	1645.384	300.000	8100.000	3900.000
10500000	3371.014	1600.202	500.000	8300.000	3100.000
10750000	2878.205	1752.564	300.000	7500.000	2600.000
11000000	1759.821	902.596	350.000	6400.000	1625.000
11250000	2799.320	1468.328	350.000	7500.000	2600.000
11500000	4290.244	1802.817	700.000	8100.000	4000.000
11750000	4085.156	1779.586	450.000	7900.000	4100.000
12000000	4256.967	1620.796	1050.000	7500.000	4100.000
12250000	2982.707	1279.333	900.000	6800.000	2800.000
12500000	3009.868	1737.247	300.000	7500.000	2700.000
12750000	2106.977	1155.514	350.000	7500.000	2000.000
13000000	3588.406	1676.600	400.000	7900.000	3450.000
13250000	3801.953	1786.597	800.000	7900.000	3600.000
13500000	2732.903	1550.696	350.000	7500.000	2400.000
13750000	3750.800	1783.816	750.000	7900.000	3500.000
14000000	2639.474	1322.411	400.000	6400.000	2400.000
14250000	3146.154	1693.830	600.000	7500.000	2800.000
14500000	4498.291	1935.630	700.000	8700.000	4200.000
14750000	3661.694	2100.807	500.000	8100.000	3050.000
15000000	5029.279	1837.809	1000.000	8300.000	4900.000
15250000	4140.800	1756.319	700.000	7900.000	4000.000
15500000	3570.312	1756.644	300.000	8300.000	3350.000
15750000	4042.742	1904.237	600.000	8100.000	4000.000
16000000	3039.236	1724.075	450.000	8100.000	2650.000
16250000	4103.543	1985.381	350.000	8700.000	4000.000
16500000	4209.600	1788.515	500.000	8900.000	4000.000
16750000	2565.190	1245.215	350.000	6700.000	2400.000
17000000	2924.490	1376.471	300.000	7200.000	2800.000
17250000	3667.939	1644.886	400.000	7500.000	3600.000
17500000	3859.055	1643.915	400.000	7700.000	3600.000
