iteration	mean	std_dev	min	max	median
250000	2.670	4.662	0.000	11.000	0.000
500000	3.439	2.802	0.000	15.000	2.000
750000	9.164	3.044	3.000	24.000	9.000
1000000	14.223	4.967	6.000	37.000	13.000
1250000	21.701	6.764	10.000	46.000	21.000
1500000	28.697	9.523	9.000	61.000	29.000
1750000	37.787	11.775	15.000	77.000	37.000
2000000	56.010	14.126	26.000	94.000	54.000
2250000	68.110	31.271	28.000	265.000	64.000
2500000	85.750	43.948	26.000	316.000	78.000
2750000	106.761	52.052	38.000	255.000	90.000
3000000	124.412	69.794	26.000	342.000	105.000
3250000	163.771	69.868	28.000	357.000	163.000
3500000	175.269	66.818	60.000	322.000	168.500
3750000	141.080	80.105	16.000	324.000	141.000
4000000	227.411	66.394	63.000	351.000	228.000
4250000	160.829	79.253	27.000	328.000	146.500
4500000	205.618	80.576	43.000	401.000	211.000
4750000	235.286	85.970	61.000	381.000	238.000
5000000	247.391	85.267	57.000	393.000	250.000
5250000	232.307	102.710	35.000	372.000	250.000
5500000	83.885	88.947	9.000	367.000	43.500
5750000	234.041	104.541	18.000	377.000	259.500
6000000	229.375	119.914	14.000	398.000	266.500
6250000	162.369	118.361	23.000	418.000	100.000
6500000	262.087	100.437	62.000	382.000	295.000
6750000	306.588	84.128	44.000	421.000	327.000
7000000	241.446	121.014	22.000	406.000	285.000
7250000	142.936	97.797	23.000	405.000	106.500
7500000	222.658	107.300	35.000	417.000	246.000
7750000	276.076	128.534	16.000	426.000	328.500
8000000	171.387	118.148	11.000	424.000	147.000
8250000	198.556	134.131	11.000	415.000	223.500
8500000	302.586	109.584	40.000	428.000	348.500
8750000	249.320	117.568	34.000	424.000	290.000
9000000	249.429	120.988	36.000	427.000	297.000
9250000	259.437	119.354	16.000	418.000	305.000
9500000	296.750	104.986	49.000	427.000	339.500
9750000	240.519	123.213	28.000	425.000	266.000
10000000	320.901	91.279	29.000	431.000	343.000
10250000	289.583	99.315	40.000	431.000	321.000
10500000	254.197	128.978	22.000	414.000	303.500
10750000	134.981	145.511	5.000	407.000	42.000
11000000	266.973	117.708	40.000	409.000	310.000
11250000	279.282	118.276	32.000	428.000	329.000
11500000	204.037	121.858	17.000	444.000	210.000
11750000	112.404	111.723	3.000	421.000	68.000
12000000	250.507	114.256	30.000	430.000	290.000
12250000	164.586	125.272	22.000	426.000	115.000
12500000	199.198	131.860	7.000	418.000	204.500
12750000	210.459	142.063	18.000	415.000	201.000
13000000	283.133	118.246	39.000	418.000	334.000
13250000	292.137	108.636	25.000	419.000	332.000
13500000	267.985	125.026	54.000	427.000	326.000
13750000	258.481	128.126	35.000	431.000	299.000
14000000	263.494	127.366	34.000	417.000	311.000
14250000	286.727	111.946	42.000	427.000	322.500
14500000	281.938	119.372	58.000	432.000	317.000
14750000	294.857	112.258	37.000	417.000	322.000
15000000	297.653	113.241	26.000	416.000	332.000
15250000	284.711	129.669	16.000	422.000	354.000
15500000	204.550	125.574	29.000	414.000	212.000
15750000	275.173	118.000	47.000	422.000	329.000
16000000	252.570	132.478	31.000	421.000	313.000
16250000	304.831	113.127	42.000	419.000	352.000
16500000	242.113	139.705	3.000	413.000	293.000
16750000	251.487	124.529	37.000	423.000	276.000
17000000	247.041	132.862	27.000	423.000	304.000
17250000	235.185	141.853	21.000	413.000	311.000
17500000	299.929	114.014	44.000	431.000	346.000
17750000	303.074	120.658	36.000	430.000	357.000
18000000	263.946	123.852	27.000	414.000	302.000
18250000	123.097	100.461	12.000	405.000	72.000
18500000	191.299	106.783	46.000	404.000	158.000
18750000	200.333	132.211	53.000	424.000	135.000
19000000	176.773	141.863	18.000	418.000	103.000
19250000	310.836	108.051	39.000	426.000	350.000
19500000	142.758	120.040	22.000	404.000	83.000
19750000	234.845	146.100	6.000	423.000	301.000
20000000	268.250	127.408	12.000	408.000	336.000
20250000	282.410	131.976	20.000	423.000	340.500
20500000	276.762	131.723	35.000	420.000	345.500
20750000	312.809	110.583	45.000	429.000	365.000
21000000	246.636	137.506	23.000	407.000	323.000
21250000	296.986	108.327	56.000	402.000	344.000
21500000	333.325	91.556	47.000	420.000	368.000
21750000	304.304	119.882	28.000	421.000	364.000
22000000	298.089	117.244	32.000	429.000	348.000
22250000	278.372	106.652	32.000	407.000	329.000
22500000	172.969	132.866	13.000	408.000	140.000
22750000	203.386	131.974	17.000	412.000	219.500
23000000	283.597	128.555	32.000	414.000	341.000
23250000	246.824	134.913	13.000	420.000	298.000
23500000	251.773	103.797	18.000	426.000	256.000
23750000	279.714	134.730	7.000	414.000	352.000
24000000	299.288	122.280	42.000	430.000	352.000
24250000	199.533	136.457	8.000	416.000	194.000
24500000	112.936	116.273	5.000	406.000	64.500
24750000	243.882	137.231	29.000	431.000	280.000
25000000	214.506	139.177	12.000	429.000	221.000
25250000	288.569	111.214	36.000	429.000	316.000
25500000	302.875	120.616	11.000	428.000	358.500
25750000	201.204	147.208	5.000	418.000	246.000
26000000	283.234	112.135	47.000	427.000	317.000
26250000	259.000	141.538	10.000	424.000	315.500
26500000	298.959	107.008	51.000	421.000	340.000
26750000	339.053	103.227	23.000	428.000	381.000
27000000	210.739	126.810	37.000	409.000	199.500
27250000	231.557	143.793	19.000	429.000	273.000
27500000	127.355	106.189	17.000	414.000	75.000
27750000	227.171	129.887	19.000	421.000	258.500
28000000	291.137	126.358	16.000	424.000	350.000
28250000	241.051	146.842	13.000	417.000	313.000
28500000	294.096	128.578	34.000	422.000	356.000
28750000	307.586	123.046	22.000	435.000	360.500
29000000	301.806	115.178	67.000	428.000	353.000
29250000	244.883	142.271	15.000	412.000	308.000
29500000	329.742	112.675	66.000	430.000	379.500
29750000	297.425	118.585	27.000	663.000	324.000
30000000	273.800	146.941	12.000	431.000	361.000
30250000	186.811	143.913	11.000	425.000	106.000
30500000	223.800	142.397	16.000	415.000	246.000
30750000	314.529	124.240	18.000	420.000	372.500
31000000	281.658	135.056	28.000	420.000	341.000
31250000	228.724	147.794	15.000	420.000	288.000
31500000	291.429	122.653	28.000	419.000	349.000
31750000	283.763	137.450	16.000	423.000	354.500
32000000	198.326	139.509	17.000	397.000	195.000
