iteration	mean	std_dev	min	max	median
250000	174.066	55.470	80.000	360.000	180.000
500000	21.388	19.201	0.000	80.000	20.000
750000	215.092	82.658	80.000	500.000	200.000
1000000	221.549	65.867	100.000	440.000	220.000
1250000	250.526	67.638	100.000	460.000	240.000
1500000	172.518	54.983	60.000	360.000	160.000
1750000	456.346	121.141	180.000	740.000	450.000
2000000	696.832	219.572	240.000	1340.000	660.000
2250000	956.180	315.458	220.000	1660.000	960.000
2500000	1006.582	229.512	500.000	1660.000	1020.000
2750000	1452.222	345.889	680.000	2100.000	1520.000
3000000	1320.513	284.577	680.000	1980.000	1320.000
3250000	2097.895	215.201	1240.000	2300.000	2180.000
3500000	1171.264	371.659	240.000	2020.000	1160.000
3750000	1119.506	300.057	600.000	1840.000	1080.000
4000000	2127.931	256.204	1420.000	2500.000	2240.000
4250000	2208.125	595.228	1360.000	3880.000	2110.000
4500000	2169.552	634.156	1140.000	4460.000	2040.000
4750000	1041.798	376.580	300.000	2180.000	980.000
5000000	2229.539	571.638	1400.000	3840.000	2120.000
5250000	1331.831	388.389	520.000	2440.000	1300.000
5500000	2718.077	926.625	800.000	5700.000	2730.000
5750000	1087.579	526.439	260.000	3280.000	1000.000
6000000	3344.706	803.908	1420.000	5060.000	3380.000
6250000	1798.387	559.992	580.000	3240.000	1690.000
6500000	1726.061	542.240	720.000	3000.000	1750.000
6750000	3330.400	919.941	1780.000	5500.000	3490.000
7000000	2744.364	782.599	1560.000	4560.000	2640.000
7250000	3021.754	933.135	1400.000	4860.000	2960.000
7500000	2256.667	640.158	640.000	3660.000	2330.000
7750000	3412.941	1148.310	1100.000	5840.000	3420.000
8000000	1672.581	535.492	520.000	3040.000	1670.000
8250000	1120.988	480.246	240.000	3120.000	1100.000
8500000	2606.207	963.401	300.000	4780.000	2460.000
8750000	1883.823	529.720	520.000	2940.000	1940.000
9000000	2322.903	760.364	760.000	4240.000	2330.000
9250000	1458.769	511.708	860.000	3880.000	1320.000
9500000	1930.769	726.188	480.000	3900.000	1940.000
9750000	1556.316	675.805	400.000	3560.000	1380.000
10000000	1757.143	747.264	340.000	3420.000	1590.000
10250000	1818.710	447.961	1040.000	2960.000	1660.000
10500000	2471.475	432.476	1660.000	3400.000	2440.000
10750000	2080.339	509.097	780.000	3220.000	2040.000
11000000	3479.623	771.927	1780.000	5060.000	3560.000
11250000	2538.928	488.707	1460.000	3720.000	2500.000
