iteration	mean	std_dev	min	max	median
250000	783.613	362.916	110.000	2200.000	730.000
500000	635.698	360.492	110.000	1980.000	580.000
750000	682.613	313.841	160.000	1680.000	630.000
1000000	608.628	325.051	110.000	1850.000	530.000
1250000	488.385	285.001	80.000	1520.000	430.000
1500000	511.095	287.658	110.000	1760.000	460.000
1750000	344.254	159.297	110.000	1280.000	310.000
2000000	280.339	114.195	80.000	780.000	260.000
2250000	315.630	153.800	80.000	1080.000	280.000
2500000	349.821	208.434	80.000	1540.000	310.000
2750000	277.729	113.906	80.000	730.000	260.000
3000000	342.269	171.933	110.000	1080.000	310.000
3250000	304.186	231.231	80.000	1300.000	210.000
3500000	299.161	114.745	80.000	830.000	280.000
3750000	249.556	165.608	80.000	1300.000	210.000
4000000	242.874	111.463	80.000	980.000	210.000
4250000	297.090	145.148	80.000	1030.000	280.000
4500000	300.211	156.474	80.000	1370.000	260.000
4750000	413.981	175.629	80.000	1390.000	380.000
5000000	560.445	313.818	110.000	1650.000	480.000
5250000	377.659	221.970	80.000	1510.000	330.000
5500000	564.924	330.060	80.000	1540.000	480.000
5750000	623.387	274.086	130.000	1520.000	580.000
6000000	519.585	252.673	80.000	1600.000	480.000
6250000	474.138	319.107	80.000	1660.000	410.000
6500000	403.135	211.037	110.000	1300.000	360.000
6750000	318.532	190.849	80.000	1510.000	260.000
7000000	415.344	230.398	80.000	1450.000	360.000
7250000	429.779	282.454	80.000	2030.000	330.000
7500000	443.125	288.493	80.000	1930.000	350.000
7750000	419.986	215.521	80.000	1450.000	380.000
8000000	448.431	242.386	80.000	1530.000	380.000
8250000	430.104	262.915	80.000	1750.000	360.000
8500000	481.232	290.974	80.000	1520.000	410.000
8750000	475.983	251.999	80.000	1320.000	430.000
9000000	563.354	312.947	80.000	1590.000	530.000
9250000	343.185	222.313	80.000	1280.000	280.000
9500000	575.794	277.751	130.000	1700.000	530.000
9750000	306.012	192.589	80.000	1370.000	260.000
10000000	386.247	190.360	80.000	1440.000	360.000
10250000	584.524	270.719	110.000	1440.000	530.000
10500000	496.341	297.849	80.000	1540.000	410.000
10750000	308.852	200.420	80.000	1440.000	260.000
11000000	679.672	380.186	110.000	2300.000	580.000
11250000	495.439	303.301	80.000	1540.000	430.000
11500000	440.117	257.156	110.000	1700.000	380.000
11750000	491.596	236.190	80.000	1480.000	430.000
12000000	694.417	499.712	110.000	3350.000	530.000
12250000	349.253	200.926	80.000	1410.000	310.000
12500000	582.236	362.289	80.000	2080.000	480.000
12750000	492.950	283.630	110.000	1610.000	410.000
13000000	652.938	322.233	80.000	1760.000	580.000
13250000	544.267	283.366	110.000	1470.000	480.000
13500000	598.926	337.456	110.000	1950.000	510.000
13750000	561.005	293.441	110.000	1360.000	480.000
14000000	472.854	217.678	110.000	1710.000	430.000
14250000	614.333	387.953	80.000	3050.000	480.000
14500000	768.548	435.696	110.000	2150.000	680.000
14750000	923.077	388.110	160.000	2700.000	830.000
15000000	647.954	405.877	80.000	2300.000	510.000
15250000	762.835	459.896	110.000	2180.000	730.000
15500000	414.548	227.585	110.000	1320.000	345.000
15750000	580.093	306.945	110.000	2100.000	510.000
16000000	734.561	391.288	110.000	2400.000	630.000
16250000	567.077	263.759	110.000	1420.000	530.000
16500000	568.203	291.563	110.000	1660.000	530.000
16750000	463.385	274.522	80.000	1590.000	390.000
17000000	397.257	348.316	80.000	1940.000	260.000
17250000	909.883	432.388	180.000	2450.000	880.000
17500000	483.285	323.697	80.000	2030.000	380.000
17750000	826.711	428.150	110.000	3290.000	770.000
18000000	473.242	386.917	80.000	2030.000	310.000
18250000	454.421	237.945	80.000	1510.000	400.000
