iteration	mean	std_dev	min	max	median
250000	803.855	379.403	230.000	2200.000	680.000
500000	379.901	180.476	110.000	1180.000	360.000
750000	480.760	200.564	160.000	1180.000	430.000
1000000	723.652	349.473	110.000	1850.000	680.000
1250000	587.991	247.626	160.000	1280.000	530.000
1500000	693.200	234.394	180.000	1660.000	680.000
1750000	277.835	116.670	110.000	640.000	260.000
2000000	288.135	125.383	110.000	780.000	260.000
2250000	230.588	102.763	80.000	730.000	210.000
2500000	190.453	78.803	80.000	630.000	180.000
2750000	297.735	114.876	110.000	730.000	260.000
3000000	305.909	122.517	110.000	730.000	280.000
3250000	222.953	84.460	80.000	540.000	210.000
3500000	297.933	124.163	80.000	830.000	280.000
3750000	153.148	79.057	80.000	680.000	130.000
4000000	274.074	122.399	80.000	980.000	240.000
4250000	244.477	123.304	80.000	830.000	210.000
4500000	299.056	117.892	110.000	780.000	285.000
4750000	443.278	161.023	110.000	1180.000	430.000
5000000	734.648	347.526	210.000	1650.000	630.000
5250000	536.245	259.418	130.000	1510.000	480.000
5500000	820.592	321.749	110.000	1540.000	780.000
5750000	661.955	286.639	130.000	1440.000	630.000
6000000	395.189	160.762	80.000	1180.000	380.000
6250000	653.815	253.909	110.000	1470.000	630.000
6500000	353.119	148.460	110.000	860.000	330.000
6750000	294.339	111.901	110.000	730.000	280.000
7000000	551.961	239.182	180.000	1450.000	480.000
7250000	312.440	146.265	80.000	830.000	280.000
7500000	285.150	140.873	110.000	930.000	260.000
7750000	543.457	244.282	140.000	1450.000	480.000
8000000	629.000	230.565	110.000	1370.000	580.000
8250000	657.979	299.792	180.000	1750.000	580.000
8500000	545.270	246.358	130.000	1430.000	530.000
8750000	514.935	279.945	110.000	1320.000	450.000
9000000	809.538	314.158	260.000	1590.000	780.000
9250000	610.886	228.967	180.000	1280.000	620.000
9500000	480.102	158.378	160.000	1280.000	460.000
9750000	223.314	84.176	80.000	630.000	210.000
10000000	387.995	119.623	160.000	1080.000	380.000
10250000	678.291	303.870	160.000	1440.000	630.000
10500000	611.049	245.142	130.000	1490.000	570.000
10750000	557.619	267.770	160.000	1440.000	510.000
11000000	480.455	208.806	130.000	1130.000	430.000
11250000	330.455	152.857	80.000	830.000	310.000
11500000	719.759	344.635	130.000	1700.000	680.000
11750000	491.186	240.551	130.000	1480.000	430.000
12000000	1272.364	620.964	190.000	3350.000	1280.000
12250000	502.231	238.944	110.000	1410.000	480.000
12500000	835.849	378.215	110.000	2080.000	805.000
12750000	421.088	195.132	110.000	1180.000	380.000
13000000	874.405	320.169	230.000	1760.000	880.000
13250000	584.867	245.725	190.000	1390.000	530.000
13500000	776.098	349.169	180.000	1950.000	730.000
13750000	768.227	308.814	190.000	1360.000	780.000
14000000	579.587	275.919	130.000	1710.000	530.000
14250000	500.805	253.791	110.000	1370.000	460.000
14500000	428.913	204.619	110.000	1180.000	380.000
14750000	784.492	250.209	280.000	1540.000	780.000
15000000	980.879	441.930	180.000	2300.000	980.000
15250000	381.154	233.263	110.000	1300.000	330.000
15500000	405.763	227.769	130.000	1300.000	330.000
15750000	816.471	316.076	230.000	2100.000	780.000
16000000	684.338	366.748	110.000	1540.000	605.000
16250000	480.794	228.051	110.000	1420.000	430.000
16500000	710.490	294.403	160.000	1660.000	680.000
16750000	545.978	335.848	80.000	1590.000	460.000
17000000	583.409	311.327	160.000	1390.000	495.000
17250000	925.506	398.647	230.000	1930.000	830.000
17500000	325.285	165.093	80.000	1030.000	310.000
17750000	1042.656	513.856	380.000	3290.000	930.000
18000000	203.911	93.380	80.000	680.000	180.000
18250000	446.239	214.518	110.000	1180.000	380.000
18500000	764.133	329.804	160.000	1440.000	730.000
18750000	1072.424	525.351	110.000	3000.000	1080.000
19000000	443.478	242.175	110.000	1080.000	385.000
19250000	362.883	208.879	110.000	1080.000	310.000
19500000	963.385	507.565	110.000	2750.000	980.000
19750000	355.195	171.719	80.000	1080.000	330.000
20000000	216.260	86.495	80.000	530.000	210.000
20250000	337.661	161.810	110.000	1030.000	310.000
20500000	380.403	189.649	80.000	980.000	360.000
20750000	1092.432	425.450	280.000	2400.000	1080.000
21000000	1193.750	350.252	280.000	2600.000	1280.000
21250000	464.113	202.898	110.000	1180.000	430.000
21500000	949.717	339.507	330.000	1640.000	880.000
21750000	622.842	317.940	180.000	1460.000	580.000
22000000	494.100	276.673	110.000	1540.000	430.000
22250000	492.550	245.116	130.000	1340.000	430.000
22500000	586.127	286.327	130.000	1440.000	535.000
22750000	1008.158	378.170	280.000	2250.000	1005.000
23000000	674.500	296.683	180.000	1460.000	630.000
23250000	800.649	372.605	160.000	1610.000	780.000
23500000	512.793	271.154	130.000	1470.000	480.000
23750000	531.087	257.975	80.000	1280.000	530.000
24000000	1263.099	484.308	210.000	2600.000	1300.000
24250000	1388.519	598.592	180.000	3100.000	1300.000
24500000	240.478	103.711	80.000	630.000	230.000
24750000	476.271	230.165	130.000	1280.000	430.000
25000000	358.074	175.834	110.000	980.000	310.000
25250000	359.718	170.653	80.000	980.000	330.000
25500000	845.323	428.605	160.000	2400.000	805.000
25750000	734.568	280.108	160.000	1530.000	680.000
26000000	523.000	316.210	80.000	1710.000	430.000
26250000	846.909	317.358	280.000	1890.000	830.000
26500000	484.000	249.030	130.000	1180.000	420.000
26750000	615.089	278.199	180.000	1370.000	580.000
27000000	398.265	177.529	110.000	880.000	380.000
27250000	750.909	311.745	210.000	1440.000	680.000
27500000	1039.868	398.403	180.000	1880.000	1130.000
27750000	417.609	214.282	110.000	1280.000	380.000
28000000	757.544	347.678	160.000	1540.000	695.000
28250000	1550.820	639.927	380.000	3670.000	1410.000
28500000	344.035	211.065	110.000	1180.000	260.000
28750000	213.680	93.045	80.000	610.000	210.000
29000000	412.131	168.655	110.000	1030.000	410.000
29250000	1195.556	480.716	180.000	2550.000	1280.000
29500000	624.179	267.697	110.000	1350.000	580.000
29750000	445.435	207.557	130.000	1360.000	410.000
30000000	1196.184	396.902	360.000	2400.000	1280.000
30250000	1227.941	387.631	210.000	2850.000	1300.000
30500000	562.658	329.344	130.000	1420.000	430.000
30750000	888.169	372.356	160.000	1930.000	830.000
31000000	687.561	305.301	210.000	1370.000	630.000
31250000	442.151	321.615	80.000	1300.000	360.000
31500000	1113.103	477.814	430.000	3220.000	1080.000
31750000	423.750	222.145	110.000	1300.000	380.000
32000000	643.474	360.910	110.000	1950.000	580.000
32250000	256.175	101.552	80.000	630.000	240.000
32500000	410.845	149.439	110.000	980.000	385.000
32750000	832.000	394.973	80.000	1800.000	780.000
33000000	1095.116	366.979	180.000	1910.000	1180.000
33250000	911.923	346.697	160.000	1630.000	930.000
33500000	1135.054	429.295	260.000	2650.000	1180.000
33750000	335.035	161.296	110.000	830.000	310.000
34000000	852.418	402.572	210.000	1680.000	830.000
34250000	438.761	149.813	130.000	880.000	430.000
34500000	676.592	331.137	180.000	1790.000	580.000
34750000	915.946	390.516	260.000	2150.000	830.000
35000000	360.753	191.308	80.000	1180.000	330.000
35250000	1285.918	533.880	330.000	3220.000	1300.000
35500000	389.070	189.190	130.000	980.000	380.000
35750000	1284.156	440.668	180.000	3200.000	1350.000
36000000	1322.453	462.858	360.000	2400.000	1300.000
36250000	551.795	237.350	130.000	1300.000	510.000
36500000	280.502	136.603	80.000	980.000	260.000
36750000	1335.000	614.626	380.000	3360.000	1280.000
37000000	539.154	288.335	110.000	1450.000	510.000
37250000	1094.247	422.718	260.000	2100.000	1280.000
37500000	1053.085	501.536	230.000	2900.000	1055.000
37750000	863.438	380.576	180.000	1630.000	855.000
38000000	483.596	198.026	140.000	1300.000	445.000
38250000	402.571	235.586	110.000	1300.000	360.000
38500000	1109.333	538.875	260.000	2700.000	1080.000
38750000	965.534	386.665	260.000	2450.000	980.000
39000000	566.458	282.030	110.000	1350.000	545.000
39250000	397.925	257.933	80.000	1320.000	330.000
39500000	489.811	224.184	80.000	1180.000	460.000
39750000	1362.951	505.528	430.000	3480.000	1340.000
40000000	453.913	224.402	110.000	1320.000	395.000
40250000	1028.434	392.697	260.000	1950.000	1080.000
40500000	416.807	181.084	130.000	1180.000	380.000
40750000	328.419	132.852	80.000	730.000	310.000
41000000	774.688	403.140	130.000	1660.000	630.000
41250000	542.843	286.484	130.000	1340.000	480.000
41500000	777.176	317.533	130.000	1340.000	780.000
41750000	1029.706	511.172	160.000	2080.000	1030.000
42000000	823.977	416.374	130.000	1880.000	730.000
42250000	1132.687	346.430	280.000	1760.000	1300.000
