iteration	mean	std_dev	min	max	median
250000	2914.673	1665.234	571.000	12416.000	2524.000
500000	1885.693	961.952	365.000	5436.000	1809.500
750000	1476.418	755.549	190.000	4067.000	1378.000
1000000	2842.800	1431.748	505.000	8647.000	2658.000
1250000	1580.878	783.190	243.000	4162.000	1538.000
1500000	3924.450	2138.446	501.000	11945.000	3444.000
1750000	3316.562	1798.456	477.000	12049.000	2938.500
2000000	3225.615	1726.954	528.000	12333.000	2908.000
2250000	4468.341	2252.406	458.000	12297.000	4158.000
2500000	3160.500	1835.777	379.000	14672.000	2933.000
2750000	2763.219	1639.062	328.000	8430.000	2456.000
3000000	3122.907	1581.235	478.000	8760.000	2782.000
3250000	3133.490	1899.434	600.000	8679.000	2684.000
3500000	3928.084	1867.660	626.000	8707.000	3798.000
3750000	4991.708	2620.871	488.000	14106.000	4501.000
4000000	3002.208	1598.959	267.000	7438.000	2809.000
4250000	3513.939	2146.623	267.000	12954.000	3261.500
4500000	3265.092	2040.797	209.000	14322.000	2926.000
4750000	4320.063	2103.646	513.000	12035.000	3893.000
5000000	3333.747	1697.015	429.000	8931.000	3123.000
5250000	4152.948	2166.468	640.000	11286.000	3722.000
5500000	3938.110	2262.320	420.000	13597.000	3586.500
5750000	3871.048	1985.534	560.000	11888.000	3671.000
6000000	2713.052	1598.185	253.000	11652.000	2551.500
6250000	3220.152	1859.209	295.000	9849.000	2981.000
6500000	3082.910	1728.548	265.000	9002.000	2835.000
6750000	3221.619	1577.710	663.000	8680.000	3061.500
7000000	3671.698	2058.736	255.000	12584.000	3269.000
7250000	3305.215	1831.449	498.000	12367.000	2902.000
7500000	4010.165	2278.498	362.000	17440.000	3883.500
7750000	2982.333	1778.889	373.000	10986.000	2561.000
8000000	2803.912	1828.392	226.000	13534.000	2378.000
8250000	1348.052	830.507	216.000	4600.000	1247.000
8500000	3106.257	1912.118	242.000	10748.000	2779.000
8750000	2727.074	1554.988	383.000	9019.000	2303.000
9000000	2740.028	1607.983	219.000	8762.000	2581.000
9250000	2480.000	1360.726	294.000	6993.000	2363.500
9500000	3600.724	2008.104	286.000	11581.000	3360.000
9750000	3983.695	1760.372	796.000	8646.000	3706.000
10000000	3208.481	1831.012	345.000	9858.000	3084.000
10250000	2776.592	1684.404	330.000	7994.000	2450.000
10500000	2056.557	1263.942	193.000	7266.000	1845.500
10750000	1680.907	797.906	415.000	4157.000	1564.500
11000000	2659.083	1251.522	493.000	5959.000	2514.500
11250000	3700.065	1968.274	360.000	11827.000	3316.500
11500000	1924.990	991.783	290.000	5394.000	1823.000
11750000	2152.474	1053.823	326.000	5441.000	1946.000
