iteration	mean	std_dev	min	max	median
250000	14351.516	3377.925	11000.000	25100.000	16300.000
500000	11862.162	4820.808	6000.000	27500.000	11100.000
750000	11260.465	3660.737	4800.000	27200.000	11500.000
1000000	21943.750	11449.562	10700.000	65900.000	16000.000
1250000	37785.715	22478.938	10500.000	88900.000	36300.000
1500000	40278.949	20354.971	9500.000	94800.000	37750.000
1750000	17640.000	11401.202	6500.000	65300.000	14100.000
2000000	73046.156	24910.658	30300.000	118500.000	81250.000
2250000	41736.844	11667.012	18900.000	69700.000	41250.000
2500000	65003.703	33296.496	15500.000	113700.000	62300.000
2750000	86910.000	25029.998	29100.000	145500.000	91650.000
3000000	60616.215	27309.305	27000.000	117300.000	53500.000
3250000	70579.414	26527.951	28900.000	115000.000	74250.000
3500000	86321.211	27516.779	38700.000	131600.000	95000.000
3750000	26337.500	12253.718	10400.000	61400.000	26250.000
4000000	86571.430	23088.664	29200.000	118700.000	94400.000
4250000	59688.570	29354.336	15300.000	111500.000	55100.000
4500000	83719.352	26884.035	27400.000	118300.000	95000.000
4750000	89885.711	19273.553	42000.000	135700.000	89900.000
5000000	83651.727	28833.166	16100.000	120500.000	94900.000
5250000	19872.727	5554.865	16000.000	31300.000	16000.000
5500000	76687.094	28910.459	20900.000	112300.000	79000.000
5750000	65753.844	29014.693	16000.000	116300.000	61700.000
6000000	94196.664	29991.314	28900.000	157500.000	98400.000
6250000	62756.250	25483.939	15500.000	110900.000	60100.000
6500000	97563.336	19374.012	49300.000	128000.000	98850.000
6750000	94275.758	29139.924	36600.000	138100.000	101600.000
7000000	90854.836	15636.905	55700.000	115300.000	94800.000
7250000	99160.711	24140.959	38500.000	135000.000	108150.000
7500000	98013.336	19459.047	44900.000	138300.000	96300.000
7750000	91573.336	34332.473	11000.000	148100.000	101600.000
8000000	56563.637	26796.719	15800.000	101900.000	65800.000
8250000	78850.000	30471.381	11000.000	129300.000	86350.000
8500000	74196.555	29104.408	21300.000	136100.000	76200.000
8750000	70720.000	27373.027	16000.000	120200.000	69900.000
9000000	64753.125	24222.588	15600.000	102900.000	63300.000
