iteration	mean	std_dev	min	max	median
250000	114.122	59.181	20.000	355.000	100.000
500000	149.423	88.175	20.000	440.000	120.000
750000	183.070	152.127	10.000	860.000	140.000
1000000	1198.333	808.175	640.000	2930.000	850.000
1250000	5111.471	1649.146	1880.000	8045.000	5100.000
1500000	3952.308	2269.344	100.000	8470.000	4220.000
1750000	3637.037	2553.532	140.000	9645.000	2660.000
2000000	2931.667	2301.264	70.000	7545.000	3095.000
2250000	1810.333	1688.835	40.000	6050.000	1400.000
2500000	7041.607	2021.187	1120.000	12890.000	7147.500
2750000	3373.723	2564.948	60.000	9385.000	3090.000
3000000	4362.500	2537.404	110.000	8090.000	5165.000
3250000	4659.881	2564.184	120.000	9875.000	5145.000
3500000	4757.692	2043.046	140.000	8230.000	5270.000
3750000	4386.000	2195.775	120.000	8030.000	4710.000
4000000	3820.700	2515.272	90.000	8535.000	4580.000
4250000	5509.189	1976.134	680.000	8810.000	5670.000
4500000	4941.375	2926.525	60.000	10400.000	5290.000
4750000	3389.455	2556.427	130.000	8125.000	3090.000
5000000	4446.548	2259.824	140.000	7960.000	5185.000
5250000	3438.091	2816.471	100.000	9210.000	3535.000
5500000	4650.875	2693.365	190.000	8650.000	5875.000
5750000	4484.205	2396.197	150.000	8365.000	4755.000
6000000	4429.756	2569.536	130.000	8875.000	4950.000
6250000	2466.522	2512.001	90.000	8465.000	1600.000
6500000	5239.886	3239.284	50.000	10225.000	6325.000
6750000	5305.151	2350.238	150.000	8390.000	6020.000
7000000	3430.926	2398.176	80.000	8575.000	3210.000
7250000	4730.000	2790.526	100.000	9200.000	5445.000
7500000	3990.625	3196.840	40.000	9550.000	4975.000
7750000	1804.405	2009.216	50.000	7730.000	930.000
8000000	2115.714	2039.738	90.000	7840.000	1210.000
8250000	5998.676	2497.927	110.000	10115.000	6440.000
8500000	6473.636	2298.723	235.000	10350.000	7330.000
8750000	5196.481	2321.225	150.000	8655.000	5860.000
9000000	4953.182	2969.327	70.000	9040.000	6040.000
9250000	4539.659	2603.584	90.000	9225.000	4935.000
