iteration	mean	std_dev	min	max	median
250000	90.714	145.109	0.000	700.000	0.000
500000	32.432	93.236	0.000	750.000	0.000
750000	118.966	173.797	0.000	850.000	0.000
1000000	104.762	162.273	0.000	750.000	0.000
1250000	52.281	106.804	0.000	800.000	0.000
1500000	101.701	165.925	0.000	1100.000	0.000
1750000	130.297	179.327	0.000	950.000	100.000
2000000	154.149	188.968	0.000	1050.000	100.000
2250000	105.430	170.021	0.000	900.000	0.000
2500000	140.249	169.446	0.000	750.000	100.000
2750000	328.431	222.784	0.000	950.000	250.000
3000000	225.991	234.583	0.000	950.000	250.000
3250000	167.674	198.340	0.000	950.000	100.000
3500000	242.576	235.611	0.000	1100.000	250.000
3750000	235.567	222.273	0.000	850.000	250.000
4000000	213.721	215.202	0.000	850.000	250.000
4250000	235.417	242.590	0.000	850.000	250.000
4500000	214.563	224.704	0.000	1050.000	150.000
4750000	226.485	231.395	0.000	950.000	225.000
5000000	224.880	182.757	0.000	750.000	250.000
5250000	167.437	215.767	0.000	1050.000	100.000
5500000	155.849	183.708	0.000	850.000	100.000
5750000	254.359	227.233	0.000	1050.000	250.000
6000000	97.973	132.570	0.000	750.000	0.000
6250000	119.142	157.790	0.000	750.000	0.000
6500000	126.241	169.906	0.000	850.000	0.000
6750000	259.162	242.602	0.000	1050.000	250.000
7000000	202.062	204.198	0.000	800.000	100.000
7250000	53.606	101.664	0.000	600.000	0.000
7500000	226.419	206.950	0.000	1000.000	250.000
7750000	259.392	222.232	0.000	950.000	250.000
8000000	133.838	184.271	0.000	800.000	100.000
8250000	83.388	133.816	0.000	750.000	0.000
8500000	144.523	155.398	0.000	700.000	100.000
8750000	165.144	179.808	0.000	600.000	100.000
9000000	5.738	23.256	0.000	100.000	0.000
9250000	171.389	210.557	0.000	1000.000	100.000
9500000	259.091	231.110	0.000	1000.000	250.000
9750000	143.056	177.933	0.000	750.000	100.000
10000000	46.584	96.945	0.000	500.000	0.000
10250000	66.000	109.380	0.000	500.000	0.000
10500000	175.592	237.401	0.000	950.000	0.000
10750000	256.796	206.807	0.000	950.000	250.000
11000000	201.826	231.624	0.000	850.000	100.000
11250000	244.222	176.289	0.000	750.000	250.000
11500000	163.966	197.046	0.000	750.000	100.000
11750000	181.773	202.601	0.000	750.000	100.000
12000000	276.205	207.662	0.000	850.000	250.000
12250000	211.905	218.045	0.000	1200.000	200.000
12500000	122.538	169.485	0.000	800.000	0.000
12750000	192.050	168.923	0.000	750.000	250.000
13000000	282.933	211.643	0.000	850.000	250.000
13250000	190.957	197.587	0.000	800.000	100.000
13500000	207.207	197.490	0.000	850.000	250.000
13750000	260.227	184.045	0.000	850.000	250.000
14000000	101.038	137.195	0.000	600.000	0.000
14250000	113.799	160.414	0.000	800.000	0.000
14500000	313.158	243.247	0.000	950.000	250.000
14750000	135.321	196.856	0.000	1100.000	0.000
15000000	105.738	153.870	0.000	600.000	0.000
15250000	125.503	146.218	0.000	700.000	100.000
15500000	122.857	162.426	0.000	850.000	0.000
15750000	287.688	264.740	0.000	2200.000	250.000
16000000	314.247	231.170	0.000	1050.000	250.000
16250000	320.647	293.858	0.000	2100.000	250.000
16500000	309.116	236.894	0.000	950.000	250.000
16750000	289.722	255.587	0.000	1000.000	250.000
17000000	159.788	187.991	0.000	750.000	100.000
17250000	252.973	219.038	0.000	850.000	250.000
17500000	201.429	196.780	0.000	850.000	200.000
17750000	166.895	192.348	0.000	850.000	100.000
18000000	179.412	174.608	0.000	750.000	200.000
18250000	197.489	194.398	0.000	850.000	250.000
18500000	134.152	174.697	0.000	750.000	100.000
18750000	157.219	183.806	0.000	850.000	100.000
19000000	42.917	93.310	0.000	600.000	0.000
19250000	231.188	219.400	0.000	950.000	250.000
19500000	216.106	202.313	0.000	850.000	250.000
19750000	59.133	109.821	0.000	600.000	0.000
20000000	254.396	226.857	0.000	1100.000	250.000
20250000	210.039	203.869	0.000	850.000	250.000
20500000	152.529	189.006	0.000	950.000	100.000
20750000	210.980	178.316	0.000	750.000	250.000
21000000	286.704	227.758	0.000	1050.000	250.000
21250000	296.919	249.174	0.000	950.000	250.000
21500000	303.005	220.789	0.000	950.000	250.000
21750000	146.009	181.790	0.000	750.000	100.000
22000000	194.053	217.408	0.000	850.000	100.000
22250000	156.553	220.201	0.000	1050.000	0.000
22500000	259.848	213.890	0.000	950.000	250.000
22750000	141.983	191.373	0.000	950.000	100.000
23000000	144.419	192.091	0.000	850.000	0.000
23250000	202.263	190.421	0.000	850.000	250.000
23500000	220.433	233.191	0.000	1050.000	250.000
23750000	246.782	224.771	0.000	850.000	250.000
24000000	287.500	235.875	0.000	1050.000	250.000
24250000	286.236	238.838	0.000	950.000	250.000
24500000	263.068	235.548	0.000	950.000	250.000
24750000	401.676	260.366	0.000	950.000	350.000
25000000	210.877	198.603	0.000	950.000	250.000
25250000	226.693	244.103	0.000	1150.000	250.000
25500000	224.728	231.664	0.000	1050.000	200.000
25750000	178.659	208.415	0.000	850.000	100.000
26000000	232.969	242.922	0.000	950.000	250.000
26250000	305.485	230.738	0.000	850.000	250.000
26500000	346.835	223.301	0.000	950.000	350.000
26750000	240.032	186.881	0.000	850.000	250.000
27000000	316.575	250.086	0.000	900.000	250.000
27250000	300.798	221.964	0.000	1050.000	250.000
27500000	347.867	248.946	0.000	950.000	350.000
27750000	351.014	251.110	0.000	1000.000	350.000
28000000	475.143	237.419	0.000	1100.000	500.000
28250000	280.890	263.760	0.000	1000.000	250.000
28500000	228.598	178.765	0.000	700.000	250.000
28750000	349.808	183.229	0.000	850.000	250.000
29000000	438.670	202.009	0.000	950.000	500.000
29250000	231.034	210.055	0.000	950.000	250.000
29500000	216.919	191.430	0.000	850.000	250.000
29750000	362.760	236.249	0.000	1100.000	350.000
30000000	234.387	191.447	0.000	850.000	250.000
30250000	399.737	242.330	0.000	1100.000	400.000
30500000	417.277	173.477	0.000	900.000	450.000
30750000	358.152	249.159	0.000	1200.000	350.000
31000000	375.610	221.888	0.000	900.000	500.000
31250000	279.587	208.277	0.000	850.000	250.000
31500000	216.343	141.992	0.000	750.000	250.000
31750000	232.887	154.776	0.000	700.000	250.000
32000000	452.525	210.743	0.000	1150.000	500.000
32250000	485.326	258.816	0.000	2000.000	500.000
32500000	291.204	239.920	0.000	950.000	250.000
32750000	377.353	267.508	0.000	1000.000	350.000
33000000	419.892	186.095	0.000	950.000	450.000
33250000	326.981	181.707	0.000	850.000	250.000
33500000	355.634	228.161	0.000	1050.000	350.000
33750000	355.435	232.421	0.000	950.000	350.000
