iteration	mean	std_dev	min	max	median
250000	278.798	557.628	75.000	2295.000	75.000
500000	44.512	48.925	0.000	200.000	75.000
750000	1641.959	961.039	0.000	2700.000	2155.000
1000000	108.621	60.982	0.000	225.000	75.000
1250000	21.875	40.384	0.000	150.000	0.000
1500000	133.929	61.315	0.000	225.000	150.000
1750000	0.441	5.735	0.000	75.000	0.000
2000000	172.500	65.383	75.000	300.000	150.000
2250000	190.541	77.187	75.000	300.000	150.000
2500000	91.981	31.388	75.000	150.000	75.000
2750000	421.895	868.506	0.000	2870.000	75.000
3000000	2441.823	842.417	75.000	2995.000	2755.000
3250000	1330.061	1182.770	75.000	3140.000	1960.000
3500000	0.000	0.000	0.000	0.000	0.000
3750000	0.000	0.000	0.000	0.000	0.000
4000000	3013.111	56.404	2855.000	3065.000	3045.000
4250000	3054.559	35.910	2990.000	3135.000	3065.000
4500000	2729.194	247.093	1960.000	3125.000	2760.000
4750000	2920.833	9.091	2915.000	2935.000	2915.000
5000000	76.974	275.023	0.000	1725.000	0.000
5250000	1999.286	344.585	1535.000	2775.000	1985.000
5500000	2860.000	42.131	2755.000	2915.000	2865.000
5750000	2222.941	505.271	500.000	3305.000	2182.500
6000000	2970.862	59.133	2865.000	3115.000	2990.000
6250000	978.043	786.937	400.000	2840.000	500.000
6500000	2367.547	546.372	75.000	4430.000	2305.000
6750000	3543.830	1093.788	2895.000	6560.000	3145.000
7000000	1429.722	1136.895	75.000	4500.000	1880.000
7250000	3941.625	1831.760	1620.000	7475.000	3052.500
7500000	3062.234	207.833	2450.000	3470.000	3025.000
7750000	3999.867	1533.190	3065.000	9755.000	3115.000
8000000	4734.322	1878.503	1785.000	10025.000	3315.000
8250000	3342.674	623.053	2940.000	7165.000	3240.000
8500000	6357.544	473.274	5670.000	7520.000	6280.000
8750000	6484.314	1494.953	2990.000	11045.000	6775.000
9000000	7303.977	243.974	6920.000	7810.000	7275.000
9250000	5957.308	2139.747	2990.000	11750.000	7260.000
9500000	388.091	970.630	75.000	5960.000	150.000
9750000	4693.173	1686.628	2850.000	10375.000	5550.000
10000000	6214.091	657.890	4600.000	7120.000	6320.000
10250000	6498.983	877.672	5880.000	12095.000	6315.000
10500000	4321.486	1239.952	2990.000	6980.000	3515.000
10750000	8035.943	1001.244	6860.000	11695.000	7640.000
11000000	7199.811	733.520	5345.000	12250.000	7217.500
11250000	6551.522	2003.595	2990.000	11945.000	7170.000
11500000	7631.367	482.981	7380.000	11460.000	7540.000
11750000	8248.519	1564.473	7470.000	13300.000	7650.000
12000000	7614.667	520.137	7450.000	11445.000	7540.000
12250000	7508.039	29.932	7410.000	7560.000	7500.000
12500000	6712.454	781.896	2990.000	7560.000	7080.000
12750000	7525.169	57.261	7410.000	7650.000	7520.000
13000000	7572.209	82.651	7410.000	7725.000	7545.000
13250000	7714.167	138.809	7500.000	8110.000	7695.000
13500000	8066.833	1025.566	7460.000	11290.000	7725.000
13750000	7838.222	145.889	7530.000	8140.000	7875.000
14000000	7812.111	180.051	7360.000	8345.000	7795.000
14250000	7881.731	148.285	7575.000	8175.000	7875.000
14500000	7785.196	169.587	7470.000	8150.000	7760.000
14750000	7854.318	233.802	7335.000	8425.000	7875.000
15000000	7720.755	112.066	7500.000	7990.000	7725.000
15250000	8112.719	973.266	7600.000	12365.000	7810.000
15500000	7717.308	108.879	7510.000	7935.000	7670.000
15750000	8141.970	266.722	7650.000	8585.000	8210.000
16000000	9772.600	1908.927	7645.000	13140.000	10000.000
16250000	8127.857	66.414	8015.000	8275.000	8115.000
16500000	8824.375	1906.525	7600.000	13390.000	7892.500
16750000	7679.000	81.683	7510.000	7915.000	7670.000
17000000	9381.122	2016.224	7360.000	13395.000	7800.000
17250000	7823.333	633.826	7585.000	11950.000	7725.000
17500000	10592.467	2076.887	7675.000	13470.000	12070.000
17750000	11335.764	2279.173	7505.000	13235.000	12640.000
18000000	12885.548	1516.306	7715.000	13540.000	13355.000
18250000	8194.111	1237.203	7480.000	13185.000	7855.000
18500000	13413.400	113.712	13085.000	13610.000	13447.500
18750000	12981.765	658.853	7950.000	13515.000	13085.000
19000000	10367.460	2463.833	7610.000	13415.000	8160.000
19250000	13009.010	1180.818	7690.000	13525.000	13255.000
19500000	13053.100	1599.634	7600.000	13720.000	13550.000
19750000	9893.150	2608.683	7675.000	13570.000	8015.000
20000000	11038.261	2618.676	7650.000	13650.000	12795.000
20250000	13327.392	830.389	7840.000	13680.000	13455.000
20500000	10193.803	2636.211	7685.000	13635.000	8100.000
20750000	13030.593	1592.650	7710.000	13710.000	13510.000
21000000	13269.397	1126.014	7820.000	13765.000	13575.000
21250000	9878.175	2355.069	7725.000	13355.000	8045.000
21500000	13244.688	1345.177	7745.000	13905.000	13625.000
21750000	8053.824	171.580	7675.000	8365.000	8060.000
22000000	8728.863	2315.754	2990.000	13710.000	7710.000
22250000	8696.339	1878.475	7525.000	13440.000	7985.000
22500000	13306.111	998.420	7635.000	13845.000	13560.000
22750000	13519.396	141.126	13165.000	13745.000	13552.500
23000000	13710.670	96.041	13310.000	13855.000	13735.000
23250000	12518.615	2013.079	7725.000	13610.000	13305.000
23500000	13512.439	93.796	13265.000	13660.000	13510.000
23750000	13270.333	843.639	7760.000	13610.000	13420.000
24000000	13347.188	873.099	7800.000	13755.000	13510.000
24250000	13304.328	774.407	7725.000	13830.000	13430.000
24500000	13125.291	1440.191	7650.000	13765.000	13510.000
24750000	13234.778	1500.694	7770.000	13845.000	13630.000
25000000	13310.413	1033.155	7725.000	13790.000	13490.000
25250000	9753.947	2558.128	7585.000	13870.000	7820.000
25500000	13352.675	1339.679	7600.000	13895.000	13685.000
25750000	9386.812	2415.698	7550.000	13550.000	7765.000
26000000	11238.289	1832.818	7625.000	13450.000	11960.000
26250000	10461.214	2093.586	7645.000	12980.000	11862.500
26500000	8179.286	1123.696	7475.000	13625.000	7990.000
26750000	7694.725	94.835	7460.000	7990.000	7690.000
27000000	8024.186	156.484	7710.000	8385.000	8015.000
27250000	10131.956	2070.737	7560.000	13160.000	10700.000
27500000	8124.273	732.441	7675.000	12215.000	8025.000
27750000	8052.000	397.291	7725.000	10770.000	8025.000
28000000	7695.197	165.844	7500.000	8225.000	7650.000
28250000	9285.317	2135.932	7675.000	13430.000	8015.000
28500000	12064.200	2215.366	7675.000	13905.000	13190.000
28750000	8375.322	918.890	7725.000	12695.000	8175.000
29000000	13485.241	667.670	7775.000	13940.000	13580.000
29250000	12312.180	2375.983	7765.000	14375.000	13590.000
29500000	9031.141	1909.928	7615.000	13650.000	8115.000
29750000	8654.145	1961.300	7595.000	13790.000	7775.000
30000000	8149.273	1308.619	7675.000	13570.000	7785.000
30250000	8009.817	835.297	7675.000	13555.000	7775.000
30500000	9401.546	2229.031	7600.000	13035.000	7775.000
30750000	9586.400	2174.487	7675.000	13625.000	8307.500
31000000	9276.548	1454.222	7695.000	13130.000	8455.000
31250000	11005.213	1204.950	7675.000	13495.000	11225.000
31500000	10433.900	2222.945	7655.000	13315.000	11082.500
31750000	11305.568	2004.112	7710.000	13915.000	12077.500
32000000	8988.929	2152.905	7685.000	13935.000	8125.000
32250000	10127.667	1437.323	7675.000	12320.000	10590.000
32500000	8554.872	1099.186	7975.000	13295.000	8165.000
32750000	8774.193	1314.802	7725.000	13690.000	8475.000
33000000	12209.621	1756.379	7725.000	14045.000	13035.000
33250000	10643.524	2252.459	7690.000	13805.000	11750.000
33500000	12035.263	1918.622	7725.000	13735.000	12855.000
33750000	13609.605	715.964	7785.000	14050.000	13725.000
34000000	13659.253	104.616	13375.000	13920.000	13655.000
34250000	13689.419	163.624	13275.000	13875.000	13745.000
34500000	13566.582	127.923	13210.000	14015.000	13565.000
34750000	13506.750	180.813	13065.000	13835.000	13557.500
35000000	13560.244	176.222	12560.000	13795.000	13590.000
35250000	13458.421	152.655	13195.000	13965.000	13425.000
35500000	8314.219	300.765	7660.000	8825.000	8345.000
35750000	13142.837	1226.779	7610.000	13885.000	13430.000
36000000	11833.553	1694.846	7775.000	13200.000	12482.500
36250000	11902.174	2303.655	7725.000	14005.000	13195.000
36500000	13345.878	683.607	7745.000	13950.000	13412.500
36750000	12791.701	1716.086	7615.000	13895.000	13425.000
37000000	12307.954	1944.067	7795.000	13635.000	13117.500
37250000	13320.833	819.806	7660.000	13935.000	13462.500
37500000	11155.435	2465.630	7725.000	13710.000	12970.000
37750000	10268.036	1912.679	7635.000	13355.000	9765.000
38000000	7816.765	189.759	7605.000	9425.000	7775.000
38250000	7787.009	870.089	3265.000	13330.000	7755.000
38500000	7698.525	669.620	6965.000	13095.000	7635.000
38750000	7439.263	896.322	3115.000	11475.000	7520.000
39000000	3076.583	43.205	2940.000	3185.000	3060.000
39250000	3345.946	704.950	3025.000	8055.000	3115.000
39500000	7651.307	724.777	3185.000	9920.000	7725.000
39750000	7729.122	414.450	7485.000	11145.000	7645.000
40000000	6599.524	1335.265	2865.000	7620.000	7175.000
40250000	7590.750	329.112	7305.000	9975.000	7540.000
40500000	7618.582	98.571	7400.000	7800.000	7620.000
40750000	8050.164	945.535	7485.000	11180.000	7665.000
41000000	7431.500	331.534	7100.000	9860.000	7372.500
41250000	7603.083	178.606	7070.000	8010.000	7572.500
41500000	7021.455	569.738	3215.000	7575.000	7075.000
41750000	7605.511	93.808	7370.000	7895.000	7600.000
42000000	7578.403	58.797	7400.000	7660.000	7600.000
42250000	7579.255	37.558	7450.000	7640.000	7600.000
42500000	7606.000	45.567	7420.000	7660.000	7610.000
42750000	7317.335	483.365	3010.000	7610.000	7370.000
43000000	7431.027	378.162	2995.000	7610.000	7470.000
43250000	7406.496	78.684	7140.000	7655.000	7410.000
43500000	6485.076	1772.741	75.000	7590.000	7220.000
43750000	5225.570	2982.549	0.000	7430.000	7005.000
44000000	2880.278	3292.486	0.000	7550.000	932.500
44250000	7563.479	79.033	7320.000	7775.000	7550.000
44500000	6371.429	1869.246	3095.000	7760.000	7440.000
44750000	7746.842	242.328	6705.000	8255.000	7775.000
45000000	7714.167	76.055	7510.000	7850.000	7725.000
45250000	7709.872	583.970	7430.000	11625.000	7600.000
45500000	7546.869	53.997	7410.000	7735.000	7560.000
45750000	7684.111	526.503	7420.000	11915.000	7600.000
46000000	6291.209	1932.778	3040.000	7745.000	7390.000
