iteration	mean	std_dev	min	max	median
250000	1564.284	813.543	135.000	3132.000	1665.000
500000	1820.491	639.058	426.000	4011.000	1841.000
750000	2282.382	1210.613	219.000	5470.000	2511.000
1000000	3172.620	909.118	932.000	9605.000	3258.000
1250000	2981.410	800.274	429.000	4911.000	2988.000
1500000	3521.996	912.711	690.000	5364.000	3567.000
1750000	3466.765	831.679	1089.000	5454.000	3519.000
2000000	3695.719	988.348	963.000	6192.000	3483.000
2250000	3982.545	1068.644	948.000	6444.000	3825.000
2500000	4084.238	1457.852	1188.000	7137.000	3753.000
2750000	4467.642	1513.039	0.000	7344.000	4477.500
3000000	5294.477	1251.992	1911.000	7848.000	5265.000
3250000	5521.356	954.711	2673.000	7344.000	5808.000
3500000	4663.589	1362.945	1145.000	7209.000	4557.000
3750000	5197.761	1528.454	354.000	7695.000	5211.000
4000000	4904.075	1258.947	1299.000	7203.000	4671.000
4250000	5626.184	1267.401	2058.000	8496.000	5956.000
4500000	4302.840	1030.911	774.000	7740.000	4245.000
4750000	5043.807	1310.048	1848.000	7254.000	4887.000
5000000	6438.152	1104.439	2547.000	9414.000	6714.000
5250000	5251.726	1306.779	1632.000	7978.000	5158.500
5500000	6185.971	1115.064	2286.000	8019.000	6471.000
5750000	5764.645	1327.298	2151.000	7983.000	6003.000
6000000	4636.601	930.514	2349.000	7122.000	4662.000
6250000	5219.189	1471.360	1803.000	8604.000	5094.000
6500000	5377.423	1300.768	1566.000	8856.000	5400.000
6750000	6038.953	1710.127	90.000	8406.000	6426.000
7000000	6103.751	1359.886	1647.000	9270.000	6399.000
7250000	4939.498	1098.216	1848.000	7002.000	5151.000
7500000	6102.328	1205.788	40.000	8400.000	6457.500
7750000	4908.327	1310.627	100.000	7463.000	5123.000
8000000	5583.068	1336.892	1740.000	8621.000	5700.000
8250000	4698.542	830.659	2313.000	6633.000	4815.000
8500000	5176.485	1501.820	2538.000	8307.000	4842.000
8750000	6014.004	1166.872	1359.000	7965.000	6007.500
9000000	5682.530	1471.593	1821.000	9099.000	5598.000
9250000	6007.265	1482.149	100.000	8775.000	6075.000
9500000	5983.583	1106.799	1746.000	8514.000	6240.000
9750000	6279.938	1172.830	2091.000	8352.000	6553.500
10000000	5473.185	1250.738	1948.000	9054.000	5472.000
10250000	5800.720	1214.974	894.000	8640.000	5988.000
10500000	5752.262	1471.665	2298.000	8586.000	5411.000
10750000	5578.573	1572.300	20.000	8658.000	5486.000
11000000	5324.581	1285.076	1881.000	8181.000	5278.500
11250000	6016.204	1345.865	2628.000	8643.000	6075.000
11500000	4943.024	1546.654	90.000	8325.000	5031.000
11750000	4337.618	936.060	1830.000	7047.000	4329.000
12000000	5048.888	1338.416	1413.000	10161.000	4950.000
12250000	5597.923	1663.699	1341.000	8928.000	5547.000
12500000	5884.634	1119.060	2610.000	8496.000	5958.000
12750000	5120.521	1307.194	0.000	7767.000	5481.000
13000000	5546.550	1494.270	20.000	8526.000	5697.000
13250000	5432.557	1481.327	1101.000	8118.000	5667.000
13500000	4731.461	1691.779	297.000	8159.000	4672.500
13750000	5257.860	1289.733	0.000	8040.000	5310.000
14000000	5067.337	1152.880	396.000	7371.000	5292.000
14250000	5373.787	1279.505	597.000	7722.000	5337.000
14500000	4793.252	1390.564	1323.000	7380.000	4761.000
14750000	5633.137	1270.488	1793.000	7983.000	5736.500
15000000	4479.317	932.999	630.000	6840.000	4648.500
15250000	5716.196	1253.867	1046.000	7896.000	5881.500
15500000	6452.212	1329.579	2097.000	10305.000	6583.000
15750000	5174.902	1390.773	30.000	7614.000	5368.000
16000000	4704.512	989.192	1215.000	6561.000	4932.000
16250000	5131.471	1326.202	1751.000	8037.000	4932.000
16500000	5667.532	1328.712	1710.000	8262.000	5575.500
16750000	5663.444	1177.337	2109.000	8600.000	5865.000
17000000	5691.286	1261.459	1125.000	8733.000	5701.500
17250000	5648.976	1533.311	2169.000	9207.000	5328.000
17500000	4764.029	1310.425	80.000	9276.000	4947.500
17750000	5161.218	1136.815	1100.000	7209.000	5484.000
18000000	4156.234	1278.686	0.000	6754.000	4025.000
18250000	5695.801	1087.477	2637.000	8525.000	5697.000
18500000	5337.259	1382.644	437.000	8535.000	5195.500
18750000	5837.520	1146.914	2325.000	8253.000	6021.000
19000000	6158.535	1408.154	1905.000	8487.000	6363.000
19250000	5492.482	1052.660	2505.000	7589.000	5710.500
19500000	4956.755	1164.803	2106.000	7893.000	5044.500
19750000	5946.346	1163.331	2232.000	7884.000	6261.000
20000000	5943.646	1057.901	2893.000	8073.000	6022.500
20250000	5210.175	1006.828	2943.000	7331.000	5193.000
20500000	5980.964	1359.503	1845.000	8568.000	6165.000
20750000	5367.282	1467.628	1461.000	7914.000	5557.500
21000000	5400.030	1585.397	1625.000	9405.000	5310.000
21250000	5890.321	1102.541	2421.000	8424.000	6036.000
21500000	4715.818	1714.122	378.000	8000.000	4520.000
21750000	4749.916	1261.075	1482.000	7623.000	4797.000
22000000	4823.505	1400.257	939.000	8478.000	4890.000
22250000	5490.958	1296.206	1142.000	7938.000	5787.000
22500000	5283.293	1107.300	1224.000	7425.000	5323.500
22750000	5474.183	1756.592	60.000	9630.000	5274.000
23000000	6166.851	1162.070	2552.000	9819.000	6390.000
23250000	5328.829	1075.749	1548.000	7218.000	5472.000
23500000	5919.780	1628.818	2547.000	9657.000	5733.000
23750000	5009.225	1633.168	1647.000	8433.000	4935.000
24000000	5097.418	1373.967	502.000	7542.000	5226.000
24250000	5974.047	1399.348	1539.000	9702.000	5994.000
24500000	5586.245	1443.498	60.000	11205.000	5613.000
24750000	6024.700	1056.172	2325.000	7875.000	6300.000
25000000	5279.240	1217.704	2187.000	9045.000	5184.000
25250000	5152.533	1141.147	1632.000	7524.000	5080.500
25500000	4446.609	1185.688	279.000	6903.000	4482.000
25750000	5347.079	1098.335	2457.000	9129.000	5211.000
26000000	5764.608	1077.586	1938.000	7677.000	6030.000
26250000	5120.809	1230.644	1806.000	7488.000	5202.000
26500000	6461.866	1591.762	2511.000	10497.000	6444.000
26750000	5571.741	1252.865	1989.000	8379.000	5512.000
27000000	5071.146	1536.176	2124.000	8334.000	4860.000
27250000	4774.373	1314.375	1188.000	8253.000	4738.500
27500000	5734.149	1332.193	2451.000	8856.000	5625.000
27750000	4434.592	1207.297	1367.000	8031.000	4329.000
28000000	4268.900	1199.560	900.000	6876.000	4240.500
28250000	6040.145	1225.002	543.000	8187.000	6300.000
28500000	4704.326	945.247	2106.000	7398.000	4743.000
28750000	4612.864	1076.527	1971.000	8037.000	4536.000
29000000	4704.086	1894.366	1134.000	16506.000	4433.000
29250000	5405.072	1392.524	405.000	7518.000	5913.000
29500000	5417.367	1259.431	2706.000	10242.000	5278.500
29750000	6315.566	1307.078	2397.000	11097.000	6591.000
30000000	5554.500	1406.254	1980.000	8763.000	5529.000
30250000	5935.332	1265.623	1575.000	8856.000	5952.000
30500000	5382.649	1480.868	1308.000	8085.000	5396.500
30750000	5315.080	979.781	2058.000	7164.000	5604.000
31000000	4992.803	1343.009	1980.000	8064.000	4626.000
31250000	5285.399	1697.232	1404.000	8761.000	5009.500
31500000	4397.701	1086.468	50.000	8229.000	4509.000
31750000	6420.000	1260.937	2118.000	10341.000	6696.000
32000000	5351.528	1286.707	1998.000	7902.000	5503.500
32250000	5868.509	1563.070	1812.000	8979.000	5973.000
32500000	5431.556	1028.472	2475.000	7713.000	5508.000
32750000	5328.699	1122.485	1976.000	8577.000	5364.000
33000000	5728.434	1574.486	1809.000	8937.000	5982.000
33250000	4835.283	1204.441	2043.000	7677.000	4653.000
33500000	5177.361	1504.360	30.000	8703.000	5126.500
33750000	4646.782	940.165	1764.000	6669.000	4734.000
34000000	4510.070	1334.986	120.000	7668.000	4260.000
34250000	4790.022	1428.802	837.000	9074.000	4632.000
34500000	5582.032	1530.347	1665.000	10512.000	5526.000
34750000	5319.362	1824.807	0.000	8469.000	5112.000
35000000	5183.377	1797.658	1065.000	8622.000	4997.000
35250000	5226.218	1321.276	1866.000	7956.000	5175.000
35500000	5518.372	1665.190	1416.000	8667.000	5355.000
35750000	5072.448	1089.565	1425.000	7416.000	5148.000
36000000	5193.632	1305.022	2475.000	9864.000	5031.000
36250000	5356.434	1273.595	70.000	8163.000	5265.000
36500000	6330.248	1120.888	2169.000	9144.000	6513.000
36750000	5248.218	1934.935	80.000	11007.000	4811.000
37000000	6405.900	1003.305	3285.000	8361.000	6615.000
37250000	5885.296	1437.182	1638.000	8991.000	5742.000
37500000	5521.878	1264.187	2034.000	9396.000	5517.000
37750000	6296.662	1124.603	2718.000	9945.000	6228.000
38000000	5097.799	1061.577	1494.000	7938.000	5085.000
38250000	5438.327	1765.645	1748.000	14151.000	4995.000
38500000	4486.662	1955.854	0.000	8937.000	4441.500
38750000	5067.066	1322.064	339.000	7878.000	5259.000
39000000	5339.126	1538.966	2127.000	8010.000	5364.000
39250000	4115.242	1466.271	20.000	7812.000	4014.000
39500000	5442.378	1104.133	2091.000	10119.000	5538.000
39750000	4707.749	1259.096	1070.000	8631.000	4608.000
40000000	5083.295	1410.892	30.000	9138.000	4981.500
40250000	4866.473	1512.137	1689.000	9524.000	4734.000
40500000	4784.256	1129.175	1125.000	8847.000	4986.000
40750000	5025.578	1501.639	1659.000	9126.000	5193.000
41000000	4820.065	1581.707	512.000	9270.000	4878.000
41250000	4988.737	1199.546	1755.000	8276.000	4968.000
41500000	4332.123	1499.652	1008.000	11450.000	4212.000
41750000	4949.915	1303.298	1875.000	7623.000	5067.000
42000000	5214.687	1473.160	30.000	9430.000	5193.000
42250000	5110.795	1370.581	1575.000	8577.000	5067.000
42500000	5662.195	1637.421	1395.000	10368.000	5661.000
42750000	4580.078	1697.277	1440.000	10917.000	4752.000
43000000	5542.650	1763.586	171.000	8631.000	5746.500
43250000	4760.788	1392.890	60.000	8352.000	4797.000
43500000	5191.081	1423.571	1083.000	9891.000	5103.000
43750000	4530.404	1074.122	1341.000	7191.000	4465.500
44000000	5558.824	1214.132	1641.000	8073.000	5754.000
44250000	5102.744	1428.147	1143.000	7832.000	5004.000
44500000	5553.754	1114.177	2415.000	8586.000	5721.000
44750000	4243.475	1494.523	1407.000	7470.000	4141.500
45000000	4846.176	1485.367	40.000	8328.000	4722.000
45250000	5147.121	1950.346	1479.000	8487.000	5058.000
45500000	5118.504	1088.623	1878.000	8307.000	5152.500
45750000	5121.892	1485.412	1341.000	8577.000	4945.500
46000000	5680.464	1461.301	110.000	8453.000	5679.000
46250000	4681.134	1652.424	855.000	8235.000	4977.000
46500000	5598.186	1376.872	1512.000	8703.000	5454.000
46750000	5308.992	1877.400	1523.000	11268.000	4714.000
47000000	4720.137	1422.114	60.000	8208.000	4757.000
47250000	5443.158	1167.777	1755.000	8037.000	5413.500
47500000	4794.493	1464.320	1962.000	8937.000	4383.000
47750000	4061.693	1060.091	408.000	7605.000	4158.000
48000000	5112.099	1323.844	1332.000	8156.000	5094.000
48250000	4721.129	1067.454	1476.000	8775.000	4599.000
48500000	5029.086	1751.117	1254.000	9495.000	5148.000
48750000	5969.912	1259.496	1728.000	8397.000	6016.500
49000000	6059.112	1297.057	804.000	8658.000	6456.000
49250000	5473.783	1657.359	1755.000	8372.000	5571.000
49500000	5287.434	1387.619	2799.000	9666.000	5175.000
49750000	6076.247	1331.920	1961.000	9765.000	6291.000
50000000	5043.371	1637.149	1962.000	8253.000	5049.000
