iteration	mean	std_dev	min	max	median
250000	2402.833	451.950	1332.000	3132.000	2508.000
500000	2207.337	517.471	819.000	3348.000	2250.000
750000	2954.323	774.746	845.000	5470.000	2988.000
1000000	3015.000	1333.326	932.000	9605.000	2700.000
1250000	2818.989	546.729	643.000	3753.000	2961.000
1500000	3039.158	712.310	1356.000	4638.000	3099.000
1750000	2919.726	664.871	1089.000	3969.000	3159.000
2000000	4404.354	1122.109	963.000	6192.000	4662.000
2250000	3863.611	841.074	948.000	5283.000	4053.000
2500000	3088.309	721.228	1188.000	4194.000	3343.500
2750000	3328.136	1155.026	0.000	6006.000	3376.500
3000000	4359.928	1003.798	1911.000	6249.000	4521.000
3250000	5082.688	974.837	2997.000	6789.000	5310.000
3500000	5558.938	1140.764	2574.000	7209.000	5820.000
3750000	5618.031	1261.764	354.000	7236.000	5977.500
4000000	5613.631	1079.135	2961.000	7203.000	6057.000
4250000	5219.400	1330.470	2436.000	7313.000	5338.500
4500000	4661.234	1004.050	2028.000	6435.000	4935.000
4750000	5495.585	1094.982	2295.000	7101.000	5787.000
5000000	6716.703	1097.363	3783.000	8067.000	7284.000
5250000	4447.344	915.887	1632.000	7128.000	4624.500
5500000	5770.780	1325.637	2286.000	8019.000	5527.000
5750000	6293.526	1373.794	2241.000	7983.000	6606.000
6000000	5093.387	1054.505	2502.000	7122.000	5463.000
6250000	5555.860	1650.362	2237.000	8604.000	5385.000
6500000	5009.427	1056.056	2160.000	7104.000	5257.500
6750000	5191.181	2050.186	90.000	8406.000	5416.500
7000000	5905.200	1416.212	1647.000	8004.000	6138.000
7250000	4813.969	1126.418	1848.000	6492.000	4990.500
7500000	5860.737	1584.883	40.000	7569.000	6419.000
7750000	5127.219	1107.395	2349.000	7452.000	5383.500
8000000	5081.727	1232.116	1740.000	7011.000	5016.000
8250000	5044.107	862.015	2313.000	6633.000	5175.000
8500000	4050.790	763.402	2538.000	6030.000	4122.000
8750000	5058.944	575.250	3015.000	6183.000	5148.000
9000000	7092.387	1194.843	3009.000	9099.000	7479.000
9250000	6860.373	1359.406	2691.000	8775.000	7332.000
9500000	6200.489	894.554	2853.000	8514.000	6327.000
9750000	5531.912	1039.957	2091.000	7402.000	5828.000
10000000	6323.779	916.371	3429.000	9054.000	6385.500
10250000	5928.125	1368.110	894.000	8199.000	6288.000
10500000	5877.231	1332.207	2298.000	7871.000	6329.000
10750000	5622.059	1493.543	2394.000	8076.000	5303.500
11000000	5414.800	967.866	2322.000	8181.000	5539.500
11250000	4834.232	812.445	2676.000	6813.000	4929.000
11500000	5092.500	660.416	2997.000	6336.000	5197.500
11750000	4125.522	799.038	1863.000	5697.000	4284.000
12000000	4216.210	970.279	1413.000	5880.000	4467.000
12250000	4453.534	1319.146	1341.000	6983.000	4428.000
12500000	5549.871	954.326	2610.000	7245.000	5868.000
12750000	4113.822	1144.355	0.000	6327.000	3936.000
13000000	5709.567	1081.816	1938.000	7758.000	6043.500
13250000	5797.925	1222.895	1101.000	7515.000	6223.500
13500000	3429.914	899.309	1476.000	5627.000	3294.000
13750000	5356.947	1277.184	804.000	7182.000	5673.000
14000000	4507.071	1215.890	396.000	6665.000	4599.000
14250000	5855.068	756.852	3834.000	7137.000	5949.000
14500000	5242.067	938.766	2592.000	7335.000	5427.000
14750000	6515.822	903.419	3726.000	7983.000	6772.500
15000000	4805.500	886.089	2304.000	6102.000	5040.000
15250000	4853.127	1118.442	1046.000	6374.000	5203.000
15500000	6985.253	1100.444	3870.000	8741.000	7236.000
15750000	4770.938	1264.439	30.000	7247.000	4932.000
16000000	5191.045	780.933	2622.000	6561.000	5427.000
16250000	5408.581	1107.886	2556.000	7101.000	5679.000
16500000	6241.404	1217.083	2154.000	8262.000	6583.500
16750000	5177.500	1259.769	2109.000	7185.000	4836.000
17000000	6379.000	790.710	4239.000	7929.000	6546.000
17250000	6628.610	1303.544	3465.000	8352.000	7146.000
17500000	4861.066	1038.020	2016.000	7077.000	5094.000
17750000	4881.568	1046.192	1782.000	6804.000	5103.000
18000000	4595.800	1351.354	20.000	6754.000	4810.000
18250000	5787.204	1075.834	2637.000	7632.000	6023.000
18500000	5611.711	1332.154	1344.000	7866.000	5913.000
18750000	6133.522	1003.740	2439.000	8253.000	6331.500
19000000	7115.386	852.615	3726.000	8487.000	7317.000
19250000	5020.352	1007.448	2505.000	7041.000	5247.000
19500000	4859.967	1073.858	2187.000	7893.000	4950.000
19750000	5822.044	948.749	2736.000	7209.000	6120.000
20000000	6157.435	1137.974	3492.000	8073.000	6354.000
20250000	5350.663	812.899	3159.000	6885.000	5530.500
20500000	7102.289	1039.774	3438.000	8568.000	7438.500
20750000	6152.355	1197.668	2394.000	7785.000	6606.000
21000000	6566.308	1087.015	3564.000	9405.000	6876.000
21250000	6020.539	825.250	3132.000	7299.000	6255.000
21500000	6125.674	1273.172	2802.000	8000.000	6429.000
21750000	5903.855	758.697	3357.000	7623.000	6057.000
22000000	6118.156	978.663	3321.000	8478.000	6526.500
22250000	5629.370	1085.873	2898.000	7938.000	5895.000
22500000	6001.286	949.859	1224.000	7227.000	6273.000
22750000	7102.912	1146.603	3312.000	9630.000	7452.000
23000000	6443.916	979.794	3663.000	9819.000	6498.000
23250000	5995.220	921.252	2763.000	7218.000	6300.000
23500000	6878.713	1343.494	3654.000	8892.000	7375.500
23750000	6596.936	1217.688	3423.000	8433.000	6909.000
24000000	5471.553	1123.145	2628.000	7254.000	5755.500
24250000	5594.362	1169.112	2799.000	7416.000	5836.500
24500000	6619.602	1494.176	2043.000	11205.000	7024.500
24750000	6304.956	926.817	3224.000	7875.000	6498.000
25000000	6533.775	1097.847	2853.000	9045.000	6826.500
25250000	5330.388	902.214	1991.000	7389.000	5463.000
25500000	4863.316	1174.594	1476.000	6903.000	5148.000
25750000	5727.433	1317.288	2619.000	9129.000	5427.000
26000000	5122.871	1016.623	1938.000	7155.000	5274.000
26250000	5000.536	1085.156	2430.000	6804.000	5274.000
26500000	6908.674	1327.189	3429.000	10497.000	7057.500
26750000	6536.380	1127.738	2457.000	8379.000	6925.500
27000000	5451.452	1048.138	2673.000	7974.000	5733.000
27250000	5593.652	1009.860	2376.000	8253.000	5787.000
27500000	5356.615	1121.038	2451.000	7761.000	5364.000
27750000	5142.200	1378.766	2052.000	8031.000	4878.000
28000000	4685.156	1223.710	900.000	6876.000	5017.500
28250000	5758.011	1063.240	2205.000	7974.000	5940.000
28500000	4560.832	1061.071	2106.000	7398.000	4599.000
28750000	5492.670	1081.128	2250.000	8037.000	5634.000
29000000	5417.550	3250.719	1758.000	16506.000	4464.000
29250000	5268.752	1022.110	2964.000	6831.000	5340.000
29500000	6506.689	1232.202	3969.000	10242.000	6588.000
29750000	6779.616	1181.043	3420.000	11097.000	6934.500
30000000	5720.557	897.494	1980.000	7524.000	5841.000
30250000	5614.747	1225.647	2565.000	8829.000	5697.000
30500000	6730.174	1340.291	1308.000	8085.000	7234.500
30750000	5513.433	955.337	2058.000	6822.000	5806.500
31000000	6492.933	1056.174	2709.000	8064.000	6669.000
31250000	4912.936	962.581	2052.000	7173.000	5121.000
31500000	4622.589	1319.951	50.000	8229.000	4674.000
31750000	6982.846	1254.223	3483.000	10341.000	7308.000
32000000	5797.500	1183.641	2448.000	7902.000	6052.500
32250000	6183.312	1351.935	1902.000	8301.000	6709.500
32500000	6099.000	826.195	3321.000	7713.000	6264.000
32750000	6084.326	848.267	3366.000	7992.000	6300.000
33000000	4064.724	886.277	1809.000	6525.000	4059.000
33250000	5218.167	854.300	2709.000	6660.000	5400.000
33500000	6182.896	854.348	3829.000	8703.000	6268.500
33750000	4103.802	737.228	1764.000	5391.000	4185.000
34000000	5787.956	1061.878	2556.000	7668.000	6120.000
34250000	5928.528	1176.241	2405.000	9074.000	6107.000
34500000	6732.600	1356.664	3276.000	10512.000	6921.000
34750000	5677.000	1563.747	0.000	7848.000	5987.000
35000000	7220.955	1038.807	3684.000	8622.000	7515.000
35250000	5036.621	1001.214	2016.000	7146.000	5193.000
35500000	5892.541	1389.096	2196.000	8373.000	6045.000
35750000	5827.370	1089.048	2097.000	7416.000	6183.000
36000000	6442.311	1184.592	4068.000	9864.000	6615.000
36250000	6244.000	1194.912	3105.000	8163.000	6543.000
36500000	6459.121	852.883	4113.000	7983.000	6624.000
36750000	7626.232	1381.802	2079.000	11007.000	7861.500
37000000	6742.122	907.414	3969.000	8361.000	6979.500
37250000	5278.545	942.102	2898.000	7875.000	5436.000
37500000	4371.022	635.613	2034.000	5859.000	4441.500
37750000	6487.533	1020.622	4293.000	9945.000	6534.000
38000000	5744.393	710.704	3666.000	6921.000	5913.000
38250000	5395.461	1279.632	2808.000	8703.000	5386.500
38500000	4635.471	958.510	2295.000	8937.000	4700.000
38750000	5189.691	1514.677	339.000	7677.000	5616.000
39000000	6493.578	1075.007	2684.000	8010.000	6874.500
39250000	4606.000	1269.812	1689.000	7119.000	4806.000
39500000	5803.700	898.662	2907.000	7515.000	6030.000
39750000	4443.530	927.853	1280.000	7290.000	4455.000
40000000	5654.141	1570.209	30.000	9138.000	6048.000
40250000	4683.674	872.125	1712.000	5859.000	4905.000
40500000	4718.011	947.157	1125.000	6057.000	5016.000
40750000	6405.977	991.848	3519.000	9126.000	6372.000
41000000	5541.391	1204.292	2655.000	9270.000	5775.000
41250000	5403.523	1239.437	2939.000	8276.000	5136.000
41500000	4329.400	918.827	2097.000	7722.000	4495.500
41750000	5305.900	902.336	2187.000	6642.000	5440.500
42000000	5452.959	1421.971	1764.000	8517.000	5331.000
42250000	5880.660	1562.333	2133.000	8577.000	6124.500
42500000	6200.270	831.245	3573.000	7488.000	6363.000
42750000	5556.000	1239.201	2052.000	10917.000	5724.000
43000000	6247.255	926.998	3330.000	7722.000	6423.000
43250000	5677.517	937.696	2997.000	8253.000	5841.000
43500000	4091.413	791.414	1629.000	5526.000	4329.000
43750000	4846.021	1028.275	1341.000	6867.000	5124.000
44000000	5877.684	1236.059	1641.000	7929.000	6237.000
44250000	6489.077	1033.452	3197.000	7832.000	6885.000
44500000	5009.138	1063.846	2415.000	6786.000	5238.000
44750000	4804.452	1182.672	1818.000	7470.000	5058.000
45000000	5916.115	982.308	3803.000	8328.000	6084.000
45250000	5681.151	1418.879	2394.000	8316.000	5886.000
45500000	4524.533	806.648	2736.000	6426.000	4761.000
45750000	4625.072	1044.480	1341.000	6318.000	4734.000
46000000	6735.107	1198.220	2405.000	8453.000	7047.000
46250000	6115.813	1063.227	2907.000	8235.000	6444.000
46500000	5253.133	880.851	2154.000	6786.000	5373.000
46750000	7677.893	1161.483	5130.000	11268.000	7749.000
47000000	3820.800	1165.841	60.000	6282.000	3958.500
47250000	6198.154	1078.907	3222.000	7821.000	6399.000
47500000	3930.500	603.070	2430.000	5202.000	4027.500
47750000	4637.439	1089.238	2334.000	7605.000	4494.000
48000000	6298.697	949.145	3806.000	8156.000	6392.000
48250000	3969.034	703.045	1476.000	5481.000	4104.000
48500000	5153.680	1437.818	1731.000	9495.000	5117.500
48750000	5533.596	1126.801	2898.000	7362.000	5755.500
49000000	6069.062	1204.687	2601.000	8658.000	6270.000
49250000	6358.097	1238.763	1901.000	8372.000	6759.000
49500000	6511.091	946.950	4203.000	9666.000	6700.500
49750000	6703.736	696.197	4556.000	8478.000	6788.000
50000000	6562.793	1016.628	3699.000	8253.000	6939.000
