iteration	mean	std_dev	min	max	median
250000	-20.826	1.455	-21.000	-4.000	-21.000
500000	-17.968	1.894	-21.000	-13.000	-18.000
750000	-14.750	2.813	-20.000	-7.000	-15.000
1000000	-13.958	3.068	-21.000	-6.000	-14.000
1250000	-10.030	3.380	-15.000	-2.000	-10.000
1500000	-10.353	4.708	-20.000	6.000	-10.500
1750000	-5.057	5.409	-19.000	8.000	-5.000
2000000	0.826	3.130	-8.000	6.000	1.000
2250000	2.304	3.994	-4.000	9.000	3.000
2500000	1.727	5.160	-14.000	9.000	4.000
2750000	3.900	4.003	-5.000	9.000	4.500
3000000	10.303	2.887	3.000	15.000	11.000
3250000	11.442	3.223	4.000	17.000	12.000
3500000	12.333	2.246	8.000	18.000	12.000
3750000	18.629	1.428	15.000	21.000	19.000
4000000	18.919	1.406	15.000	21.000	19.000
4250000	19.323	1.217	16.000	21.000	19.000
4500000	18.734	1.593	11.000	21.000	19.000
4750000	12.500	2.619	5.000	19.000	12.000
5000000	19.552	1.428	15.000	21.000	20.000
5250000	19.403	1.247	16.000	21.000	20.000
5500000	19.409	1.206	16.000	21.000	20.000
5750000	19.455	1.170	15.000	21.000	20.000
6000000	19.154	1.361	16.000	21.000	19.000
6250000	19.826	1.167	16.000	21.000	20.000
6500000	19.394	1.179	16.000	21.000	20.000
6750000	19.493	1.189	16.000	21.000	20.000
7000000	19.182	1.906	7.000	21.000	19.000
7250000	19.652	1.174	17.000	21.000	20.000
7500000	19.561	1.089	17.000	21.000	20.000
7750000	19.254	1.226	17.000	21.000	19.000
8000000	20.101	0.919	18.000	21.000	20.000
8250000	19.567	1.508	12.000	21.000	20.000
8500000	19.868	1.187	17.000	21.000	20.000
8750000	18.953	1.595	13.000	21.000	19.000
9000000	19.559	1.205	16.000	21.000	20.000
9250000	19.471	1.529	11.000	21.000	20.000
9500000	19.735	1.171	14.000	21.000	20.000
9750000	19.412	1.375	16.000	21.000	20.000
10000000	20.000	1.042	17.000	21.000	20.000
10250000	20.188	1.146	16.000	21.000	21.000
10500000	19.559	1.205	16.000	21.000	20.000
10750000	18.708	1.411	14.000	21.000	19.000
11000000	19.676	1.156	16.000	21.000	20.000
11250000	19.559	1.459	12.000	21.000	20.000
11500000	19.250	1.333	15.000	21.000	20.000
11750000	19.841	1.124	17.000	21.000	20.000
12000000	19.385	1.433	16.000	21.000	20.000
12250000	19.412	1.364	15.000	21.000	19.500
12500000	19.886	1.165	15.000	21.000	20.000
12750000	19.676	1.322	15.000	21.000	20.000
13000000	19.471	1.710	10.000	21.000	20.000
13250000	19.826	1.129	16.000	21.000	20.000
13500000	19.609	1.406	15.000	21.000	20.000
13750000	19.632	1.338	15.000	21.000	20.000
14000000	20.000	1.056	17.000	21.000	20.000
14250000	19.853	1.167	16.000	21.000	20.000
14500000	20.057	0.939	16.000	21.000	20.000
14750000	19.843	1.009	16.000	21.000	20.000
15000000	19.943	1.120	16.000	21.000	20.000
15250000	19.859	1.225	15.000	21.000	20.000
15500000	18.841	1.691	14.000	21.000	19.000
15750000	19.700	1.060	17.000	21.000	20.000
16000000	19.319	1.565	12.000	21.000	20.000
16250000	19.899	1.065	17.000	21.000	20.000
16500000	19.771	0.988	17.000	21.000	20.000
16750000	19.588	1.629	13.000	21.000	20.000
17000000	20.186	0.975	16.000	21.000	20.000
17250000	19.873	1.125	16.000	21.000	20.000
17500000	19.217	1.371	15.000	21.000	19.000
17750000	19.786	1.297	14.000	21.000	20.000
18000000	19.700	1.356	14.000	21.000	20.000
18250000	19.343	1.311	15.000	21.000	19.000
18500000	19.059	1.653	12.000	21.000	19.000
18750000	19.732	0.934	17.000	21.000	20.000
19000000	19.771	1.221	15.000	21.000	20.000
19250000	19.471	1.349	16.000	21.000	20.000
19500000	19.045	1.821	14.000	21.000	20.000
19750000	19.471	1.118	17.000	21.000	19.500
20000000	19.426	1.287	16.000	21.000	20.000
20250000	19.768	1.206	16.000	21.000	20.000
20500000	19.500	1.360	14.000	21.000	20.000
20750000	19.565	1.123	17.000	21.000	20.000
21000000	19.714	1.209	16.000	21.000	20.000
21250000	19.571	1.141	16.000	21.000	20.000
21500000	18.841	3.888	-6.000	21.000	20.000
21750000	19.729	1.194	15.000	21.000	20.000
22000000	19.257	1.391	15.000	21.000	19.000
22250000	19.957	1.185	17.000	21.000	20.000
22500000	19.859	1.248	14.000	21.000	20.000
22750000	19.600	1.088	16.000	21.000	20.000
23000000	20.141	0.997	18.000	21.000	20.000
23250000	19.486	1.317	16.000	21.000	20.000
23500000	18.929	2.270	10.000	21.000	19.500
23750000	19.563	1.253	16.000	21.000	20.000
24000000	19.700	1.211	15.000	21.000	20.000
24250000	19.729	1.218	16.000	21.000	20.000
24500000	19.930	1.025	16.000	21.000	20.000
24750000	20.083	0.982	17.000	21.000	20.000
25000000	19.529	1.227	15.000	21.000	20.000
25250000	19.629	1.289	16.000	21.000	20.000
25500000	19.357	1.454	15.000	21.000	20.000
25750000	19.746	1.195	15.000	21.000	20.000
26000000	19.600	1.292	15.000	21.000	20.000
26250000	19.420	1.334	16.000	21.000	20.000
26500000	19.732	1.150	17.000	21.000	20.000
26750000	19.557	1.294	16.000	21.000	20.000
27000000	19.901	1.037	18.000	21.000	20.000
27250000	19.451	1.254	16.000	21.000	20.000
27500000	19.600	1.324	14.000	21.000	20.000
27750000	19.648	1.036	17.000	21.000	20.000
28000000	19.130	1.474	13.000	21.000	19.000
28250000	19.000	1.364	15.000	21.000	19.000
28500000	19.086	1.391	14.000	21.000	19.000
28750000	19.278	1.377	14.000	21.000	19.500
29000000	18.928	1.333	14.000	21.000	19.000
29250000	18.754	1.592	14.000	21.000	19.000
29500000	19.157	1.704	11.000	21.000	20.000
29750000	19.694	1.276	15.000	21.000	20.000
30000000	19.437	1.319	15.000	21.000	20.000
30250000	19.507	1.232	17.000	21.000	20.000
30500000	19.514	1.167	17.000	21.000	20.000
30750000	19.557	1.051	17.000	21.000	20.000
31000000	18.783	1.392	14.000	21.000	19.000
31250000	19.423	1.318	16.000	21.000	20.000
31500000	19.071	1.417	15.000	21.000	19.000
31750000	18.986	1.429	16.000	21.000	19.000
32000000	19.542	1.166	16.000	21.000	20.000
32250000	19.408	1.274	16.000	21.000	20.000
32500000	19.310	1.296	16.000	21.000	19.000
32750000	19.186	1.387	14.000	21.000	19.000
33000000	19.479	1.243	17.000	21.000	20.000
33250000	18.333	3.378	4.000	21.000	19.000
33500000	19.549	1.442	15.000	21.000	20.000
33750000	19.451	1.231	16.000	21.000	20.000
34000000	19.028	1.414	15.000	21.000	19.000
34250000	19.549	1.319	16.000	21.000	20.000
34500000	19.394	1.552	16.000	21.000	20.000
34750000	19.042	1.317	15.000	21.000	19.000
35000000	19.972	0.928	17.000	21.000	20.000
35250000	19.806	1.114	14.000	21.000	20.000
35500000	19.500	1.130	17.000	21.000	20.000
35750000	19.127	1.491	14.000	21.000	19.000
36000000	19.014	1.295	15.000	21.000	19.000
36250000	19.214	1.275	15.000	21.000	19.000
36500000	19.043	1.637	13.000	21.000	19.000
36750000	19.271	1.423	15.000	21.000	19.000
37000000	19.486	1.118	17.000	21.000	20.000
37250000	19.278	1.315	16.000	21.000	19.000
37500000	19.625	1.098	17.000	21.000	20.000
37750000	19.169	1.510	13.000	21.000	19.000
38000000	19.306	1.186	17.000	21.000	19.000
38250000	19.357	1.277	16.000	21.000	20.000
38500000	19.169	1.245	16.000	21.000	19.000
38750000	19.296	1.368	14.000	21.000	20.000
39000000	19.556	1.301	16.000	21.000	20.000
39250000	19.183	1.513	14.000	21.000	19.000
39500000	19.141	1.485	16.000	21.000	19.000
39750000	19.352	1.176	16.000	21.000	20.000
40000000	19.521	1.220	16.000	21.000	20.000
40250000	19.271	1.362	16.000	21.000	19.000
40500000	19.042	1.438	15.000	21.000	19.000
40750000	19.338	1.463	16.000	21.000	19.000
41000000	19.389	1.161	16.000	21.000	20.000
41250000	18.845	1.488	15.000	21.000	19.000
41500000	19.254	1.340	15.000	21.000	19.000
41750000	19.577	1.544	10.000	21.000	20.000
42000000	19.236	1.505	15.000	21.000	20.000
42250000	19.296	1.293	16.000	21.000	19.000
42500000	19.183	1.639	14.000	21.000	20.000
42750000	18.958	1.409	13.000	21.000	19.000
43000000	19.361	1.397	15.000	21.000	20.000
43250000	19.319	1.517	14.000	21.000	20.000
43500000	18.786	1.576	14.000	21.000	19.000
43750000	19.347	1.303	17.000	21.000	19.500
44000000	19.521	1.309	15.000	21.000	20.000
44250000	19.155	1.360	13.000	21.000	19.000
44500000	19.183	1.541	15.000	21.000	19.000
44750000	19.352	1.483	15.000	21.000	20.000
45000000	19.069	1.417	15.000	21.000	19.000
45250000	19.528	1.213	16.000	21.000	20.000
45500000	19.408	1.449	14.000	21.000	20.000
45750000	19.338	1.394	15.000	21.000	20.000
46000000	19.500	1.302	14.000	21.000	20.000
46250000	19.183	1.779	10.000	21.000	19.000
46500000	19.333	1.236	16.000	21.000	19.500
46750000	19.500	1.093	17.000	21.000	20.000
47000000	19.100	1.456	15.000	21.000	19.000
47250000	19.431	1.211	16.000	21.000	20.000
47500000	19.042	1.814	14.000	21.000	20.000
47750000	19.085	1.499	14.000	21.000	19.000
48000000	19.070	1.586	13.000	21.000	19.000
48250000	19.028	2.089	10.000	21.000	20.000
48500000	19.169	1.363	15.000	21.000	19.000
48750000	19.479	1.218	16.000	21.000	20.000
49000000	19.500	1.434	15.000	21.000	20.000
49250000	19.282	1.235	16.000	21.000	19.000
49500000	19.493	1.197	17.000	21.000	20.000
49750000	19.257	1.546	14.000	21.000	19.000
50000000	19.444	1.471	15.000	21.000	20.000
