iteration	mean	std_dev	min	max	median
250000	1.034	1.751	0.000	9.000	0.000
500000	36.333	32.964	0.000	113.000	29.000
750000	0.904	1.143	0.000	5.000	1.000
1000000	87.780	38.641	19.000	162.000	82.000
1250000	185.952	17.108	112.000	225.000	186.500
1500000	174.417	29.594	40.000	211.000	180.500
1750000	181.109	35.388	35.000	249.000	187.000
2000000	176.082	55.734	20.000	334.000	181.000
2250000	135.755	78.953	21.000	375.000	128.000
2500000	58.630	29.832	0.000	140.000	48.000
2750000	30.480	10.297	0.000	64.000	31.000
3000000	31.065	15.395	2.000	114.000	29.000
3250000	16.545	15.980	0.000	96.000	11.000
3500000	36.636	6.701	23.000	91.000	36.000
3750000	69.620	33.261	28.000	152.000	61.000
4000000	55.249	23.191	1.000	139.000	55.000
4250000	11.031	20.473	0.000	89.000	3.000
4500000	58.259	25.161	12.000	133.000	60.000
4750000	63.800	53.801	6.000	142.000	30.000
5000000	46.981	32.511	0.000	143.000	39.000
5250000	40.631	13.790	15.000	125.000	39.000
5500000	24.573	19.485	1.000	128.000	16.000
5750000	49.492	20.657	21.000	148.000	43.000
6000000	72.108	28.782	28.000	146.000	70.500
6250000	88.521	41.969	30.000	203.000	79.000
6500000	54.753	34.785	1.000	141.000	40.000
6750000	74.151	36.521	35.000	208.000	62.000
7000000	39.250	19.948	26.000	89.000	30.500
7250000	100.600	75.418	26.000	231.000	62.000
7500000	86.880	45.079	14.000	193.000	86.000
7750000	45.077	28.743	22.000	117.000	31.500
8000000	33.875	13.195	23.000	65.000	28.500
8250000	91.769	64.091	0.000	188.000	108.000
8500000	81.455	40.400	24.000	177.000	77.500
8750000	72.326	47.512	23.000	208.000	53.000
9000000	2.000	0.000	2.000	2.000	2.000
9250000	144.375	71.125	38.000	282.000	131.000
9500000	160.222	50.789	79.000	240.000	162.000
9750000	53.933	39.353	0.000	233.000	36.000
10000000	163.400	62.027	42.000	313.000	176.000
10250000	81.680	34.314	31.000	137.000	84.000
10500000	46.731	41.503	1.000	254.000	33.000
10750000	76.935	39.665	22.000	218.000	64.000
11000000	153.556	68.074	49.000	216.000	182.000
11250000	102.861	54.920	27.000	277.000	90.500
11500000	144.652	71.010	30.000	244.000	167.000
11750000	159.812	63.962	24.000	279.000	153.500
12000000	156.692	71.859	39.000	308.000	158.000
12250000	99.250	55.373	37.000	180.000	92.000
12500000	134.833	77.980	31.000	270.000	151.500
12750000	154.621	56.636	63.000	298.000	146.500
13000000	216.000	17.000	199.000	233.000	216.000
13250000	123.459	64.070	36.000	245.000	132.000
13500000	133.000	99.000	34.000	232.000	133.000
13750000	99.391	49.439	1.000	200.000	101.000
14000000	90.000	66.000	24.000	156.000	90.000
14250000	92.889	55.659	21.000	200.000	109.000
14500000	123.000	0.000	123.000	123.000	123.000
14750000	51.185	54.403	0.000	145.000	24.000
15000000	163.891	53.590	37.000	254.000	171.000
15250000	88.467	68.164	22.000	235.000	58.000
15500000	44.955	26.621	3.000	107.000	46.500
15750000	189.500	53.723	91.000	284.000	183.000
16000000	156.500	72.476	25.000	290.000	166.500
16250000	106.602	75.321	0.000	263.000	90.000
16500000	144.868	75.525	9.000	290.000	159.500
16750000	134.231	27.538	79.000	171.000	137.000
17000000	104.707	61.012	6.000	239.000	102.000
17250000	116.719	65.239	25.000	269.000	112.000
17500000	75.094	66.289	10.000	303.000	52.500
17750000	123.429	66.756	12.000	241.000	127.500
18000000	130.924	67.724	33.000	271.000	135.000
18250000	83.833	68.499	2.000	198.000	72.500
18500000	153.192	55.952	45.000	244.000	155.000
18750000	112.500	55.779	41.000	205.000	122.000
19000000	116.295	58.066	27.000	259.000	117.000
19250000	67.000	43.458	22.000	219.000	42.000
19500000	72.836	49.867	0.000	231.000	58.000
19750000	44.847	58.061	0.000	267.000	13.000
20000000	242.000	0.000	242.000	242.000	242.000
20250000	141.655	72.944	31.000	266.000	148.000
20500000	186.100	30.343	135.000	228.000	191.000
20750000	151.250	81.288	28.000	265.000	166.500
21000000	117.396	66.439	0.000	251.000	124.000
21250000	159.000	0.000	159.000	159.000	159.000
21500000	84.562	68.600	1.000	231.000	90.500
21750000	100.552	64.321	1.000	231.000	108.000
22000000	79.615	66.722	0.000	198.000	94.000
22250000	58.562	29.080	1.000	122.000	45.500
22500000	48.021	33.928	0.000	191.000	41.000
22750000	50.695	38.890	1.000	208.000	33.000
23000000	94.737	53.615	12.000	183.000	108.000
23250000	65.909	59.399	11.000	192.000	40.000
23500000	41.577	54.869	0.000	251.000	10.000
23750000	40.250	49.132	0.000	159.000	14.000
24000000	70.105	54.095	1.000	231.000	50.500
24250000	38.851	48.122	0.000	190.000	18.500
24500000	136.875	52.127	51.000	249.000	131.000
24750000	106.452	60.774	35.000	257.000	72.000
25000000	115.158	67.103	42.000	246.000	76.000
25250000	80.054	44.692	24.000	189.000	73.500
25500000	39.800	29.822	21.000	104.000	27.000
25750000	40.162	44.154	0.000	197.000	25.000
26000000	53.145	35.034	0.000	159.000	40.500
26250000	91.416	58.920	22.000	303.000	64.000
26500000	161.643	67.102	27.000	257.000	177.000
26750000	73.188	65.723	3.000	176.000	50.500
27000000	106.643	62.870	8.000	229.000	96.000
27250000	92.686	45.128	12.000	223.000	94.000
27500000	24.300	16.695	1.000	58.000	26.000
27750000	76.583	35.031	3.000	198.000	73.000
28000000	98.842	66.051	25.000	209.000	70.000
28250000	122.778	67.254	5.000	235.000	119.000
28500000	130.500	71.902	16.000	204.000	166.000
28750000	107.471	51.071	36.000	202.000	100.000
29000000	20.071	38.946	0.000	190.000	5.500
29250000	114.929	38.575	56.000	173.000	116.000
29500000	28.842	21.452	0.000	125.000	24.000
29750000	68.038	46.362	0.000	218.000	69.000
30000000	95.802	74.741	1.000	249.000	98.500
30250000	146.793	64.552	39.000	245.000	159.000
30500000	98.468	59.712	7.000	241.000	102.000
30750000	112.680	81.551	0.000	231.000	114.000
31000000	79.734	49.297	22.000	219.000	68.000
31250000	22.019	31.560	0.000	200.000	8.000
