iteration	mean	std_dev	min	max	median
50000	481.333	331.247	80.000	1350.000	370.000
100000	759.333	290.791	240.000	1370.000	680.000
150000	775.667	374.243	280.000	1730.000	755.000
200000	840.667	364.837	330.000	1540.000	680.000
250000	875.333	374.751	260.000	1580.000	830.000
300000	1057.333	465.159	140.000	2250.000	1080.000
350000	836.667	378.280	160.000	1530.000	770.000
400000	841.333	376.773	380.000	1790.000	755.000
450000	978.333	407.595	330.000	1760.000	955.000
500000	840.667	471.465	160.000	2130.000	680.000
550000	968.000	543.418	160.000	2750.000	905.000
600000	810.000	389.281	140.000	1460.000	730.000
650000	997.667	553.153	160.000	2650.000	1105.000
700000	1066.333	456.454	260.000	2250.000	1030.000
750000	1042.333	328.235	380.000	1830.000	1055.000
800000	742.333	336.449	280.000	1610.000	680.000
850000	1011.000	464.839	280.000	2450.000	1030.000
900000	967.667	351.223	330.000	1580.000	980.000
950000	995.333	392.800	310.000	1580.000	1030.000
1000000	944.667	383.369	260.000	1800.000	880.000
1050000	1015.000	439.907	280.000	1830.000	1180.000
1100000	961.667	382.004	330.000	2080.000	980.000
1150000	1068.333	376.564	430.000	1960.000	1030.000
1200000	1029.000	403.826	210.000	1700.000	1105.000
1250000	935.000	359.757	330.000	1680.000	855.000
1300000	1026.000	362.883	280.000	1830.000	1055.000
1350000	1134.667	395.801	310.000	2000.000	1280.000
1400000	1078.333	397.023	480.000	2000.000	1055.000
1450000	1014.667	515.724	210.000	2080.000	830.000
1500000	956.667	340.199	330.000	1730.000	905.000
1550000	1040.333	416.521	260.000	1630.000	1105.000
1600000	1059.000	390.686	460.000	1950.000	955.000
1650000	1100.333	411.691	280.000	1950.000	1180.000
1700000	995.667	479.296	180.000	2100.000	1180.000
1750000	1089.333	451.752	180.000	2350.000	1180.000
1800000	987.667	519.671	310.000	2650.000	955.000
1850000	1073.333	477.189	310.000	2150.000	1130.000
1900000	1103.000	430.094	380.000	2150.000	1105.000
1950000	959.667	418.589	380.000	1950.000	830.000
2000000	1181.333	505.844	330.000	2700.000	1230.000
2050000	987.333	368.781	330.000	1860.000	880.000
2100000	988.000	484.929	230.000	1980.000	930.000
2150000	1005.667	430.710	230.000	1730.000	1030.000
2200000	1135.667	436.201	140.000	2100.000	1130.000
2250000	1224.000	427.228	480.000	2550.000	1180.000
2300000	1141.333	377.207	380.000	1800.000	1280.000
2350000	1139.000	482.669	330.000	2400.000	1240.000
2400000	1006.000	436.009	280.000	1930.000	980.000
2450000	1234.333	374.011	460.000	1830.000	1300.000
2500000	1110.667	371.420	230.000	1880.000	1180.000
2550000	1093.333	398.550	230.000	2100.000	1080.000
2600000	989.000	457.211	310.000	1900.000	955.000
2650000	1003.333	455.700	280.000	2150.000	1105.000
2700000	1077.000	406.900	380.000	2200.000	980.000
2750000	1085.000	502.366	310.000	2450.000	1005.000
2800000	1036.667	441.779	330.000	1830.000	1080.000
2850000	854.000	417.433	180.000	1840.000	855.000
