iteration	mean	std_dev	min	max	median
50000	349.067	293.070	0.000	948.000	308.000
100000	408.667	201.708	88.000	996.000	396.000
150000	334.400	135.188	88.000	572.000	308.000
200000	372.533	140.861	44.000	616.000	374.000
250000	391.600	128.205	132.000	660.000	352.000
300000	300.667	133.015	132.000	616.000	286.000
350000	390.133	142.229	44.000	616.000	418.000
400000	472.400	181.315	220.000	996.000	462.000
450000	504.000	165.170	264.000	804.000	572.000
500000	403.333	156.631	88.000	660.000	440.000
550000	403.867	152.726	220.000	852.000	396.000
600000	529.867	231.205	132.000	1044.000	506.000
650000	595.200	240.542	308.000	1484.000	550.000
700000	570.800	214.272	176.000	1140.000	616.000
750000	547.733	228.185	176.000	1188.000	550.000
800000	597.600	209.440	176.000	1140.000	660.000
850000	614.933	253.096	220.000	1236.000	660.000
900000	696.267	205.739	396.000	1332.000	660.000
950000	730.800	277.490	264.000	1900.000	660.000
1000000	673.467	235.195	308.000	1380.000	616.000
1050000	667.467	233.105	176.000	1188.000	660.000
1100000	766.133	216.007	308.000	1284.000	780.000
1150000	674.400	235.121	176.000	1140.000	660.000
1200000	780.667	295.634	132.000	1380.000	660.000
1250000	821.067	268.606	396.000	1284.000	804.000
1300000	733.200	248.979	308.000	1588.000	660.000
1350000	740.933	227.821	440.000	1432.000	660.000
1400000	743.733	264.750	220.000	1484.000	708.000
1450000	796.533	272.955	308.000	1432.000	708.000
1500000	825.067	246.260	352.000	1380.000	756.000
1550000	798.933	276.961	308.000	1380.000	708.000
1600000	874.133	313.131	352.000	1692.000	756.000
1650000	786.667	286.242	176.000	1332.000	780.000
1700000	699.200	252.407	220.000	1140.000	660.000
1750000	857.867	412.112	264.000	2748.000	708.000
1800000	627.467	176.048	264.000	996.000	660.000
1850000	765.467	268.226	264.000	1380.000	708.000
1900000	834.800	323.440	220.000	1484.000	804.000
1950000	736.533	224.936	132.000	1236.000	708.000
2000000	719.067	297.753	264.000	1432.000	660.000
2050000	810.133	226.297	396.000	1380.000	708.000
2100000	754.000	254.855	264.000	1284.000	684.000
2150000	699.467	194.875	264.000	1236.000	660.000
2200000	732.133	247.098	264.000	1188.000	804.000
2250000	726.133	248.135	220.000	1284.000	660.000
2300000	762.933	242.370	264.000	1332.000	708.000
2350000	779.733	233.955	176.000	1284.000	708.000
2400000	801.467	270.568	264.000	1332.000	780.000
