iteration	mean	std_dev	min	max	median
50000	2325.400	1329.602	654.000	5602.000	2275.000
100000	1687.000	735.742	702.000	3101.000	1648.500
150000	1575.300	951.565	384.000	4093.000	1577.000
200000	2095.600	1489.631	532.000	6136.000	1852.000
250000	2714.200	2401.870	396.000	9154.000	2207.500
300000	1706.800	1220.183	339.000	4273.000	1469.000
350000	2149.200	1554.941	235.000	5299.000	1595.500
400000	1838.000	926.025	516.000	3607.000	1776.000
450000	1937.400	850.560	699.000	3433.000	2199.500
500000	2706.300	1358.494	750.000	4554.000	2528.000
550000	2050.400	1166.054	554.000	4159.000	2046.500
600000	1251.600	783.574	321.000	3007.000	1229.500
650000	2519.000	1620.743	978.000	6887.000	2100.000
700000	2125.600	1099.255	796.000	4390.000	1922.500
750000	2418.300	1439.552	784.000	4852.000	1847.000
800000	2943.400	1567.039	609.000	6924.000	2742.000
850000	2151.200	1090.295	464.000	4514.000	2063.000
900000	1703.000	948.729	365.000	3915.000	1406.000
950000	1680.400	806.610	676.000	2859.000	1418.000
1000000	2727.800	1633.554	790.000	5304.000	2755.500
1050000	2229.000	1111.877	913.000	3971.000	1956.000
1100000	2627.800	1242.222	1098.000	5001.000	2245.500
1150000	2159.600	1451.859	557.000	5139.000	1741.500
1200000	2752.300	892.386	1430.000	4482.000	2908.500
1250000	2485.400	1002.367	1304.000	4431.000	2492.000
1300000	2445.100	1199.171	887.000	4701.000	2009.000
1350000	2880.700	1275.182	1000.000	5058.000	2917.500
1400000	1495.500	496.794	555.000	2291.000	1572.000
1450000	2005.600	853.588	576.000	3277.000	2066.500
1500000	2109.400	928.136	658.000	3600.000	2413.000
1550000	2382.900	1521.245	593.000	5186.000	1795.000
1600000	2345.400	999.893	1203.000	4395.000	1994.500
1650000	2047.100	622.691	1305.000	3730.000	1831.000
1700000	3110.300	1367.284	1494.000	5550.000	2534.000
1750000	1704.000	1024.148	452.000	3618.000	1245.500
1800000	2617.200	773.157	1072.000	3933.000	2762.000
1850000	2288.000	1158.994	557.000	4372.000	2327.000
1900000	2065.300	961.936	560.000	3697.000	2237.500
1950000	2612.200	2494.447	369.000	8779.000	1831.500
2000000	3009.100	1486.465	1231.000	6319.000	2876.000
2050000	2056.700	1156.022	409.000	4867.000	1882.000
2100000	2862.900	671.280	2174.000	4596.000	2782.000
2150000	2837.500	871.756	1696.000	4497.000	2485.000
2200000	2623.000	878.013	1366.000	4052.000	2595.500
2250000	2948.400	1003.584	1709.000	4825.000	2662.500
2300000	2654.700	1197.935	936.000	4708.000	2444.000
2350000	3207.200	1624.232	892.000	5746.000	3063.500
2400000	2186.700	972.547	467.000	3702.000	2009.000
2450000	2700.800	912.367	1291.000	4151.000	2658.500
2500000	1743.400	673.301	685.000	3067.000	1747.500
2550000	2577.100	1131.103	672.000	4089.000	2973.000
2600000	2428.100	1506.839	857.000	6386.000	1994.500
2650000	2760.200	829.887	1299.000	4075.000	2706.500
2700000	2105.800	669.182	954.000	2918.000	2048.500
2750000	3247.000	1501.008	1139.000	6181.000	3266.000
2800000	2814.000	899.649	1301.000	4222.000	2849.000
2850000	2032.400	646.205	1080.000	3196.000	1955.000
