iteration	mean	std_dev	min	max	median
50000	2314.100	1142.760	446.000	4209.000	2480.000
100000	3218.700	2086.855	625.000	7314.000	2668.500
150000	2138.900	1337.614	642.000	4913.000	2004.500
200000	1897.300	722.657	392.000	3013.000	1781.000
250000	1710.300	633.204	673.000	2391.000	1973.500
300000	2047.700	1164.822	372.000	3815.000	1919.000
350000	2162.400	1094.046	439.000	4743.000	2070.500
400000	1712.100	1050.607	331.000	3743.000	2076.500
450000	2056.400	914.193	449.000	3142.000	2134.500
500000	3193.000	1295.430	1329.000	4912.000	2694.000
550000	2321.600	1324.967	396.000	4929.000	2417.000
600000	2457.100	1304.800	1108.000	5689.000	2128.500
650000	2659.900	1203.051	801.000	5043.000	2701.500
700000	2207.600	1224.887	779.000	5100.000	1901.000
750000	2271.100	1282.602	767.000	5350.000	1983.000
800000	2306.900	1088.718	699.000	4738.000	2161.500
850000	2490.900	1258.723	391.000	4708.000	2188.500
900000	2494.700	734.217	1204.000	3529.000	2623.000
950000	2199.800	1271.395	356.000	4847.000	2035.500
1000000	2885.000	1230.645	470.000	4900.000	2838.500
1050000	2151.800	1623.491	560.000	4736.000	1290.000
1100000	2001.100	931.892	784.000	4249.000	1714.500
1150000	1766.200	841.634	912.000	3879.000	1531.000
1200000	2067.400	802.565	991.000	3855.000	2029.500
1250000	2252.000	877.158	1256.000	4019.000	1889.500
1300000	2617.200	594.503	1282.000	3346.000	2775.500
1350000	2676.000	1099.203	1168.000	4455.000	2611.500
1400000	3008.100	1740.444	932.000	6903.000	2623.500
1450000	3175.500	968.483	1479.000	4660.000	3048.000
1500000	2234.900	940.379	583.000	3531.000	2302.500
1550000	2630.200	1063.817	1404.000	4408.000	2355.000
1600000	2629.700	661.253	1352.000	3494.000	2785.500
1650000	2413.600	1683.462	918.000	6505.000	2019.000
1700000	3286.600	1458.627	1251.000	5957.000	3582.000
1750000	2517.100	973.637	1135.000	4164.000	2324.500
1800000	1962.800	915.923	320.000	3561.000	2061.000
1850000	2728.300	1283.640	1407.000	5260.000	2141.000
1900000	2604.400	1174.524	890.000	4868.000	2502.000
1950000	2211.400	1176.184	800.000	4228.000	1878.500
2000000	3085.400	1594.616	1050.000	5848.000	3204.500
2050000	2490.900	698.524	1285.000	3408.000	2607.500
2100000	2399.100	918.557	1178.000	3859.000	2711.500
2150000	3077.000	3143.857	750.000	12336.000	2222.500
2200000	3260.200	822.652	1373.000	4663.000	3249.500
2250000	3167.100	1245.013	1706.000	5474.000	2802.000
2300000	3324.000	1136.464	1986.000	5150.000	3007.000
2350000	2881.200	1030.386	1613.000	4447.000	3006.000
2400000	2981.800	1452.643	1702.000	5692.000	2274.500
2450000	3162.200	851.219	2283.000	5209.000	2982.000
2500000	2732.900	1140.121	1109.000	4997.000	2459.000
2550000	2838.900	1181.508	888.000	4478.000	2842.000
