iteration	mean	std_dev	min	max	median
50000	266.667	134.990	100.000	600.000	300.000
100000	916.667	323.608	300.000	2100.000	900.000
150000	673.333	306.522	200.000	1400.000	600.000
200000	676.667	264.176	300.000	1500.000	600.000
250000	496.667	176.037	100.000	900.000	500.000
300000	476.667	251.241	100.000	1300.000	450.000
350000	600.000	212.916	200.000	1100.000	600.000
400000	693.333	247.566	200.000	1200.000	700.000
450000	460.000	225.979	0.000	1000.000	500.000
500000	536.667	258.822	100.000	1100.000	500.000
550000	596.667	231.637	100.000	1100.000	650.000
600000	570.000	314.272	0.000	1400.000	600.000
650000	666.667	324.893	0.000	1400.000	600.000
700000	530.000	254.493	0.000	1000.000	500.000
750000	843.333	289.463	400.000	1500.000	800.000
800000	650.000	250.000	0.000	1200.000	600.000
850000	896.667	347.835	400.000	1700.000	800.000
900000	706.667	275.600	300.000	1600.000	600.000
950000	943.333	402.230	200.000	2400.000	900.000
1000000	860.000	465.188	200.000	2300.000	800.000
1050000	843.333	472.358	300.000	2800.000	700.000
1100000	673.333	308.689	100.000	1500.000	600.000
1150000	823.333	325.252	400.000	1600.000	700.000
1200000	753.333	252.631	300.000	1300.000	700.000
1250000	796.667	316.737	200.000	1300.000	800.000
1300000	723.333	239.003	0.000	1200.000	700.000
1350000	783.333	304.503	200.000	1300.000	750.000
1400000	786.667	278.966	300.000	1600.000	700.000
1450000	740.000	224.499	400.000	1200.000	700.000
1500000	803.333	310.358	400.000	1700.000	700.000
1550000	790.000	395.264	200.000	2300.000	700.000
1600000	726.667	278.009	200.000	1200.000	700.000
1650000	763.333	321.956	100.000	1400.000	700.000
1700000	886.667	239.072	500.000	1600.000	800.000
1750000	800.000	219.089	300.000	1200.000	800.000
1800000	723.333	237.604	200.000	1100.000	700.000
1850000	880.000	270.062	400.000	1600.000	900.000
1900000	803.333	267.686	400.000	1400.000	800.000
1950000	713.333	298.589	300.000	1300.000	700.000
2000000	896.667	325.047	400.000	1700.000	800.000
2050000	826.667	328.566	400.000	1800.000	700.000
2100000	703.333	299.425	200.000	1400.000	700.000
2150000	966.667	439.191	200.000	2600.000	850.000
2200000	813.333	202.868	400.000	1200.000	800.000
2250000	686.667	269.238	100.000	1400.000	650.000
2300000	756.667	381.823	300.000	2100.000	700.000
2350000	733.333	290.211	300.000	1400.000	700.000
2400000	930.000	333.816	400.000	1700.000	900.000
2450000	920.000	495.580	500.000	3100.000	750.000
2500000	883.333	430.568	300.000	2300.000	800.000
2550000	900.000	373.274	300.000	2100.000	900.000
2600000	760.000	296.198	200.000	1500.000	600.000
2650000	976.667	428.706	500.000	2600.000	900.000
2700000	903.333	347.835	400.000	2000.000	800.000
2750000	903.333	279.861	400.000	1600.000	900.000
2800000	903.333	354.479	200.000	1700.000	950.000
2850000	933.333	364.539	400.000	2300.000	800.000
2900000	986.667	365.817	300.000	1900.000	1000.000
2950000	756.667	251.241	300.000	1500.000	700.000
3000000	896.667	397.059	400.000	2300.000	850.000
3050000	830.000	312.143	400.000	1600.000	700.000
3100000	796.667	270.165	200.000	1500.000	700.000
3150000	763.333	302.747	300.000	1800.000	700.000
3200000	800.000	270.801	300.000	1300.000	800.000
3250000	713.333	248.641	400.000	1300.000	650.000
3300000	856.667	313.776	300.000	1500.000	850.000
3350000	853.333	305.214	300.000	1600.000	800.000
3400000	766.667	216.538	500.000	1400.000	700.000
3450000	763.333	252.301	200.000	1300.000	800.000
3500000	753.333	358.453	200.000	1600.000	700.000
3550000	710.000	259.936	200.000	1300.000	700.000
3600000	813.333	291.814	400.000	1500.000	700.000
3650000	793.333	236.549	400.000	1300.000	750.000
3700000	760.000	303.974	400.000	1500.000	700.000
3750000	1036.667	467.962	400.000	2200.000	900.000
3800000	853.333	241.845	500.000	1300.000	800.000
3850000	1006.667	425.780	400.000	2400.000	1050.000
3900000	940.000	371.124	400.000	2200.000	850.000
3950000	886.667	292.954	400.000	1500.000	900.000
4000000	863.333	291.529	400.000	1600.000	800.000
4050000	760.000	346.987	300.000	1500.000	650.000
4100000	943.333	312.712	400.000	1500.000	950.000
4150000	1003.333	438.546	500.000	2400.000	950.000
4200000	980.000	412.634	400.000	2200.000	900.000
4250000	890.000	315.542	200.000	1500.000	800.000
4300000	623.333	262.911	200.000	1400.000	600.000
4350000	776.667	270.411	200.000	1300.000	800.000
4400000	890.000	325.935	500.000	1600.000	800.000
4450000	846.667	308.473	400.000	1600.000	800.000
4500000	923.333	446.978	400.000	2900.000	800.000
4550000	743.333	297.415	100.000	1500.000	750.000
4600000	860.000	245.764	300.000	1500.000	900.000
4650000	710.000	237.136	300.000	1200.000	700.000
4700000	773.333	217.460	400.000	1500.000	800.000
4750000	733.333	277.288	300.000	1600.000	700.000
4800000	856.667	267.934	300.000	1400.000	900.000
4850000	796.667	235.914	400.000	1300.000	750.000
4900000	823.333	321.126	300.000	1600.000	800.000
4950000	746.667	229.105	300.000	1400.000	700.000
5000000	730.000	257.099	400.000	1300.000	700.000
5050000	783.333	280.575	300.000	1400.000	700.000
5100000	676.667	307.336	200.000	1600.000	650.000
5150000	683.333	253.092	200.000	1200.000	600.000
5200000	756.667	296.292	300.000	1500.000	700.000
5250000	763.333	298.310	200.000	1700.000	700.000
5300000	720.000	185.113	400.000	1100.000	700.000
5350000	776.667	271.641	300.000	1400.000	800.000
5400000	856.667	307.336	300.000	1600.000	800.000
5450000	786.667	270.473	300.000	1300.000	800.000
5500000	860.000	328.228	300.000	1600.000	850.000
5550000	880.000	302.655	400.000	1700.000	800.000
5600000	973.333	358.639	300.000	1800.000	950.000
5650000	910.000	360.879	400.000	2100.000	900.000
5700000	760.000	275.197	300.000	1600.000	700.000
5750000	666.667	237.112	100.000	1100.000	600.000
5800000	836.667	335.145	300.000	2000.000	800.000
5850000	840.000	245.764	400.000	1400.000	800.000
5900000	866.667	241.293	400.000	1500.000	800.000
5950000	856.667	278.907	300.000	1600.000	800.000
6000000	746.667	283.706	400.000	1400.000	650.000
6050000	853.333	277.769	300.000	1500.000	800.000
6100000	836.667	276.265	300.000	1600.000	850.000
6150000	813.333	280.159	400.000	1500.000	750.000
6200000	873.333	367.816	300.000	1700.000	800.000
6250000	860.000	290.517	300.000	1400.000	850.000
6300000	923.333	325.252	400.000	2000.000	900.000
6350000	933.333	367.272	300.000	2300.000	950.000
6400000	736.667	260.107	300.000	1300.000	700.000
6450000	880.000	355.340	200.000	1700.000	850.000
6500000	810.000	287.924	400.000	1500.000	700.000
6550000	780.000	317.700	200.000	1400.000	700.000
6600000	786.667	321.178	200.000	1700.000	800.000
6650000	826.667	271.948	400.000	1400.000	800.000
6700000	800.000	320.416	300.000	1600.000	750.000
6750000	826.667	243.493	300.000	1500.000	800.000
6800000	826.667	273.171	500.000	1600.000	800.000
6850000	680.000	291.433	300.000	1500.000	600.000
6900000	843.333	292.897	300.000	1500.000	800.000
6950000	866.667	310.197	200.000	1300.000	900.000
7000000	833.333	285.579	400.000	1600.000	800.000
7050000	863.333	373.705	300.000	2000.000	800.000
7100000	906.667	327.550	200.000	1700.000	900.000
7150000	836.667	301.644	300.000	1500.000	800.000
7200000	853.333	379.239	500.000	2300.000	700.000
7250000	740.000	255.082	200.000	1300.000	800.000
7300000	830.000	355.106	400.000	2300.000	800.000
7350000	806.667	263.228	500.000	1600.000	750.000
7400000	770.000	238.258	400.000	1300.000	700.000
7450000	760.000	212.289	500.000	1300.000	700.000
7500000	650.000	194.508	300.000	1100.000	600.000
7550000	726.667	227.938	300.000	1300.000	700.000
7600000	793.333	292.043	300.000	1500.000	800.000
7650000	770.000	333.816	200.000	1600.000	700.000
7700000	893.333	424.997	300.000	2500.000	850.000
