iteration	mean	std_dev	min	max	median
50000	360.000	120.000	200.000	600.000	350.000
100000	920.000	362.767	300.000	1500.000	950.000
150000	820.000	357.211	300.000	1400.000	800.000
200000	770.000	352.278	300.000	1500.000	700.000
250000	600.000	167.332	400.000	900.000	600.000
300000	670.000	279.464	100.000	1300.000	600.000
350000	730.000	223.830	500.000	1100.000	650.000
400000	680.000	244.131	200.000	1000.000	650.000
450000	520.000	107.703	300.000	700.000	500.000
500000	350.000	128.452	200.000	600.000	350.000
550000	650.000	196.214	400.000	1100.000	650.000
600000	470.000	205.183	100.000	800.000	500.000
650000	560.000	111.355	400.000	700.000	550.000
700000	280.000	183.303	0.000	500.000	250.000
750000	920.000	302.655	600.000	1500.000	850.000
800000	500.000	236.643	0.000	1000.000	500.000
850000	970.000	368.917	600.000	1700.000	800.000
900000	500.000	89.443	300.000	600.000	500.000
950000	1180.000	444.522	800.000	2400.000	1050.000
1000000	1100.000	458.258	500.000	2300.000	1050.000
1050000	850.000	671.193	500.000	2800.000	600.000
1100000	850.000	276.586	500.000	1500.000	750.000
1150000	1040.000	377.359	400.000	1600.000	1050.000
1200000	850.000	210.950	500.000	1100.000	850.000
1250000	650.000	257.876	300.000	1100.000	700.000
1300000	770.000	272.213	400.000	1200.000	650.000
1350000	880.000	292.575	300.000	1300.000	850.000
1400000	890.000	211.896	500.000	1200.000	900.000
1450000	740.000	195.959	500.000	1100.000	800.000
1500000	960.000	366.606	500.000	1700.000	900.000
1550000	1020.000	507.543	500.000	2300.000	1000.000
1600000	640.000	280.000	200.000	1100.000	600.000
1650000	720.000	334.066	300.000	1400.000	650.000
1700000	920.000	213.542	600.000	1300.000	950.000
1750000	730.000	161.555	500.000	1000.000	700.000
1800000	820.000	244.131	400.000	1100.000	900.000
1850000	840.000	190.788	400.000	1100.000	900.000
1900000	620.000	153.623	400.000	800.000	650.000
1950000	830.000	286.531	400.000	1300.000	750.000
2000000	980.000	348.712	600.000	1700.000	900.000
2050000	670.000	205.183	400.000	1000.000	600.000
2100000	770.000	306.757	300.000	1200.000	700.000
2150000	990.000	298.161	600.000	1500.000	1100.000
2200000	770.000	245.153	400.000	1200.000	750.000
2250000	830.000	232.594	600.000	1400.000	800.000
2300000	1010.000	482.597	400.000	2100.000	900.000
2350000	900.000	282.843	500.000	1400.000	800.000
2400000	980.000	309.193	600.000	1500.000	850.000
2450000	1180.000	693.974	700.000	3100.000	900.000
2500000	980.000	517.301	400.000	2300.000	800.000
2550000	750.000	307.409	300.000	1200.000	650.000
2600000	800.000	337.639	200.000	1500.000	800.000
2650000	880.000	285.657	500.000	1400.000	850.000
2700000	840.000	265.330	400.000	1400.000	800.000
2750000	880.000	193.907	500.000	1200.000	850.000
2800000	940.000	261.534	500.000	1300.000	1000.000
2850000	880.000	274.955	500.000	1500.000	800.000
2900000	850.000	276.586	300.000	1300.000	850.000
2950000	760.000	111.355	600.000	900.000	750.000
3000000	1030.000	508.035	500.000	2300.000	850.000
3050000	990.000	273.679	700.000	1500.000	900.000
3100000	890.000	364.555	200.000	1500.000	800.000
3150000	630.000	173.494	400.000	900.000	600.000
3200000	770.000	232.594	300.000	1100.000	750.000
3250000	770.000	286.531	400.000	1300.000	750.000
3300000	970.000	296.816	600.000	1500.000	900.000
3350000	990.000	367.287	500.000	1600.000	900.000
3400000	760.000	228.910	500.000	1300.000	700.000
3450000	930.000	228.254	600.000	1300.000	850.000
3500000	990.000	385.876	400.000	1600.000	950.000
3550000	900.000	173.205	600.000	1200.000	900.000
3600000	710.000	258.650	500.000	1200.000	650.000
3650000	900.000	228.035	600.000	1300.000	850.000
3700000	720.000	368.239	400.000	1500.000	550.000
3750000	1410.000	470.000	700.000	2200.000	1300.000
3800000	970.000	190.000	700.000	1300.000	950.000
