iteration	mean	std_dev	min	max	median
50000	-23.400	0.917	-24.000	-22.000	-24.000
100000	-19.200	1.327	-22.000	-18.000	-19.000
150000	-19.400	1.562	-22.000	-16.000	-20.000
200000	-17.800	2.088	-20.000	-14.000	-18.000
250000	-19.400	2.691	-22.000	-16.000	-20.000
300000	-19.800	2.891	-24.000	-14.000	-20.000
350000	-19.800	2.891	-24.000	-14.000	-20.000
400000	-19.200	2.040	-24.000	-16.000	-19.000
450000	-19.400	2.010	-24.000	-16.000	-20.000
500000	-19.800	2.088	-24.000	-16.000	-20.000
550000	-20.000	3.347	-24.000	-14.000	-22.000
600000	-17.200	5.231	-24.000	-6.000	-18.000
650000	-17.400	2.973	-22.000	-14.000	-18.000
700000	-19.800	1.661	-22.000	-16.000	-20.000
750000	-17.800	2.750	-22.000	-12.000	-18.000
800000	-17.200	3.487	-22.000	-10.000	-17.000
850000	-17.800	1.887	-20.000	-14.000	-18.000
900000	-20.800	2.561	-24.000	-16.000	-20.000
950000	-18.000	3.225	-24.000	-12.000	-18.000
1000000	-19.200	2.400	-24.000	-16.000	-19.000
1050000	-17.800	3.945	-22.000	-10.000	-19.000
1100000	-18.800	2.561	-24.000	-14.000	-18.000
1150000	-18.600	2.835	-24.000	-14.000	-18.000
1200000	-17.000	2.236	-20.000	-14.000	-18.000
1250000	-18.000	4.472	-24.000	-10.000	-18.000
1300000	-19.200	2.993	-22.000	-12.000	-20.000
1350000	-18.400	3.980	-24.000	-10.000	-19.000
1400000	-19.400	2.200	-22.000	-14.000	-20.000
1450000	-15.800	3.156	-20.000	-10.000	-16.000
1500000	-17.200	3.487	-24.000	-12.000	-17.000
1550000	-19.000	2.236	-22.000	-16.000	-18.000
1600000	-18.600	2.691	-24.000	-14.000	-19.000
1650000	-16.800	2.561	-20.000	-14.000	-17.000
1700000	-18.400	1.960	-20.000	-14.000	-19.000
1750000	-19.000	2.864	-22.000	-14.000	-19.000
1800000	-17.800	2.272	-22.000	-14.000	-18.000
1850000	-16.600	3.693	-20.000	-10.000	-18.000
1900000	-20.000	3.225	-24.000	-16.000	-20.000
1950000	-19.400	2.010	-24.000	-16.000	-20.000
2000000	-19.400	2.973	-24.000	-14.000	-19.000
2050000	-18.000	1.549	-20.000	-16.000	-18.000
2100000	-19.600	2.154	-22.000	-16.000	-20.000
2150000	-16.200	3.156	-20.000	-8.000	-17.000
2200000	-19.600	2.154	-24.000	-16.000	-20.000
2250000	-15.600	3.980	-22.000	-10.000	-16.000
2300000	-18.200	2.750	-22.000	-14.000	-18.000
2350000	-17.000	2.569	-20.000	-12.000	-18.000
2400000	-19.200	3.370	-24.000	-12.000	-19.000
2450000	-17.800	2.891	-22.000	-14.000	-17.000
2500000	-17.800	3.027	-22.000	-14.000	-18.000
2550000	-16.400	3.200	-22.000	-12.000	-16.000
2600000	-16.400	2.332	-20.000	-14.000	-16.000
2650000	-18.600	3.105	-24.000	-14.000	-18.000
2700000	-19.200	1.833	-22.000	-16.000	-19.000
2750000	-19.800	1.661	-22.000	-18.000	-20.000
2800000	-17.400	2.538	-20.000	-12.000	-18.000
2850000	-19.600	2.800	-24.000	-14.000	-20.000
2900000	-18.000	2.000	-20.000	-14.000	-18.000
2950000	-16.800	3.370	-24.000	-12.000	-17.000
3000000	-15.600	2.800	-20.000	-12.000	-15.000
3050000	-16.000	3.795	-22.000	-10.000	-16.000
3100000	-18.600	2.200	-22.000	-16.000	-18.000
3150000	-13.400	4.104	-20.000	-6.000	-13.000
3200000	-15.200	3.370	-18.000	-6.000	-16.000
3250000	-18.400	1.960	-22.000	-16.000	-18.000
3300000	-14.800	2.857	-18.000	-10.000	-15.000
3350000	-19.600	2.653	-22.000	-16.000	-21.000
3400000	-19.200	4.020	-24.000	-14.000	-21.000
