iteration	mean	std_dev	min	max	median
50000	-23.400	1.172	-24.000	-20.000	-24.000
100000	-19.600	1.890	-22.000	-16.000	-20.000
150000	-19.733	2.719	-24.000	-14.000	-20.000
200000	-18.733	3.596	-24.000	-6.000	-19.000
250000	-20.600	2.430	-24.000	-14.000	-20.000
300000	-19.133	2.997	-24.000	-14.000	-19.000
350000	-18.600	3.546	-24.000	-12.000	-19.000
400000	-18.933	2.175	-22.000	-14.000	-20.000
450000	-18.867	3.374	-24.000	-10.000	-19.000
500000	-18.333	2.637	-22.000	-12.000	-18.000
550000	-18.600	3.190	-24.000	-12.000	-18.000
600000	-17.933	3.162	-24.000	-12.000	-18.000
650000	-18.200	4.571	-24.000	-6.000	-19.000
700000	-18.867	3.748	-24.000	-6.000	-20.000
750000	-18.600	2.139	-24.000	-14.000	-18.000
800000	-18.733	2.851	-24.000	-14.000	-18.000
850000	-19.000	3.376	-24.000	-8.000	-20.000
900000	-17.067	3.714	-24.000	-10.000	-16.000
950000	-18.200	3.478	-22.000	-8.000	-19.000
1000000	-16.867	2.617	-22.000	-12.000	-18.000
1050000	-17.800	2.600	-22.000	-10.000	-18.000
1100000	-18.400	3.363	-22.000	-10.000	-20.000
1150000	-17.533	3.294	-24.000	-12.000	-16.000
1200000	-18.200	3.361	-24.000	-12.000	-18.000
1250000	-18.133	2.579	-22.000	-14.000	-18.000
1300000	-18.133	3.462	-24.000	-10.000	-18.000
1350000	-16.000	3.011	-22.000	-10.000	-16.000
1400000	-17.467	2.918	-22.000	-12.000	-18.000
1450000	-17.400	2.590	-22.000	-10.000	-18.000
1500000	-15.867	4.193	-22.000	-8.000	-16.000
1550000	-17.733	4.024	-24.000	-6.000	-18.000
1600000	-17.733	3.336	-24.000	-8.000	-18.000
1650000	-16.600	3.938	-24.000	-4.000	-17.000
1700000	-17.867	3.344	-22.000	-6.000	-18.000
1750000	-17.800	3.628	-24.000	-10.000	-18.000
1800000	-17.867	4.064	-24.000	-4.000	-18.000
1850000	-16.867	3.784	-24.000	-8.000	-16.000
1900000	-16.933	3.492	-24.000	-10.000	-18.000
1950000	-17.667	3.187	-24.000	-12.000	-18.000
2000000	-15.133	2.813	-20.000	-10.000	-16.000
2050000	-16.667	4.770	-24.000	-6.000	-18.000
2100000	-17.133	3.603	-22.000	-8.000	-18.000
2150000	-17.133	3.253	-22.000	-8.000	-18.000
2200000	-16.400	3.441	-24.000	-10.000	-16.000
2250000	-16.933	3.214	-24.000	-8.000	-16.000
2300000	-16.200	3.945	-22.000	-6.000	-16.000
2350000	-15.467	3.685	-22.000	-6.000	-16.000
2400000	-17.000	3.531	-24.000	-10.000	-17.000
2450000	-16.333	4.134	-24.000	-8.000	-16.000
2500000	-16.733	3.119	-22.000	-12.000	-17.000
2550000	-16.200	3.876	-24.000	-8.000	-16.000
2600000	-14.867	4.023	-24.000	-8.000	-14.000
2650000	-17.400	3.231	-24.000	-10.000	-18.000
2700000	-16.333	3.187	-22.000	-8.000	-16.000
2750000	-17.000	3.568	-24.000	-10.000	-17.000
2800000	-14.667	4.798	-24.000	-6.000	-15.000
2850000	-16.733	3.444	-24.000	-10.000	-16.000
2900000	-17.000	3.786	-24.000	-6.000	-16.000
2950000	-15.933	4.114	-22.000	-10.000	-16.000
3000000	-15.333	3.553	-22.000	-8.000	-16.000
3050000	-16.600	3.972	-22.000	-6.000	-18.000
3100000	-15.200	3.563	-22.000	-6.000	-16.000
3150000	-15.200	3.851	-24.000	-6.000	-16.000
3200000	-14.200	4.331	-20.000	-4.000	-16.000
3250000	-16.067	3.444	-24.000	-8.000	-16.000
3300000	-15.733	3.296	-22.000	-10.000	-16.000
3350000	-16.000	3.141	-22.000	-6.000	-16.000
3400000	-17.067	3.454	-22.000	-10.000	-18.000
3450000	-16.600	3.272	-22.000	-10.000	-16.000
3500000	-14.267	4.669	-20.000	4.000	-16.000
3550000	-17.067	3.991	-22.000	-10.000	-17.000
3600000	-15.133	3.640	-22.000	-8.000	-15.000
3650000	-15.333	4.541	-22.000	-2.000	-16.000
3700000	-16.667	4.361	-24.000	-6.000	-17.000
3750000	-15.267	4.427	-24.000	-6.000	-16.000
3800000	-13.600	3.809	-20.000	-6.000	-14.000
3850000	-15.067	3.214	-24.000	-8.000	-16.000
3900000	-14.533	3.462	-20.000	-6.000	-15.000
3950000	-14.400	4.079	-22.000	-2.000	-15.000
4000000	-15.400	3.583	-20.000	-10.000	-16.000
4050000	-15.800	4.300	-22.000	-8.000	-16.000
4100000	-14.800	2.993	-20.000	-8.000	-16.000
4150000	-14.733	4.147	-22.000	-6.000	-15.000
4200000	-13.600	4.800	-22.000	-4.000	-14.000
4250000	-15.867	4.161	-24.000	-8.000	-17.000
4300000	-15.200	4.151	-24.000	-8.000	-14.000
4350000	-15.133	3.640	-22.000	-8.000	-16.000
4400000	-16.467	2.952	-22.000	-10.000	-16.000
4450000	-16.800	3.487	-22.000	-6.000	-18.000
4500000	-15.133	4.088	-20.000	-6.000	-16.000
4550000	-14.800	4.339	-22.000	2.000	-15.000
4600000	-15.000	3.493	-22.000	-6.000	-16.000
4650000	-15.200	4.370	-24.000	-4.000	-16.000
4700000	-15.133	3.603	-22.000	-6.000	-16.000
4750000	-16.467	3.603	-24.000	-10.000	-16.000
4800000	-14.733	3.741	-22.000	-8.000	-15.000
4850000	-16.467	3.041	-22.000	-12.000	-16.000
4900000	-15.333	4.174	-24.000	-6.000	-16.000
4950000	-14.867	4.581	-22.000	-4.000	-16.000
5000000	-16.533	4.256	-24.000	-4.000	-16.000
5050000	-15.267	4.457	-24.000	-6.000	-15.000
5100000	-15.133	3.888	-22.000	-6.000	-16.000
5150000	-16.467	2.997	-22.000	-6.000	-16.000
5200000	-12.867	4.808	-22.000	-2.000	-13.000
5250000	-14.467	3.819	-22.000	-6.000	-14.000
5300000	-14.267	3.530	-20.000	-6.000	-14.000
5350000	-14.600	3.765	-24.000	-6.000	-14.000
5400000	-13.933	3.076	-22.000	-8.000	-14.000
5450000	-15.333	3.239	-24.000	-6.000	-16.000
5500000	-14.267	4.464	-24.000	-6.000	-15.000
5550000	-15.533	3.528	-22.000	-8.000	-16.000
5600000	-13.067	4.494	-24.000	-4.000	-12.000
5650000	-13.267	4.082	-22.000	-6.000	-14.000
5700000	-13.867	3.462	-22.000	-6.000	-14.000
5750000	-15.067	2.999	-20.000	-8.000	-16.000
5800000	-14.400	4.454	-22.000	-4.000	-14.000
5850000	-14.467	3.784	-22.000	-4.000	-14.000
5900000	-14.600	3.657	-22.000	-4.000	-14.000
5950000	-13.200	3.331	-22.000	-8.000	-14.000
6000000	-15.800	3.978	-24.000	-6.000	-16.000
6050000	-14.867	3.566	-20.000	-8.000	-16.000
6100000	-13.600	4.333	-20.000	-4.000	-14.000
6150000	-12.600	3.693	-20.000	-4.000	-12.000
6200000	-13.533	4.808	-22.000	-4.000	-14.000
6250000	-13.667	3.390	-20.000	-6.000	-14.000
6300000	-13.533	3.888	-20.000	-6.000	-14.000
6350000	-12.600	5.613	-22.000	2.000	-14.000
6400000	-13.600	4.484	-20.000	-4.000	-14.000
6450000	-12.667	5.522	-20.000	4.000	-14.000
6500000	-13.467	4.380	-22.000	-2.000	-14.000
6550000	-12.133	4.759	-20.000	-4.000	-12.000
6600000	-12.733	4.457	-20.000	-2.000	-13.000
6650000	-13.333	4.657	-20.000	-2.000	-14.000
6700000	-14.800	3.370	-20.000	-6.000	-15.000
6750000	-14.867	4.153	-24.000	-6.000	-15.000
6800000	-13.400	4.984	-22.000	-4.000	-14.000
6850000	-11.467	5.136	-20.000	-2.000	-11.000
6900000	-14.467	4.088	-22.000	-6.000	-16.000
6950000	-13.467	4.161	-22.000	-6.000	-13.000
7000000	-11.867	5.954	-22.000	4.000	-12.000
7050000	-12.933	3.642	-20.000	-4.000	-13.000
7100000	-13.800	3.664	-22.000	-8.000	-14.000
7150000	-12.733	3.705	-20.000	-2.000	-12.000
7200000	-13.333	3.553	-22.000	-6.000	-14.000
7250000	-12.533	5.315	-22.000	-2.000	-12.000
7300000	-12.600	4.594	-20.000	-2.000	-14.000
7350000	-14.333	3.350	-20.000	-8.000	-14.000
7400000	-14.000	3.141	-18.000	-6.000	-14.000
7450000	-13.133	4.945	-22.000	-2.000	-14.000
7500000	-13.533	4.056	-22.000	-4.000	-14.000
7550000	-12.600	4.765	-20.000	2.000	-13.000
7600000	-11.867	4.380	-18.000	-2.000	-12.000
7650000	-12.000	5.489	-24.000	-2.000	-12.000
7700000	-12.867	3.676	-20.000	-6.000	-14.000
7750000	-12.667	5.449	-22.000	-2.000	-13.000
7800000	-14.000	4.789	-22.000	4.000	-14.000
7850000	-12.733	3.596	-20.000	-4.000	-13.000
7900000	-12.133	5.214	-22.000	2.000	-12.000
7950000	-12.867	4.056	-22.000	-4.000	-14.000
8000000	-10.667	4.570	-18.000	2.000	-12.000
8050000	-14.067	3.881	-20.000	-6.000	-14.000
8100000	-13.133	4.433	-24.000	-6.000	-13.000
8150000	-11.200	4.520	-20.000	4.000	-12.000
8200000	-13.400	3.583	-22.000	-8.000	-14.000
8250000	-12.000	4.953	-20.000	-2.000	-13.000
8300000	-14.800	4.400	-22.000	-6.000	-16.000
8350000	-11.533	4.372	-18.000	-4.000	-12.000
8400000	-12.333	5.062	-22.000	2.000	-12.000
8450000	-12.600	5.011	-22.000	2.000	-14.000
8500000	-11.267	4.305	-20.000	-2.000	-10.000
8550000	-10.933	4.611	-18.000	4.000	-12.000
8600000	-11.733	5.000	-20.000	4.000	-12.000
8650000	-13.867	3.721	-22.000	-6.000	-14.000
8700000	-11.800	4.269	-18.000	-2.000	-12.000
8750000	-14.800	3.331	-20.000	-6.000	-16.000
8800000	-12.933	3.785	-20.000	-4.000	-13.000
8850000	-10.533	4.588	-22.000	-2.000	-10.000
8900000	-12.267	4.582	-20.000	-4.000	-13.000
8950000	-11.867	5.005	-20.000	4.000	-12.000
9000000	-11.000	5.580	-20.000	4.000	-12.000
9050000	-9.467	5.188	-18.000	6.000	-10.000
9100000	-10.800	4.520	-20.000	4.000	-11.000
9150000	-11.800	4.715	-20.000	-2.000	-12.000
9200000	-11.000	5.053	-22.000	4.000	-12.000
9250000	-12.800	4.520	-22.000	-2.000	-13.000
9300000	-11.133	5.130	-20.000	-2.000	-10.000
9350000	-12.867	4.121	-20.000	-2.000	-14.000
9400000	-11.600	4.176	-20.000	2.000	-12.000
9450000	-13.133	4.056	-20.000	-4.000	-14.000
9500000	-12.600	5.493	-20.000	4.000	-14.000
9550000	-10.467	4.121	-18.000	-2.000	-12.000
9600000	-11.867	4.031	-18.000	-6.000	-10.000
9650000	-12.667	4.422	-20.000	2.000	-14.000
9700000	-10.267	5.927	-18.000	8.000	-11.000
9750000	-15.467	4.097	-22.000	-6.000	-16.000
9800000	-12.200	5.042	-20.000	-2.000	-12.000
9850000	-11.800	4.045	-22.000	-2.000	-13.000
9900000	-12.667	4.300	-20.000	-4.000	-14.000
9950000	-12.933	5.627	-24.000	-2.000	-14.000
10000000	-12.600	4.104	-20.000	-4.000	-13.000
