iteration	mean	std_dev	min	max	median
50000	-21.600	2.332	-24.000	-16.000	-22.000
100000	-22.200	1.887	-24.000	-18.000	-22.000
150000	-19.000	2.864	-24.000	-14.000	-20.000
200000	-20.400	2.154	-24.000	-16.000	-20.000
250000	-20.200	3.280	-24.000	-14.000	-20.000
300000	-19.800	2.750	-24.000	-16.000	-18.000
350000	-18.600	3.231	-24.000	-12.000	-19.000
400000	-18.400	2.939	-24.000	-14.000	-18.000
450000	-18.200	3.516	-24.000	-12.000	-19.000
500000	-18.200	2.750	-24.000	-14.000	-18.000
550000	-18.000	3.347	-22.000	-14.000	-18.000
600000	-18.000	4.382	-24.000	-10.000	-19.000
650000	-18.400	3.200	-24.000	-14.000	-19.000
700000	-16.800	3.250	-22.000	-10.000	-18.000
750000	-15.600	3.666	-22.000	-8.000	-16.000
800000	-18.600	2.973	-22.000	-14.000	-18.000
850000	-16.800	4.578	-24.000	-10.000	-17.000
900000	-19.200	2.227	-22.000	-14.000	-20.000
950000	-19.200	2.713	-24.000	-16.000	-19.000
1000000	-16.800	4.308	-24.000	-8.000	-16.000
1050000	-18.200	4.686	-24.000	-8.000	-20.000
1100000	-18.400	3.441	-24.000	-12.000	-19.000
1150000	-16.400	3.441	-22.000	-10.000	-17.000
1200000	-17.800	2.600	-22.000	-14.000	-17.000
1250000	-17.000	2.049	-20.000	-14.000	-17.000
1300000	-17.000	2.720	-22.000	-14.000	-16.000
1350000	-18.200	2.600	-22.000	-12.000	-18.000
1400000	-18.000	4.099	-24.000	-10.000	-19.000
1450000	-18.600	4.294	-24.000	-12.000	-20.000
1500000	-16.800	3.124	-22.000	-10.000	-17.000
1550000	-16.200	2.441	-20.000	-12.000	-16.000
1600000	-16.800	4.578	-24.000	-8.000	-18.000
1650000	-15.600	3.441	-22.000	-10.000	-16.000
1700000	-16.600	2.691	-20.000	-12.000	-16.000
1750000	-19.000	2.049	-22.000	-16.000	-19.000
1800000	-18.400	3.072	-22.000	-14.000	-19.000
1850000	-15.800	3.400	-22.000	-12.000	-15.000
1900000	-14.600	6.200	-22.000	2.000	-16.000
1950000	-14.000	4.817	-20.000	-2.000	-14.000
2000000	-16.800	3.600	-22.000	-10.000	-16.000
2050000	-17.600	2.653	-20.000	-12.000	-18.000
2100000	-14.600	6.328	-24.000	-4.000	-15.000
2150000	-14.200	5.474	-22.000	-2.000	-15.000
2200000	-15.800	3.842	-24.000	-10.000	-15.000
2250000	-14.000	3.347	-18.000	-8.000	-15.000
2300000	-15.400	4.294	-22.000	-8.000	-16.000
2350000	-17.200	1.833	-20.000	-14.000	-17.000
2400000	-17.800	3.280	-24.000	-14.000	-18.000
2450000	-17.400	3.470	-24.000	-12.000	-17.000
2500000	-17.000	3.000	-22.000	-12.000	-17.000
2550000	-15.000	3.130	-20.000	-10.000	-14.000
2600000	-16.400	2.498	-22.000	-14.000	-16.000
2650000	-15.800	2.272	-18.000	-12.000	-16.000
2700000	-14.400	3.441	-20.000	-10.000	-14.000
2750000	-16.000	2.828	-20.000	-10.000	-17.000
2800000	-12.200	3.400	-18.000	-8.000	-11.000
2850000	-16.200	3.400	-20.000	-10.000	-17.000
2900000	-14.400	3.666	-20.000	-8.000	-15.000
2950000	-16.400	3.441	-24.000	-12.000	-16.000
3000000	-12.600	3.583	-18.000	-6.000	-13.000
3050000	-12.800	4.118	-20.000	-6.000	-14.000
3100000	-14.000	5.215	-22.000	-6.000	-16.000
3150000	-15.400	2.835	-20.000	-10.000	-16.000
3200000	-14.400	3.441	-20.000	-8.000	-15.000
3250000	-15.800	3.027	-22.000	-12.000	-15.000
