iteration	mean	std_dev	min	max	median
50000	21.000	13.748	0.000	40.000	20.000
100000	115.000	33.541	50.000	170.000	110.000
150000	111.000	24.678	70.000	150.000	115.000
200000	186.000	26.153	150.000	220.000	180.000
250000	191.000	37.537	90.000	220.000	205.000
300000	201.000	19.723	160.000	230.000	200.000
350000	217.000	31.000	170.000	290.000	210.000
400000	190.000	20.494	160.000	230.000	190.000
450000	197.000	31.953	120.000	240.000	200.000
500000	184.000	42.942	100.000	230.000	205.000
550000	202.000	16.613	180.000	230.000	200.000
600000	177.000	37.961	110.000	230.000	190.000
650000	165.000	30.414	100.000	220.000	165.000
700000	148.000	50.754	80.000	230.000	145.000
750000	124.000	36.387	70.000	190.000	125.000
800000	141.000	31.129	80.000	190.000	140.000
850000	101.000	36.455	50.000	180.000	100.000
900000	132.000	42.143	70.000	200.000	130.000
950000	139.000	32.696	90.000	190.000	145.000
1000000	113.000	35.228	60.000	160.000	105.000
1050000	138.000	43.081	60.000	200.000	140.000
1100000	84.000	31.369	40.000	130.000	85.000
1150000	85.000	51.430	10.000	180.000	75.000
1200000	110.000	34.351	70.000	190.000	100.000
1250000	99.000	48.877	40.000	190.000	95.000
1300000	114.000	38.523	30.000	180.000	115.000
1350000	105.000	42.485	30.000	180.000	110.000
1400000	119.000	45.044	60.000	190.000	120.000
1450000	90.000	33.466	50.000	150.000	70.000
1500000	87.000	23.685	50.000	130.000	85.000
1550000	84.000	35.833	30.000	140.000	80.000
1600000	86.000	29.732	40.000	130.000	85.000
1650000	57.000	22.383	30.000	90.000	50.000
1700000	100.000	40.497	40.000	180.000	100.000
1750000	96.000	36.932	40.000	160.000	100.000
1800000	96.000	44.091	50.000	200.000	85.000
1850000	114.000	45.211	20.000	190.000	120.000
1900000	87.000	47.760	50.000	180.000	70.000
1950000	117.000	31.639	60.000	160.000	130.000
2000000	126.000	42.000	50.000	190.000	130.000
2050000	132.000	51.730	50.000	190.000	145.000
2100000	98.000	43.772	30.000	160.000	115.000
2150000	138.000	40.939	60.000	210.000	140.000
2200000	116.000	46.519	40.000	180.000	110.000
2250000	156.000	43.174	100.000	230.000	145.000
2300000	155.000	28.373	110.000	200.000	150.000
2350000	115.000	36.674	70.000	170.000	120.000
2400000	156.000	32.000	90.000	210.000	155.000
2450000	118.000	50.160	50.000	230.000	110.000
2500000	127.000	37.696	50.000	180.000	140.000
2550000	141.000	37.802	90.000	220.000	145.000
2600000	140.000	39.749	70.000	210.000	125.000
