iteration	mean	std_dev	min	max	median
50000	61.000	22.113	40.000	120.000	60.000
100000	165.000	21.564	130.000	210.000	165.000
150000	187.000	22.383	130.000	210.000	200.000
200000	159.000	41.581	90.000	220.000	175.000
250000	216.000	6.633	210.000	230.000	215.000
300000	218.000	6.000	210.000	230.000	220.000
350000	233.000	22.825	190.000	280.000	235.000
400000	218.000	18.330	190.000	250.000	215.000
450000	231.000	27.731	170.000	270.000	230.000
500000	245.000	38.013	150.000	290.000	260.000
550000	226.000	32.000	170.000	260.000	240.000
600000	208.000	18.330	180.000	230.000	210.000
650000	215.000	28.018	160.000	250.000	225.000
700000	214.000	23.749	170.000	250.000	215.000
750000	228.000	24.819	180.000	250.000	235.000
800000	202.000	28.213	150.000	260.000	205.000
850000	231.000	30.480	190.000	290.000	225.000
900000	203.000	19.000	160.000	240.000	205.000
950000	201.000	34.482	150.000	270.000	200.000
1000000	196.000	23.749	140.000	220.000	200.000
1050000	234.000	29.394	190.000	300.000	230.000
1100000	208.000	30.594	160.000	250.000	200.000
1150000	198.000	29.257	160.000	260.000	200.000
1200000	215.000	15.000	180.000	230.000	220.000
1250000	163.000	50.210	70.000	230.000	175.000
1300000	148.000	48.125	90.000	220.000	135.000
1350000	105.000	34.132	50.000	170.000	105.000
1400000	122.000	19.900	100.000	150.000	115.000
1450000	91.000	32.696	40.000	170.000	95.000
1500000	106.000	42.237	40.000	150.000	110.000
1550000	99.000	33.000	50.000	150.000	100.000
1600000	82.000	17.776	50.000	100.000	90.000
1650000	89.000	34.191	50.000	160.000	85.000
1700000	101.000	26.249	50.000	150.000	100.000
1750000	132.000	43.543	60.000	210.000	125.000
1800000	153.000	41.243	70.000	210.000	160.000
1850000	162.000	39.192	70.000	210.000	155.000
1900000	128.000	30.594	80.000	190.000	120.000
1950000	121.000	34.191	50.000	160.000	130.000
2000000	117.000	27.946	90.000	170.000	110.000
2050000	143.000	34.655	90.000	190.000	145.000
2100000	165.000	36.946	110.000	220.000	180.000
2150000	177.000	42.673	110.000	250.000	190.000
2200000	165.000	39.306	90.000	220.000	165.000
2250000	150.000	40.988	90.000	230.000	135.000
2300000	151.000	48.052	90.000	250.000	135.000
2350000	183.000	33.481	110.000	250.000	180.000
2400000	198.000	56.178	110.000	270.000	215.000
2450000	172.000	23.152	120.000	190.000	185.000
2500000	199.000	39.611	120.000	270.000	200.000
2550000	198.000	35.721	150.000	260.000	185.000
2600000	179.000	45.706	60.000	230.000	175.000
2650000	184.000	28.705	140.000	230.000	185.000
2700000	185.000	32.326	140.000	230.000	185.000
2750000	196.000	43.863	110.000	270.000	200.000
2800000	176.000	44.317	90.000	220.000	190.000
2850000	201.000	18.138	170.000	230.000	200.000
2900000	194.000	39.038	110.000	240.000	195.000
2950000	210.000	28.636	160.000	250.000	215.000
3000000	197.000	36.346	150.000	250.000	195.000
3050000	211.000	15.780	180.000	240.000	210.000
3100000	185.000	51.430	80.000	240.000	200.000
3150000	207.000	36.892	160.000	250.000	230.000
3200000	179.000	15.133	140.000	200.000	180.000
3250000	181.000	38.328	120.000	230.000	180.000
3300000	195.000	35.847	130.000	240.000	205.000
3350000	201.000	29.138	160.000	250.000	195.000
3400000	182.000	33.407	110.000	230.000	190.000
3450000	171.000	35.903	130.000	260.000	165.000
3500000	178.000	31.875	120.000	220.000	190.000
3550000	206.000	28.000	160.000	250.000	205.000
3600000	207.000	32.879	140.000	250.000	205.000
3650000	228.000	26.758	190.000	280.000	225.000
3700000	204.000	26.533	150.000	250.000	200.000
3750000	183.000	56.045	50.000	240.000	190.000
3800000	198.000	37.094	110.000	240.000	210.000
