iteration	mean	std_dev	min	max	median
50000	-18.900	2.948	-24.000	-14.000	-18.000
100000	-16.200	3.187	-23.000	-12.000	-16.500
150000	-13.000	3.847	-19.000	-6.000	-13.000
200000	-12.000	4.171	-16.000	-3.000	-13.000
250000	-12.500	3.324	-19.000	-7.000	-12.000
300000	-12.700	3.551	-16.000	-4.000	-13.500
350000	-15.600	3.611	-21.000	-9.000	-15.000
400000	-14.300	2.238	-18.000	-11.000	-14.000
450000	-13.200	1.661	-16.000	-11.000	-13.000
500000	-13.400	3.441	-18.000	-6.000	-14.000
550000	-11.700	3.607	-15.000	-3.000	-13.000
600000	-18.600	3.137	-25.000	-13.000	-18.500
650000	-9.000	2.324	-13.000	-6.000	-8.500
700000	-8.800	4.214	-18.000	-4.000	-7.500
750000	-15.500	2.907	-19.000	-8.000	-16.000
800000	-16.600	2.653	-22.000	-13.000	-16.000
850000	-12.500	3.879	-18.000	-5.000	-13.000
900000	-16.400	3.904	-25.000	-12.000	-15.500
950000	-14.200	3.156	-19.000	-10.000	-14.000
1000000	-13.200	2.561	-18.000	-9.000	-13.000
1050000	-12.500	2.975	-19.000	-7.000	-12.000
1100000	-13.800	3.842	-23.000	-10.000	-12.000
1150000	-12.100	2.844	-17.000	-7.000	-12.000
1200000	-12.600	3.693	-21.000	-7.000	-13.000
1250000	-16.500	3.170	-23.000	-12.000	-16.000
1300000	-10.700	2.452	-14.000	-6.000	-11.000
1350000	-17.100	2.166	-20.000	-13.000	-17.000
1400000	-10.000	3.194	-15.000	-4.000	-11.000
1450000	-13.800	2.993	-18.000	-9.000	-13.500
1500000	-14.600	2.245	-19.000	-11.000	-14.000
1550000	-11.400	4.386	-18.000	-2.000	-12.500
1600000	-12.200	2.522	-17.000	-8.000	-12.000
1650000	-9.400	3.826	-17.000	-3.000	-9.000
1700000	-12.100	4.527	-17.000	-3.000	-14.500
1750000	-12.800	3.868	-21.000	-6.000	-13.000
1800000	-9.900	3.618	-17.000	-4.000	-9.500
1850000	-13.500	3.828	-18.000	-8.000	-13.500
1900000	-11.500	3.931	-20.000	-6.000	-11.000
1950000	-9.500	3.801	-17.000	-2.000	-9.500
2000000	-10.600	2.200	-14.000	-8.000	-10.500
2050000	-13.000	4.171	-18.000	-6.000	-14.500
2100000	-12.000	3.975	-20.000	-7.000	-12.000
2150000	-16.800	2.713	-21.000	-12.000	-18.000
2200000	-15.000	3.000	-21.000	-10.000	-14.500
2250000	-15.700	2.968	-20.000	-10.000	-15.500
2300000	-12.500	3.384	-17.000	-6.000	-12.500
2350000	-14.200	2.960	-21.000	-10.000	-14.000
2400000	-12.900	3.936	-21.000	-8.000	-12.000
2450000	-13.700	3.848	-21.000	-8.000	-14.000
2500000	-14.300	3.068	-19.000	-10.000	-14.000
2550000	-10.900	2.700	-15.000	-6.000	-10.500
2600000	-11.300	2.685	-15.000	-7.000	-11.000
2650000	-11.500	2.941	-17.000	-7.000	-12.000
2700000	-10.800	2.891	-15.000	-4.000	-11.000
2750000	-11.700	3.132	-17.000	-7.000	-11.000
2800000	-15.600	3.639	-20.000	-10.000	-16.000
2850000	-7.800	4.069	-16.000	-2.000	-8.000
2900000	-11.700	2.865	-19.000	-9.000	-10.000
2950000	-10.900	2.663	-16.000	-7.000	-11.000
3000000	-10.300	3.874	-16.000	-5.000	-9.500
3050000	-13.500	2.975	-19.000	-8.000	-13.000
3100000	-12.500	4.522	-21.000	-8.000	-11.000
3150000	-11.500	4.759	-20.000	-5.000	-10.500
3200000	-8.600	3.040	-15.000	-5.000	-8.000
3250000	-10.000	1.897	-14.000	-8.000	-9.500
3300000	-12.800	2.522	-15.000	-6.000	-13.500
3350000	-11.700	3.257	-18.000	-7.000	-12.000
3400000	-11.800	3.544	-19.000	-7.000	-11.500
3450000	-16.200	3.250	-21.000	-12.000	-16.000
3500000	-11.200	3.219	-17.000	-6.000	-11.500
3550000	-11.800	3.655	-18.000	-7.000	-13.000
3600000	-10.800	2.482	-14.000	-7.000	-11.500
3650000	-10.300	2.532	-14.000	-5.000	-10.500
3700000	-12.200	2.441	-16.000	-8.000	-12.000
3750000	-16.400	2.107	-19.000	-14.000	-16.000
3800000	-8.600	2.691	-12.000	-4.000	-9.500
3850000	-8.500	1.962	-11.000	-4.000	-9.000
3900000	-15.500	2.907	-20.000	-11.000	-15.000
3950000	-12.800	2.926	-20.000	-10.000	-12.500
4000000	-11.800	4.468	-19.000	-5.000	-11.500
4050000	-13.800	3.280	-19.000	-9.000	-13.000
4100000	-12.800	4.238	-18.000	-6.000	-13.500
4150000	-14.500	3.008	-20.000	-10.000	-14.000
4200000	-11.800	3.572	-17.000	-6.000	-12.500
4250000	-9.500	2.291	-13.000	-6.000	-9.000
4300000	-10.700	2.610	-14.000	-6.000	-11.000
4350000	-12.500	4.965	-19.000	-3.000	-13.000
4400000	-13.100	2.914	-16.000	-8.000	-15.000
4450000	-12.300	4.818	-19.000	-3.000	-13.000
4500000	-8.000	2.098	-12.000	-6.000	-7.500
4550000	-10.100	2.625	-15.000	-4.000	-10.000
4600000	-8.600	2.835	-14.000	-3.000	-9.000
4650000	-11.500	3.640	-19.000	-7.000	-10.500
4700000	-10.600	3.007	-16.000	-5.000	-9.500
4750000	-10.300	2.900	-17.000	-7.000	-9.500
4800000	-11.400	3.353	-16.000	-6.000	-11.500
4850000	-9.700	3.100	-16.000	-5.000	-9.500
4900000	-8.600	2.417	-14.000	-4.000	-9.000
4950000	-10.200	3.429	-18.000	-6.000	-9.500
5000000	-13.200	5.418	-21.000	-6.000	-15.500
5050000	-10.900	3.015	-17.000	-7.000	-10.500
5100000	-10.900	3.176	-17.000	-7.000	-11.000
5150000	-10.800	3.868	-17.000	-4.000	-11.500
5200000	-12.200	2.676	-18.000	-9.000	-11.500
5250000	-9.100	2.844	-13.000	-4.000	-10.000
5300000	-11.100	3.015	-17.000	-6.000	-11.000
5350000	-8.000	3.406	-14.000	-2.000	-7.500
5400000	-6.900	3.833	-17.000	-3.000	-5.000
5450000	-9.000	3.130	-14.000	-5.000	-8.000
5500000	-8.900	3.419	-13.000	-1.000	-9.500
5550000	-11.300	3.035	-19.000	-8.000	-10.500
5600000	-8.900	3.330	-13.000	-3.000	-10.000
5650000	-8.600	4.079	-15.000	-3.000	-8.500
5700000	-9.800	3.516	-18.000	-5.000	-9.500
5750000	-10.000	4.313	-19.000	-5.000	-8.500
5800000	-13.600	3.527	-21.000	-7.000	-13.500
5850000	-14.300	2.865	-19.000	-10.000	-14.500
5900000	-14.000	1.549	-16.000	-12.000	-13.500
5950000	-8.800	2.482	-13.000	-5.000	-8.500
6000000	-10.800	3.250	-17.000	-6.000	-11.500
6050000	-14.700	2.193	-18.000	-11.000	-14.500
6100000	-10.300	3.002	-17.000	-6.000	-10.000
6150000	-7.900	3.048	-14.000	-2.000	-8.000
6200000	-10.000	3.317	-17.000	-5.000	-10.000
6250000	-9.100	3.562	-16.000	-4.000	-9.000
6300000	-8.500	2.941	-14.000	-5.000	-8.500
6350000	-10.000	2.864	-16.000	-6.000	-10.000
6400000	-7.900	3.145	-14.000	-3.000	-8.500
6450000	-7.200	4.094	-15.000	-1.000	-7.000
6500000	-8.100	3.910	-15.000	-3.000	-8.000
6550000	-7.800	1.536	-10.000	-5.000	-8.000
6600000	-8.900	1.446	-12.000	-6.000	-9.000
6650000	-8.100	3.081	-15.000	-3.000	-7.500
6700000	-10.000	3.493	-17.000	-5.000	-10.500
6750000	-11.300	2.369	-14.000	-7.000	-10.000
6800000	-8.800	2.676	-12.000	-3.000	-9.000
6850000	-9.300	2.900	-15.000	-5.000	-9.000
6900000	-9.000	3.578	-15.000	-4.000	-8.000
6950000	-6.600	4.055	-15.000	-1.000	-6.000
7000000	-10.900	3.239	-16.000	-4.000	-10.500
7050000	-11.600	4.454	-22.000	-4.000	-11.500
7100000	-11.700	1.900	-16.000	-9.000	-11.500
7150000	-10.000	3.162	-16.000	-6.000	-9.000
7200000	-8.000	3.347	-11.000	1.000	-9.500
7250000	-10.300	1.676	-13.000	-9.000	-9.000
7300000	-8.900	1.758	-13.000	-6.000	-8.500
7350000	-8.700	3.288	-13.000	-3.000	-10.000
7400000	-13.400	3.072	-16.000	-5.000	-14.500
7450000	-9.600	3.611	-17.000	-5.000	-9.000
7500000	-12.200	3.736	-19.000	-5.000	-12.000
7550000	-10.000	2.236	-14.000	-6.000	-10.500
7600000	-9.300	4.314	-16.000	-1.000	-10.500
7650000	-12.600	4.652	-20.000	-6.000	-12.000
7700000	-8.100	3.081	-11.000	-2.000	-9.000
7750000	-9.400	3.231	-14.000	-3.000	-9.000
7800000	-8.600	1.908	-11.000	-5.000	-9.500
7850000	-12.300	3.848	-18.000	-7.000	-12.000
7900000	-11.600	2.615	-15.000	-7.000	-12.000
7950000	-10.100	3.113	-15.000	-5.000	-10.000
8000000	-14.600	3.527	-20.000	-7.000	-14.500
8050000	-9.500	3.557	-16.000	-1.000	-9.500
8100000	-9.500	2.837	-14.000	-6.000	-8.500
8150000	-10.400	2.245	-13.000	-5.000	-11.000
8200000	-11.800	1.661	-14.000	-8.000	-12.000
8250000	-10.200	2.182	-14.000	-7.000	-10.000
8300000	-11.200	3.370	-18.000	-6.000	-10.500
8350000	-9.400	2.728	-13.000	-4.000	-9.500
8400000	-9.400	4.317	-16.000	-2.000	-9.500
8450000	-14.000	4.427	-21.000	-7.000	-15.000
8500000	-11.100	2.468	-14.000	-6.000	-12.000
8550000	-11.400	3.666	-18.000	-6.000	-11.000
8600000	-5.300	2.532	-12.000	-3.000	-4.500
8650000	-10.900	4.206	-20.000	-5.000	-10.500
8700000	-10.900	4.346	-17.000	-2.000	-12.000
8750000	-12.800	3.429	-20.000	-8.000	-12.000
8800000	-8.500	2.872	-12.000	-3.000	-9.500
8850000	-15.400	2.800	-20.000	-11.000	-14.500
8900000	-13.000	2.793	-18.000	-9.000	-14.000
8950000	-9.800	2.227	-15.000	-7.000	-9.500
9000000	-15.300	2.532	-18.000	-11.000	-15.500
9050000	-9.200	2.638	-14.000	-4.000	-9.500
9100000	-9.300	2.610	-13.000	-4.000	-9.500
9150000	-8.600	2.154	-13.000	-5.000	-8.000
9200000	-10.100	2.468	-14.000	-6.000	-10.000
9250000	-10.000	2.898	-14.000	-4.000	-10.500
9300000	-13.300	2.759	-19.000	-10.000	-13.000
9350000	-13.000	3.606	-18.000	-5.000	-12.500
9400000	-10.500	4.863	-19.000	-4.000	-10.500
9450000	-11.500	3.202	-17.000	-7.000	-10.500
9500000	-10.700	3.035	-16.000	-6.000	-11.000
9550000	-9.700	2.193	-13.000	-6.000	-10.000
9600000	-8.800	3.059	-14.000	-4.000	-9.000
9650000	-12.100	4.928	-22.000	-5.000	-11.500
9700000	-9.400	2.332	-13.000	-6.000	-9.500
9750000	-12.700	3.796	-18.000	-4.000	-13.000
9800000	-9.700	2.968	-13.000	-5.000	-11.000
9850000	-10.700	4.818	-19.000	-5.000	-10.000
9900000	-8.400	2.800	-13.000	-4.000	-9.000
9950000	-9.600	2.800	-15.000	-5.000	-10.000
10000000	-10.000	3.795	-18.000	-4.000	-10.500
