iteration	mean	std_dev	min	max	median
50000	-16.267	3.974	-28.000	-8.000	-16.500
100000	-15.400	3.904	-24.000	-8.000	-15.500
150000	-13.933	4.242	-22.000	-6.000	-14.000
200000	-12.800	5.332	-21.000	-3.000	-12.500
250000	-16.467	3.374	-23.000	-11.000	-16.000
300000	-12.433	4.129	-21.000	-5.000	-12.500
350000	-13.167	3.942	-20.000	-5.000	-13.000
400000	-13.633	3.728	-21.000	-6.000	-14.000
450000	-15.233	4.193	-26.000	-8.000	-15.000
500000	-12.000	3.130	-21.000	-7.000	-12.000
550000	-12.033	4.004	-22.000	-3.000	-12.000
600000	-13.467	2.918	-18.000	-7.000	-13.000
650000	-12.433	3.116	-17.000	-6.000	-12.000
700000	-12.633	3.230	-17.000	-7.000	-13.000
750000	-13.633	3.628	-20.000	-7.000	-14.500
800000	-11.200	2.937	-17.000	-7.000	-11.000
850000	-11.533	3.853	-24.000	-5.000	-11.000
900000	-13.367	3.125	-20.000	-8.000	-13.000
950000	-13.533	3.585	-20.000	-7.000	-13.500
1000000	-11.867	2.790	-17.000	-6.000	-12.000
1050000	-13.633	3.250	-21.000	-6.000	-13.500
1100000	-12.500	4.169	-20.000	-4.000	-12.000
1150000	-12.533	4.105	-21.000	-4.000	-12.500
1200000	-13.500	4.137	-25.000	-6.000	-13.500
1250000	-12.400	2.973	-18.000	-7.000	-12.500
1300000	-11.933	3.316	-18.000	-5.000	-12.000
1350000	-12.067	3.907	-19.000	-4.000	-12.000
1400000	-13.433	3.201	-20.000	-6.000	-13.500
1450000	-11.500	4.006	-19.000	-5.000	-13.000
1500000	-11.367	3.167	-19.000	-4.000	-11.000
1550000	-13.967	3.516	-22.000	-9.000	-12.500
1600000	-11.633	3.628	-19.000	-6.000	-12.000
1650000	-12.700	4.001	-18.000	-2.000	-12.500
1700000	-11.833	4.488	-27.000	-3.000	-11.000
1750000	-11.067	2.898	-16.000	-5.000	-11.000
1800000	-10.800	3.390	-19.000	-4.000	-10.000
1850000	-12.233	2.974	-18.000	-6.000	-13.000
1900000	-11.567	3.853	-20.000	-5.000	-11.000
1950000	-10.067	2.977	-17.000	-5.000	-10.500
2000000	-12.500	4.342	-22.000	-7.000	-12.000
2050000	-11.733	3.151	-21.000	-6.000	-12.000
2100000	-10.333	3.187	-17.000	-3.000	-10.500
2150000	-11.567	3.442	-19.000	-5.000	-12.000
2200000	-12.167	3.131	-18.000	-7.000	-12.000
2250000	-11.133	3.703	-19.000	-3.000	-12.000
2300000	-11.033	2.373	-17.000	-7.000	-11.000
2350000	-10.400	2.577	-15.000	-5.000	-11.000
2400000	-11.567	3.353	-20.000	-5.000	-12.000
2450000	-10.367	3.937	-16.000	-1.000	-11.000
2500000	-12.200	3.497	-18.000	-6.000	-12.000
2550000	-9.933	2.898	-15.000	-3.000	-10.000
2600000	-11.567	3.703	-19.000	-3.000	-12.500
2650000	-9.967	3.773	-16.000	0.000	-10.000
2700000	-10.533	3.354	-18.000	-5.000	-10.000
2750000	-12.033	3.582	-19.000	-5.000	-13.000
2800000	-11.567	3.403	-20.000	-6.000	-11.500
