iteration	mean	std_dev	min	max	median
50000	286.000	148.809	120.000	650.000	250.000
100000	648.000	261.717	340.000	1250.000	580.000
150000	667.000	377.546	330.000	1690.000	580.000
200000	729.000	298.176	280.000	1130.000	785.000
250000	626.000	225.973	330.000	920.000	635.000
300000	692.000	254.629	300.000	1270.000	655.000
350000	538.000	223.419	320.000	1100.000	420.000
400000	490.000	170.646	160.000	790.000	500.000
450000	781.000	491.537	260.000	2080.000	655.000
500000	680.000	350.428	330.000	1320.000	470.000
550000	665.000	298.639	300.000	1190.000	620.000
600000	835.000	286.714	400.000	1450.000	810.000
650000	783.000	412.675	420.000	1690.000	630.000
700000	688.000	287.047	340.000	1240.000	685.000
750000	561.000	235.603	370.000	1080.000	460.000
800000	613.000	316.293	280.000	1460.000	565.000
850000	1028.000	505.486	440.000	2070.000	975.000
900000	620.000	278.962	420.000	1410.000	500.000
950000	640.000	243.885	420.000	1220.000	550.000
1000000	808.000	326.827	330.000	1340.000	800.000
1050000	785.000	408.980	410.000	1720.000	685.000
1100000	782.000	273.452	430.000	1270.000	750.000
1150000	652.000	271.138	380.000	1250.000	565.000
1200000	715.000	357.078	290.000	1540.000	655.000
1250000	834.000	242.990	480.000	1260.000	830.000
1300000	823.000	360.112	340.000	1350.000	780.000
1350000	807.000	223.743	410.000	1290.000	815.000
1400000	745.000	366.586	310.000	1310.000	605.000
1450000	739.000	353.198	340.000	1480.000	695.000
1500000	1052.000	406.148	430.000	1780.000	990.000
1550000	910.000	484.458	350.000	2090.000	730.000
1600000	1072.000	318.992	480.000	1510.000	1080.000
1650000	938.000	420.709	400.000	1770.000	770.000
1700000	980.000	489.449	350.000	1960.000	950.000
1750000	949.000	455.268	370.000	1750.000	895.000
1800000	751.000	383.861	300.000	1490.000	685.000
1850000	1002.000	456.964	360.000	1960.000	1040.000
1900000	1001.000	426.180	340.000	1680.000	1065.000
1950000	782.000	283.260	370.000	1330.000	765.000
2000000	832.000	278.165	440.000	1480.000	875.000
2050000	1055.000	432.464	680.000	2060.000	855.000
2100000	986.000	294.184	630.000	1610.000	905.000
2150000	1089.000	299.481	540.000	1740.000	1045.000
2200000	921.000	512.532	280.000	1960.000	680.000
2250000	1312.000	497.771	550.000	2080.000	1410.000
2300000	1020.000	341.760	420.000	1520.000	1060.000
2350000	1070.000	337.728	630.000	1710.000	1105.000
2400000	903.000	222.443	510.000	1310.000	920.000
2450000	1100.000	328.055	630.000	1770.000	1025.000
2500000	1661.000	914.292	770.000	3850.000	1450.000
2550000	1239.000	616.708	250.000	2210.000	1040.000
2600000	1045.000	438.115	670.000	2240.000	955.000
2650000	1000.000	274.700	510.000	1410.000	1045.000
2700000	1058.000	419.042	590.000	2120.000	995.000
2750000	1067.000	208.185	770.000	1350.000	1060.000
2800000	923.000	261.842	410.000	1450.000	925.000
2850000	1109.000	275.153	700.000	1510.000	1090.000
2900000	1202.000	417.607	690.000	1890.000	1040.000
2950000	1486.000	515.833	760.000	2680.000	1345.000
3000000	1349.000	483.972	670.000	2120.000	1410.000
3050000	922.000	346.895	480.000	1630.000	955.000
3100000	1250.000	455.104	750.000	2190.000	1135.000
3150000	953.000	290.140	310.000	1300.000	1080.000
3200000	1097.000	352.960	690.000	1860.000	1180.000
3250000	985.000	341.972	450.000	1670.000	1040.000
3300000	982.000	326.307	430.000	1540.000	955.000
3350000	1383.000	1172.152	460.000	4740.000	1065.000
3400000	752.000	252.182	310.000	1230.000	685.000
3450000	1011.000	183.709	780.000	1380.000	960.000
3500000	1178.000	436.069	370.000	1790.000	1165.000
3550000	969.000	425.546	540.000	2100.000	915.000
3600000	1370.000	856.037	750.000	3820.000	1035.000
3650000	1038.000	348.304	360.000	1690.000	1050.000
3700000	1513.000	376.033	830.000	2280.000	1580.000
3750000	1003.000	494.592	580.000	2380.000	845.000
3800000	1130.000	525.547	380.000	2430.000	1040.000
3850000	1071.000	313.543	540.000	1690.000	1025.000
3900000	1167.000	520.885	590.000	2360.000	1070.000
3950000	1303.000	330.153	910.000	2030.000	1275.000
4000000	1264.000	388.721	840.000	2160.000	1150.000
4050000	1215.000	502.678	460.000	2410.000	1195.000
4100000	1161.000	465.305	510.000	2060.000	1085.000
4150000	1007.000	469.320	400.000	2170.000	910.000
4200000	1465.000	530.193	1010.000	2580.000	1260.000
4250000	1369.000	850.041	900.000	3860.000	1020.000
4300000	965.000	250.010	660.000	1460.000	860.000
4350000	1234.000	562.729	500.000	2550.000	1025.000
4400000	844.000	516.473	360.000	2130.000	685.000
4450000	1077.000	436.189	570.000	2280.000	945.000
4500000	815.000	264.736	520.000	1250.000	710.000
4550000	902.000	317.736	440.000	1360.000	850.000
4600000	934.000	243.770	550.000	1390.000	895.000
4650000	1216.000	562.125	570.000	2380.000	1045.000
4700000	1532.000	297.550	1100.000	1920.000	1605.000
4750000	1235.000	417.259	600.000	2310.000	1225.000
4800000	1312.000	434.898	600.000	1960.000	1280.000
4850000	1220.000	489.244	510.000	2220.000	1135.000
4900000	1070.000	257.953	750.000	1600.000	1050.000
