iteration	mean	std_dev	min	max	median
50000	245.000	75.928	110.000	330.000	265.000
100000	690.000	338.526	320.000	1460.000	590.000
150000	764.000	480.670	250.000	1890.000	630.000
200000	936.000	466.845	430.000	1950.000	900.000
250000	1051.000	184.578	740.000	1280.000	1105.000
300000	790.000	324.099	410.000	1600.000	720.000
350000	734.000	215.416	470.000	1220.000	735.000
400000	676.000	311.519	370.000	1320.000	545.000
450000	571.000	180.967	370.000	970.000	495.000
500000	622.000	149.519	450.000	1000.000	580.000
550000	659.000	285.463	350.000	1400.000	570.000
600000	932.000	465.270	420.000	1810.000	875.000
650000	627.000	180.502	410.000	980.000	575.000
700000	711.000	185.981	490.000	1020.000	665.000
750000	587.000	227.510	390.000	1200.000	520.000
800000	739.000	436.221	390.000	1980.000	585.000
850000	671.000	281.370	380.000	1350.000	605.000
900000	628.000	172.847	300.000	890.000	655.000
950000	785.000	403.268	440.000	1790.000	675.000
1000000	648.000	201.286	420.000	1160.000	640.000
1050000	649.000	217.276	410.000	1250.000	590.000
1100000	707.000	239.376	430.000	1270.000	635.000
1150000	668.000	328.627	390.000	1330.000	510.000
1200000	857.000	389.796	440.000	1620.000	785.000
1250000	918.000	428.714	390.000	1660.000	885.000
1300000	636.000	234.103	390.000	1230.000	550.000
1350000	1133.000	481.686	700.000	2300.000	935.000
1400000	1313.000	464.285	770.000	2360.000	1195.000
1450000	1335.000	594.294	580.000	2650.000	1185.000
1500000	901.000	341.861	360.000	1570.000	970.000
1550000	891.000	439.737	450.000	1630.000	690.000
1600000	1170.000	330.817	690.000	1740.000	1155.000
1650000	1163.000	394.970	450.000	1950.000	1155.000
1700000	1244.000	604.950	440.000	2540.000	1045.000
1750000	886.000	328.305	470.000	1560.000	810.000
1800000	1034.000	363.654	560.000	1550.000	910.000
1850000	1396.000	604.387	710.000	2760.000	1245.000
1900000	1270.000	624.147	570.000	2440.000	1055.000
1950000	946.000	459.134	380.000	1860.000	790.000
2000000	1004.000	531.153	450.000	2500.000	920.000
2050000	919.000	273.073	540.000	1440.000	910.000
2100000	1067.000	405.291	450.000	1620.000	985.000
2150000	1001.000	372.383	500.000	1600.000	1010.000
2200000	1055.000	444.505	460.000	1770.000	1030.000
2250000	1048.000	453.625	660.000	2250.000	875.000
2300000	1101.000	258.358	810.000	1540.000	1000.000
2350000	1103.000	506.479	500.000	2400.000	1015.000
2400000	1263.000	343.367	730.000	1930.000	1230.000
2450000	1040.000	287.472	650.000	1550.000	1070.000
2500000	1680.000	1210.512	690.000	5130.000	1355.000
2550000	1201.000	415.318	440.000	1730.000	1225.000
2600000	1201.000	390.268	580.000	1850.000	1210.000
2650000	1172.000	333.431	520.000	1480.000	1350.000
2700000	1058.000	289.648	630.000	1480.000	1065.000
2750000	1007.000	286.009	560.000	1520.000	965.000
2800000	977.000	390.104	370.000	1680.000	980.000
2850000	1516.000	508.000	790.000	2480.000	1275.000
2900000	1146.000	479.837	580.000	2180.000	1055.000
2950000	992.000	446.583	420.000	2050.000	840.000
3000000	1063.000	280.180	720.000	1720.000	1000.000
3050000	1621.000	666.760	860.000	3130.000	1635.000
3100000	992.000	280.064	640.000	1390.000	1030.000
3150000	1186.000	530.664	360.000	2420.000	1185.000
3200000	856.000	286.014	520.000	1530.000	795.000
