iteration	mean	std_dev	min	max	median
50000	-20.800	0.400	-21.000	-20.000	-21.000
100000	-20.300	0.640	-21.000	-19.000	-20.000
150000	-20.400	0.490	-21.000	-20.000	-20.000
200000	-20.400	0.490	-21.000	-20.000	-20.000
250000	-20.700	0.458	-21.000	-20.000	-21.000
300000	-19.700	1.269	-21.000	-18.000	-20.000
350000	-19.800	1.470	-21.000	-17.000	-20.000
400000	-19.800	0.600	-21.000	-19.000	-20.000
450000	-20.500	0.922	-21.000	-18.000	-21.000
500000	-19.700	1.487	-21.000	-16.000	-20.000
550000	-18.600	2.154	-21.000	-13.000	-19.000
600000	-18.400	2.107	-20.000	-14.000	-19.500
650000	-17.400	2.289	-21.000	-14.000	-17.500
700000	-16.000	2.530	-19.000	-11.000	-17.000
750000	-17.900	1.868	-21.000	-16.000	-17.500
800000	-17.900	1.300	-20.000	-15.000	-18.000
850000	-17.700	2.934	-21.000	-13.000	-18.000
900000	-14.600	3.800	-21.000	-9.000	-15.000
950000	-16.200	2.993	-20.000	-11.000	-16.500
1000000	-12.600	2.010	-16.000	-9.000	-13.000
1050000	-16.200	1.778	-19.000	-14.000	-16.000
1100000	-15.100	3.081	-20.000	-11.000	-14.500
1150000	-11.200	3.487	-17.000	-7.000	-9.500
1200000	-15.700	4.649	-20.000	-5.000	-17.500
1250000	-14.400	3.200	-20.000	-10.000	-14.500
1300000	-14.400	2.653	-18.000	-9.000	-15.000
1350000	-8.800	3.572	-16.000	-4.000	-10.000
1400000	-18.000	0.775	-19.000	-17.000	-18.000
1450000	-7.600	3.583	-15.000	-2.000	-7.500
1500000	-10.600	2.939	-15.000	-7.000	-10.000
1550000	-10.800	3.400	-17.000	-5.000	-10.500
1600000	-9.200	3.092	-14.000	-5.000	-8.500
1650000	-8.400	5.571	-16.000	5.000	-9.500
1700000	-7.100	3.562	-13.000	-2.000	-6.000
1750000	-8.900	3.419	-13.000	-2.000	-10.500
1800000	-8.500	2.941	-12.000	-1.000	-8.500
1850000	-9.400	2.871	-16.000	-6.000	-9.000
1900000	-8.500	3.557	-14.000	-1.000	-9.000
1950000	-8.900	3.015	-15.000	-4.000	-8.000
2000000	-9.000	4.025	-18.000	-3.000	-8.000
2050000	-9.500	3.041	-13.000	-4.000	-10.500
2100000	-7.200	3.250	-11.000	-1.000	-8.500
2150000	-6.400	2.498	-10.000	-2.000	-6.000
2200000	-7.600	3.666	-13.000	-1.000	-7.500
2250000	-6.300	3.164	-12.000	-2.000	-6.500
2300000	-4.700	2.238	-9.000	-1.000	-5.000
2350000	-8.200	2.272	-13.000	-6.000	-7.500
2400000	-2.500	3.854	-7.000	6.000	-4.000
2450000	-4.800	3.842	-10.000	1.000	-5.500
2500000	-5.300	4.605	-14.000	3.000	-6.500
2550000	-5.600	2.764	-9.000	-1.000	-5.500
2600000	-5.900	2.914	-10.000	-1.000	-5.500
2650000	-6.400	2.200	-10.000	-3.000	-6.500
2700000	-11.200	2.891	-15.000	-6.000	-12.500
2750000	-5.500	3.138	-12.000	-1.000	-4.500
2800000	-8.200	3.709	-13.000	-1.000	-8.500
2850000	-4.100	5.069	-11.000	6.000	-5.500
2900000	-2.400	6.200	-10.000	9.000	-3.500
2950000	-7.700	4.776	-14.000	1.000	-8.500
3000000	-5.000	3.130	-12.000	-1.000	-5.000
3050000	0.900	4.036	-5.000	7.000	2.500
3100000	-6.600	2.375	-11.000	-3.000	-6.000
3150000	-0.500	4.965	-11.000	6.000	0.000
3200000	-6.100	5.485	-16.000	2.000	-7.000
3250000	-6.800	3.027	-13.000	-3.000	-6.500
3300000	-3.700	6.310	-15.000	4.000	-4.500
3350000	-2.800	5.636	-14.000	6.000	-3.000
3400000	-7.000	3.606	-15.000	-3.000	-6.000
3450000	-2.800	3.789	-9.000	3.000	-2.500
3500000	-2.500	3.667	-8.000	4.000	-3.500
3550000	-6.000	2.828	-11.000	-2.000	-5.500
3600000	-7.100	3.448	-13.000	-1.000	-7.000
3650000	-8.400	2.728	-13.000	-4.000	-8.000
3700000	0.500	4.759	-8.000	8.000	0.500
3750000	-0.600	6.135	-10.000	11.000	-2.000
3800000	0.600	5.851	-15.000	6.000	2.000
3850000	-0.900	3.015	-6.000	3.000	-1.000
3900000	-1.100	4.253	-8.000	8.000	-1.500
3950000	-3.700	5.330	-13.000	3.000	-2.500
4000000	-2.100	4.253	-9.000	6.000	-2.500
4050000	-4.100	4.888	-11.000	6.000	-3.500
4100000	-0.800	3.655	-7.000	7.000	-1.000
4150000	-5.100	3.986	-11.000	1.000	-4.000
4200000	-0.500	5.661	-11.000	8.000	0.000
4250000	-2.900	5.594	-12.000	8.000	-3.500
4300000	2.000	6.277	-8.000	13.000	3.000
4350000	-0.300	6.100	-10.000	10.000	-2.000
4400000	2.900	5.787	-11.000	11.000	4.000
4450000	-5.400	4.821	-13.000	6.000	-6.000
4500000	-0.100	4.158	-8.000	6.000	0.500
4550000	-1.400	5.731	-9.000	10.000	-2.500
4600000	1.400	6.359	-9.000	12.000	2.500
4650000	-0.600	4.454	-7.000	8.000	-1.000
4700000	-2.000	3.633	-9.000	5.000	-1.000
4750000	0.900	3.562	-4.000	7.000	1.000
4800000	-0.700	5.423	-6.000	11.000	-3.500
4850000	-2.000	4.858	-12.000	6.000	-2.000
4900000	-1.000	2.933	-6.000	4.000	-1.000
4950000	0.200	5.963	-9.000	10.000	-1.000
5000000	0.800	5.845	-9.000	11.000	2.000
5050000	-1.200	3.655	-6.000	4.000	-1.500
5100000	-1.600	4.565	-9.000	4.000	-1.000
5150000	0.700	4.173	-6.000	9.000	1.500
5200000	3.400	4.903	-5.000	10.000	3.500
5250000	0.400	4.944	-10.000	6.000	1.500
5300000	2.400	3.292	-2.000	8.000	3.000
5350000	0.400	4.386	-7.000	5.000	2.000
5400000	1.100	8.203	-13.000	13.000	-0.500
5450000	3.200	6.046	-7.000	11.000	4.000
5500000	-0.300	5.235	-7.000	8.000	1.000
5550000	-1.800	4.377	-8.000	6.000	-4.000
5600000	-1.400	5.678	-10.000	8.000	-1.500
5650000	1.300	4.605	-7.000	11.000	0.000
5700000	3.000	7.523	-8.000	13.000	0.000
5750000	1.400	4.477	-4.000	7.000	2.500
5800000	-2.700	9.012	-15.000	16.000	-3.000
5850000	-2.900	6.204	-12.000	7.000	-4.000
5900000	1.000	6.197	-9.000	10.000	3.500
5950000	1.100	4.460	-4.000	11.000	0.000
6000000	7.300	3.822	2.000	14.000	6.500
6050000	-0.600	4.247	-7.000	6.000	0.000
6100000	-9.000	3.162	-13.000	-4.000	-10.000
6150000	3.300	6.943	-11.000	16.000	3.000
