iteration	mean	std_dev	min	max	median
50000	-20.867	0.340	-21.000	-20.000	-21.000
100000	-20.667	0.650	-21.000	-19.000	-21.000
150000	-20.200	0.909	-21.000	-18.000	-20.000
200000	-19.567	1.521	-21.000	-14.000	-20.000
250000	-18.267	1.825	-21.000	-13.000	-18.500
300000	-17.167	2.222	-21.000	-12.000	-17.000
350000	-17.333	2.399	-21.000	-12.000	-18.000
400000	-15.700	2.479	-20.000	-9.000	-16.000
450000	-14.467	4.440	-21.000	-5.000	-15.000
500000	-14.733	4.647	-21.000	-5.000	-15.000
550000	-10.033	4.111	-18.000	3.000	-10.500
600000	-9.867	4.738	-21.000	1.000	-9.000
650000	-5.400	7.232	-17.000	10.000	-6.000
700000	-5.200	2.971	-11.000	1.000	-6.000
750000	-0.600	4.232	-9.000	7.000	-1.000
800000	0.900	5.467	-9.000	9.000	1.000
850000	1.667	7.551	-18.000	16.000	3.000
900000	4.133	6.556	-17.000	15.000	5.000
950000	12.400	5.050	2.000	19.000	14.000
1000000	14.033	3.851	3.000	20.000	14.500
1050000	13.500	4.856	-1.000	19.000	15.000
1100000	16.600	2.882	11.000	21.000	17.000
1150000	17.700	2.052	13.000	21.000	17.500
1200000	18.267	1.590	14.000	21.000	18.000
1250000	17.500	1.232	14.000	20.000	18.000
1300000	17.833	2.177	11.000	21.000	18.000
1350000	17.833	2.018	13.000	21.000	18.000
1400000	18.200	1.514	15.000	21.000	18.000
1450000	17.333	1.738	13.000	21.000	17.000
1500000	18.200	1.904	13.000	21.000	18.000
1550000	17.667	2.055	14.000	21.000	18.000
1600000	18.200	2.227	10.000	21.000	19.000
1650000	18.367	1.560	15.000	21.000	18.000
1700000	18.800	1.681	15.000	21.000	19.000
1750000	17.967	1.779	13.000	20.000	18.000
1800000	18.533	2.061	13.000	21.000	19.000
1850000	18.100	1.680	14.000	21.000	18.000
1900000	18.333	2.560	8.000	21.000	19.500
1950000	18.067	1.548	15.000	21.000	18.000
2000000	19.033	1.760	13.000	21.000	19.000
2050000	18.433	1.995	12.000	21.000	19.000
2100000	17.600	4.348	1.000	21.000	19.000
