iteration	mean	std_dev	min	max	median
50000	-20.800	0.400	-21.000	-20.000	-21.000
100000	-20.900	0.300	-21.000	-20.000	-21.000
150000	-20.900	0.300	-21.000	-20.000	-21.000
200000	-20.300	0.640	-21.000	-19.000	-20.000
250000	-19.100	1.446	-21.000	-17.000	-19.500
300000	-19.500	1.360	-21.000	-17.000	-20.000
350000	-17.400	2.764	-21.000	-14.000	-18.000
400000	-16.100	3.048	-21.000	-11.000	-15.500
450000	-16.300	2.193	-20.000	-13.000	-15.500
500000	-13.300	5.235	-20.000	-5.000	-15.000
550000	-15.100	4.300	-21.000	-5.000	-15.500
600000	-8.500	3.585	-14.000	-3.000	-8.500
650000	-11.600	3.353	-17.000	-6.000	-12.500
700000	-13.500	2.460	-16.000	-8.000	-14.000
750000	-5.900	8.596	-19.000	6.000	-4.000
800000	-11.600	5.731	-18.000	-2.000	-14.500
850000	-1.800	3.487	-5.000	6.000	-3.000
900000	5.100	6.730	-4.000	15.000	8.000
950000	7.100	2.022	4.000	11.000	6.500
1000000	11.900	3.048	7.000	16.000	12.500
1050000	13.000	3.950	3.000	19.000	14.000
1100000	13.100	3.833	4.000	19.000	13.500
1150000	17.500	2.500	13.000	20.000	18.500
1200000	17.200	2.713	10.000	20.000	17.500
1250000	18.100	1.868	15.000	20.000	19.000
1300000	17.000	2.408	13.000	21.000	17.000
1350000	16.900	2.256	13.000	19.000	18.000
1400000	19.100	1.136	17.000	21.000	19.000
1450000	16.400	2.728	11.000	21.000	16.500
1500000	18.800	1.833	16.000	21.000	18.500
1550000	16.000	2.191	11.000	19.000	17.000
1600000	18.300	1.100	17.000	20.000	18.000
1650000	19.400	0.800	18.000	21.000	19.000
1700000	19.300	1.735	16.000	21.000	19.500
1750000	18.200	1.327	16.000	20.000	18.500
1800000	17.800	1.536	15.000	20.000	17.000
1850000	18.600	0.800	17.000	20.000	19.000
1900000	17.700	2.410	13.000	21.000	18.500
1950000	18.100	1.044	16.000	19.000	18.500
2000000	19.400	1.114	17.000	21.000	20.000
2050000	18.600	1.855	15.000	21.000	18.500
2100000	18.600	1.855	15.000	21.000	18.500
2150000	17.900	2.022	15.000	20.000	18.000
2200000	19.200	0.980	18.000	21.000	19.000
2250000	19.100	1.578	16.000	21.000	19.500
2300000	19.500	1.360	17.000	21.000	20.000
2350000	18.700	1.345	17.000	21.000	18.500
2400000	18.900	2.256	15.000	21.000	20.000
2450000	17.900	2.119	15.000	21.000	19.000
2500000	18.400	1.281	16.000	20.000	19.000
2550000	19.100	1.375	16.000	21.000	19.500
2600000	18.900	1.044	17.000	21.000	19.000
2650000	18.900	2.022	16.000	21.000	19.000
2700000	17.600	2.059	14.000	20.000	17.500
2750000	17.400	1.685	15.000	20.000	17.000
2800000	18.800	1.536	16.000	21.000	19.000
2850000	18.600	1.356	16.000	21.000	19.000
2900000	18.400	1.562	16.000	20.000	18.500
2950000	18.100	1.375	15.000	20.000	18.500
3000000	19.000	1.483	16.000	21.000	19.000
3050000	19.200	1.166	17.000	21.000	19.500
3100000	17.500	3.528	8.000	21.000	18.500
3150000	17.600	1.497	15.000	20.000	17.500
3200000	18.800	0.980	18.000	21.000	18.500
3250000	18.700	1.269	16.000	21.000	19.000
3300000	18.000	2.236	12.000	20.000	18.000
3350000	19.100	1.640	15.000	21.000	19.000
3400000	19.200	1.249	16.000	21.000	19.000
3450000	18.700	2.283	12.000	20.000	19.000
3500000	19.100	1.375	16.000	21.000	19.500
3550000	19.000	1.183	17.000	21.000	19.000
3600000	18.500	1.565	16.000	21.000	18.500
3650000	19.700	1.005	18.000	21.000	20.000
3700000	18.000	1.549	15.000	20.000	18.000
3750000	19.600	1.428	17.000	21.000	20.000
3800000	18.000	1.732	15.000	21.000	18.000
3850000	19.000	2.049	15.000	21.000	20.000
3900000	17.700	2.100	15.000	20.000	18.500
3950000	18.500	1.803	16.000	21.000	19.000
4000000	18.800	1.400	16.000	21.000	18.500
4050000	18.500	1.857	14.000	21.000	19.000
4100000	19.100	1.700	17.000	21.000	19.000
4150000	19.600	1.562	16.000	21.000	20.000
