iteration	mean	std_dev	min	max	median
250000	-20.752	0.585	-21.000	-19.000	-21.000
500000	-20.754	1.355	-21.000	1.000	-21.000
750000	-19.948	0.967	-21.000	-14.000	-20.000
1000000	-18.023	1.797	-21.000	-9.000	-18.000
1250000	-16.257	3.225	-21.000	-8.000	-17.000
1500000	-13.198	3.379	-19.000	-5.000	-13.000
1750000	-12.093	4.782	-19.000	8.000	-13.000
2000000	-14.357	4.565	-21.000	-3.000	-14.000
2250000	-10.927	7.026	-20.000	4.000	-10.500
2500000	-6.000	6.691	-15.000	13.000	-7.000
2750000	8.339	12.490	-16.000	21.000	14.000
3000000	12.078	11.648	-15.000	21.000	18.000
3250000	10.365	13.669	-19.000	21.000	20.000
3500000	18.368	5.839	-15.000	21.000	20.000
3750000	14.325	9.582	-18.000	21.000	20.000
4000000	18.772	3.698	-6.000	21.000	20.000
4250000	18.357	4.591	-15.000	21.000	20.000
4500000	18.073	5.141	-14.000	21.000	20.000
4750000	17.216	10.332	-21.000	21.000	21.000
5000000	20.117	1.116	14.000	21.000	20.000
5250000	17.268	8.416	-19.000	21.000	20.000
5500000	17.660	9.332	-21.000	21.000	21.000
5750000	18.993	4.207	-3.000	21.000	20.000
6000000	19.815	2.142	-1.000	21.000	20.000
6250000	19.911	1.984	11.000	21.000	21.000
6500000	18.567	2.866	9.000	21.000	20.000
6750000	19.768	1.212	15.000	21.000	20.000
7000000	19.863	1.272	16.000	21.000	20.000
7250000	19.623	2.133	12.000	21.000	21.000
7500000	20.161	1.272	16.000	21.000	21.000
7750000	20.460	0.922	14.000	21.000	21.000
8000000	20.593	0.692	15.000	21.000	21.000
8250000	20.204	1.351	14.000	21.000	21.000
8500000	20.039	1.798	14.000	21.000	21.000
8750000	20.577	0.767	17.000	21.000	21.000
9000000	20.744	0.527	18.000	21.000	21.000
9250000	20.510	1.296	7.000	21.000	21.000
9500000	20.733	0.494	19.000	21.000	21.000
9750000	20.536	0.909	17.000	21.000	21.000
10000000	20.474	0.820	17.000	21.000	21.000
10250000	20.929	0.378	17.000	21.000	21.000
10500000	20.866	0.583	15.000	21.000	21.000
10750000	20.760	1.381	4.000	21.000	21.000
11000000	20.848	0.359	20.000	21.000	21.000
11250000	20.691	0.768	17.000	21.000	21.000
11500000	20.866	0.357	19.000	21.000	21.000
11750000	20.685	0.672	18.000	21.000	21.000
12000000	20.818	0.452	19.000	21.000	21.000
12250000	20.400	0.962	15.000	21.000	21.000
