iteration	mean	std_dev	min	max	median
250000	-20.718	0.464	-21.000	-19.000	-21.000
500000	-20.991	0.094	-21.000	-20.000	-21.000
750000	-20.132	0.512	-21.000	-18.000	-20.000
1000000	-18.649	2.039	-21.000	-9.000	-19.000
1250000	-16.957	2.888	-21.000	-13.000	-18.000
1500000	-12.270	4.536	-19.000	-5.000	-12.000
1750000	-15.719	1.956	-18.000	-11.000	-16.000
2000000	-17.971	2.107	-21.000	-14.000	-18.500
2250000	-17.861	1.273	-20.000	-15.000	-18.000
2500000	-11.500	4.060	-15.000	-1.000	-13.500
2750000	-10.958	3.889	-16.000	-4.000	-10.500
3000000	-10.727	2.926	-15.000	-5.000	-12.000
3250000	-8.222	5.513	-19.000	6.000	-8.000
3500000	-4.400	10.763	-15.000	16.000	-7.000
3750000	0.000	9.238	-18.000	8.000	4.000
4000000	4.333	5.217	-6.000	10.000	6.000
4250000	3.600	9.521	-15.000	11.000	6.000
4500000	0.750	11.562	-14.000	16.000	0.500
4750000	12.000	2.944	7.000	15.000	12.500
5000000	19.344	1.573	15.000	21.000	20.000
5250000	17.080	4.223	8.000	21.000	19.000
5500000	16.613	4.217	7.000	21.000	18.000
5750000	14.091	8.512	-3.000	20.000	18.000
6000000	16.571	7.423	-1.000	21.000	20.000
6250000	13.500	2.754	11.000	19.000	12.000
6500000	17.478	2.164	12.000	20.000	17.000
6750000	19.270	1.855	15.000	21.000	20.000
7000000	18.579	1.444	16.000	21.000	18.000
7250000	15.682	2.493	12.000	21.000	16.000
7500000	18.879	1.887	16.000	21.000	20.000
7750000	20.081	1.302	14.000	21.000	20.000
8000000	20.222	1.872	15.000	21.000	21.000
8250000	19.286	2.211	14.000	21.000	20.000
8500000	19.625	1.654	16.000	21.000	20.000
8750000	20.128	1.202	17.000	21.000	21.000
9000000	20.529	0.555	19.000	21.000	21.000
9250000	20.650	0.614	18.000	21.000	21.000
9500000	20.703	0.609	19.000	21.000	21.000
9750000	20.667	0.745	18.000	21.000	21.000
10000000	20.452	1.011	17.000	21.000	21.000
10250000	20.963	0.189	20.000	21.000	21.000
10500000	20.868	0.825	15.000	21.000	21.000
10750000	20.833	0.874	15.000	21.000	21.000
11000000	20.923	0.266	20.000	21.000	21.000
11250000	20.367	1.190	17.000	21.000	21.000
11500000	20.925	0.264	20.000	21.000	21.000
11750000	20.280	1.001	18.000	21.000	21.000
12000000	20.906	0.351	19.000	21.000	21.000
12250000	19.918	1.275	15.000	21.000	20.000
12500000	20.532	0.614	18.000	21.000	21.000
12750000	20.800	0.490	19.000	21.000	21.000
13000000	20.980	0.139	20.000	21.000	21.000
13250000	20.596	0.491	20.000	21.000	21.000
13500000	20.851	0.356	20.000	21.000	21.000
13750000	20.935	0.247	20.000	21.000	21.000
14000000	20.826	0.433	19.000	21.000	21.000
14250000	20.865	0.341	20.000	21.000	21.000
14500000	20.958	0.286	19.000	21.000	21.000
14750000	20.936	0.244	20.000	21.000	21.000
15000000	20.958	0.200	20.000	21.000	21.000
15250000	20.854	0.353	20.000	21.000	21.000
15500000	20.723	0.493	19.000	21.000	21.000
15750000	20.771	0.510	19.000	21.000	21.000
16000000	20.816	0.387	20.000	21.000	21.000
16250000	20.889	0.314	20.000	21.000	21.000
16500000	20.706	0.497	19.000	21.000	21.000
16750000	20.327	1.014	17.000	21.000	21.000
17000000	20.653	0.517	19.000	21.000	21.000
17250000	20.660	0.512	19.000	21.000	21.000
17500000	20.981	0.136	20.000	21.000	21.000
17750000	20.755	0.472	19.000	21.000	21.000
18000000	20.943	0.231	20.000	21.000	21.000
18250000	20.931	0.314	19.000	21.000	21.000
18500000	18.532	2.457	15.000	21.000	18.000
18750000	20.914	0.281	20.000	21.000	21.000
19000000	20.857	0.398	19.000	21.000	21.000
19250000	20.724	0.581	18.000	21.000	21.000
19500000	20.893	0.309	20.000	21.000	21.000
19750000	20.965	0.184	20.000	21.000	21.000
20000000	20.911	0.285	20.000	21.000	21.000
20250000	20.893	0.309	20.000	21.000	21.000
20500000	20.966	0.182	20.000	21.000	21.000
20750000	20.702	0.457	20.000	21.000	21.000
21000000	20.930	0.255	20.000	21.000	21.000
21250000	20.895	0.447	18.000	21.000	21.000
21500000	20.966	0.182	20.000	21.000	21.000
21750000	20.931	0.253	20.000	21.000	21.000
22000000	20.903	0.530	17.000	21.000	21.000
22250000	20.790	0.407	20.000	21.000	21.000
22500000	19.893	1.566	15.000	21.000	21.000
22750000	19.463	2.529	15.000	21.000	21.000
23000000	20.042	1.428	17.000	21.000	21.000
23250000	20.597	0.659	18.000	21.000	21.000
23500000	19.897	1.768	16.000	21.000	21.000
23750000	20.276	0.961	18.000	21.000	21.000
24000000	20.904	0.354	19.000	21.000	21.000
24250000	20.070	1.936	15.000	21.000	21.000
24500000	20.755	0.546	19.000	21.000	21.000
24750000	20.982	0.131	20.000	21.000	21.000
25000000	20.931	0.253	20.000	21.000	21.000
25250000	20.933	0.249	20.000	21.000	21.000
25500000	20.968	0.175	20.000	21.000	21.000
25750000	20.952	0.213	20.000	21.000	21.000
26000000	20.937	0.244	20.000	21.000	21.000
26250000	20.968	0.177	20.000	21.000	21.000
26500000	20.951	0.216	20.000	21.000	21.000
26750000	20.869	0.383	19.000	21.000	21.000
27000000	21.000	0.000	21.000	21.000	21.000
27250000	20.984	0.127	20.000	21.000	21.000
27500000	20.902	0.298	20.000	21.000	21.000
27750000	20.783	1.050	13.000	21.000	21.000
28000000	20.967	0.178	20.000	21.000	21.000
28250000	20.968	0.175	20.000	21.000	21.000
