iteration	mean	std_dev	min	max	median
250000	291.134	108.503	80.000	640.000	280.000
500000	399.517	142.459	160.000	840.000	380.000
750000	329.871	113.433	120.000	740.000	320.000
1000000	493.736	93.284	200.000	820.000	500.000
1250000	448.436	141.375	180.000	800.000	420.000
1500000	623.282	204.275	240.000	1300.000	600.000
1750000	804.571	375.092	240.000	1760.000	640.000
2000000	1123.930	312.740	360.000	1860.000	1020.000
2250000	1727.812	374.738	740.000	2260.000	1800.000
2500000	2000.670	333.486	760.000	2400.000	2100.000
2750000	2167.709	317.069	1300.000	2500.000	2360.000
3000000	2378.713	266.387	1440.000	2760.000	2440.000
3250000	2546.386	113.223	1740.000	2760.000	2560.000
3500000	2545.509	207.577	1980.000	2900.000	2520.000
3750000	2648.242	165.350	1940.000	2940.000	2600.000
4000000	2654.337	178.479	2380.000	2980.000	2600.000
4250000	2695.301	205.079	2240.000	3020.000	2640.000
4500000	2713.855	231.461	2240.000	3060.000	2660.000
4750000	2716.627	197.510	2280.000	3120.000	2680.000
5000000	2755.879	218.163	2520.000	3160.000	2640.000
5250000	2752.000	218.100	2480.000	3160.000	2660.000
5500000	2794.424	223.022	2540.000	3180.000	2720.000
5750000	2777.333	229.355	2300.000	3160.000	2740.000
6000000	2767.758	219.814	2200.000	3260.000	2740.000
6250000	2698.225	313.588	1960.000	3160.000	2660.000
6500000	2767.665	283.492	2120.000	3240.000	2740.000
6750000	2812.727	250.470	2000.000	3240.000	2800.000
7000000	2755.952	309.358	1980.000	3240.000	2690.000
7250000	2818.313	228.715	2220.000	3220.000	2800.000
7500000	2864.121	224.731	2160.000	3240.000	2880.000
7750000	2876.848	241.007	2240.000	3220.000	2940.000
8000000	2894.578	274.045	1600.000	3220.000	3020.000
8250000	2925.697	267.802	2300.000	3260.000	3080.000
8500000	2940.000	239.170	2480.000	3240.000	3060.000
8750000	2992.485	287.673	2420.000	3380.000	3140.000
9000000	3055.879	343.681	2480.000	3500.000	3200.000
9250000	3080.242	335.669	2560.000	3480.000	3180.000
9500000	3080.848	354.977	2600.000	3520.000	3180.000
9750000	3089.576	357.022	2400.000	3520.000	3180.000
10000000	3096.848	348.517	2580.000	3520.000	3200.000
10250000	2868.377	919.779	1260.000	6070.000	2680.000
10500000	3796.306	1771.039	2160.000	12340.000	3160.000
10750000	3954.052	1999.607	2560.000	11130.000	3160.000
11000000	3512.189	2778.686	1000.000	14610.000	2660.000
11250000	5806.264	4483.513	0.000	16620.000	2720.000
11500000	5820.556	4916.901	0.000	20990.000	2700.000
11750000	3914.780	3152.790	1360.000	18310.000	2680.000
12000000	5048.723	4019.026	1540.000	19040.000	2940.000
12250000	5173.721	3339.094	2540.000	18070.000	3560.000
12500000	7220.424	6108.644	2300.000	28140.000	3870.000
12750000	6865.169	5403.149	2580.000	27860.000	5380.000
13000000	7016.471	5741.057	2580.000	28260.000	5000.000
13250000	7441.754	6099.604	2560.000	29180.000	4600.000
13500000	7610.182	5937.993	2420.000	25020.000	3670.000
13750000	7949.091	6740.702	2160.000	28570.000	3990.000
14000000	8694.679	8181.145	2660.000	35730.000	2720.000
14250000	8294.128	7211.842	2620.000	28470.000	2720.000
14500000	8114.273	6831.212	2600.000	32820.000	4370.000
14750000	8869.533	8692.773	2560.000	45700.000	2700.000
15000000	8345.856	8116.978	2040.000	51260.000	4980.000
15250000	8537.692	7973.753	2560.000	38410.000	2720.000
15500000	8154.038	6954.120	2640.000	27840.000	2720.000
15750000	7975.472	7417.229	2280.000	37760.000	2720.000
16000000	8688.077	8540.096	2580.000	45210.000	2950.000
16250000	9671.698	9587.865	1720.000	38400.000	2720.000
