iteration	mean	std_dev	min	max	median
250000	0.345	0.633	0.000	2.000	0.000
500000	0.057	0.327	0.000	5.000	0.000
750000	14.062	5.484	8.000	34.000	13.000
1000000	18.522	4.838	10.000	37.000	18.000
1250000	24.278	8.240	9.000	48.000	22.000
1500000	34.430	14.336	9.000	73.000	34.000
1750000	58.309	17.414	26.000	97.000	59.000
2000000	62.737	23.124	15.000	192.000	59.000
2250000	83.012	28.478	35.000	254.000	83.000
2500000	104.122	49.001	51.000	302.000	92.000
2750000	101.853	52.218	36.000	345.000	90.000
3000000	134.649	55.861	65.000	301.000	120.000
3250000	144.183	66.169	28.000	315.000	120.000
3500000	215.120	83.460	24.000	372.000	229.000
3750000	280.500	80.972	114.000	390.000	258.000
4000000	406.600	12.109	390.000	421.000	403.000
4250000	380.000	0.000	380.000	380.000	380.000
4500000	391.000	64.000	327.000	455.000	391.000
4750000	410.800	22.569	384.000	442.000	417.000
5000000	418.667	17.613	394.000	434.000	428.000
5250000	389.750	49.862	304.000	428.000	413.500
5500000	411.667	21.013	382.000	428.000	425.000
5750000	382.000	0.000	382.000	382.000	382.000
6000000	436.667	19.737	411.000	459.000	440.000
6250000	428.000	0.000	428.000	428.000	428.000
6500000	431.000	0.000	431.000	431.000	431.000
6750000	428.000	0.000	428.000	428.000	428.000
7000000	364.000	0.000	364.000	364.000	364.000
7250000	603.500	229.500	374.000	833.000	603.500
7500000	428.000	0.000	428.000	428.000	428.000
7750000	584.500	147.500	437.000	732.000	584.500
8000000	290.000	0.000	290.000	290.000	290.000
8250000	420.000	0.000	420.000	420.000	420.000
8500000	363.000	0.000	363.000	363.000	363.000
8750000	597.000	197.141	394.000	864.000	533.000
9000000	531.500	157.054	423.000	864.000	450.000
9250000	631.500	214.500	417.000	846.000	631.500
9500000	489.000	148.378	361.000	697.000	409.000
9750000	389.000	35.000	354.000	424.000	389.000
10000000	544.000	192.958	389.000	816.000	427.000
10250000	412.667	13.816	394.000	427.000	417.000
10500000	626.500	190.500	436.000	817.000	626.500
10750000	419.333	4.190	415.000	425.000	418.000
11000000	568.750	182.841	333.000	750.000	596.000
11250000	354.500	69.500	285.000	424.000	354.500
11500000	630.250	208.193	414.000	864.000	621.500
11750000	567.000	206.748	408.000	859.000	434.000
12000000	434.750	17.166	420.000	464.000	427.500
12250000	384.000	0.000	384.000	384.000	384.000
12500000	562.667	185.498	431.000	825.000	432.000
12750000	425.000	0.000	425.000	425.000	425.000
13000000	647.000	216.000	431.000	863.000	647.000
13250000	424.000	0.000	424.000	424.000	424.000
13500000	426.500	5.500	421.000	432.000	426.500
13750000	353.000	0.000	353.000	353.000	353.000
14000000	415.333	20.072	387.000	431.000	428.000
14250000	678.333	226.133	360.000	864.000	811.000
14500000	357.000	0.000	357.000	357.000	357.000
14750000	572.000	206.482	424.000	864.000	428.000
15000000	599.667	202.993	369.000	863.000	567.000
15250000	406.500	29.500	377.000	436.000	406.500
15500000	745.000	0.000	745.000	745.000	745.000
15750000	380.000	0.000	380.000	380.000	380.000
16000000	414.333	21.484	384.000	431.000	428.000
16250000	643.000	212.000	431.000	855.000	643.000
16500000	431.000	0.000	431.000	431.000	431.000
16750000	532.667	197.664	349.000	807.000	442.000
17000000	403.000	0.000	403.000	403.000	403.000
17250000	425.000	1.414	424.000	427.000	424.000
17500000	420.000	0.000	420.000	420.000	420.000
17750000	639.500	215.500	424.000	855.000	639.500
18000000	681.333	190.804	418.000	864.000	762.000
18250000	397.333	31.351	353.000	420.000	419.000
18500000	424.000	0.000	424.000	424.000	424.000
18750000	425.500	5.500	420.000	431.000	425.500
19000000	428.667	1.700	427.000	431.000	428.000
19250000	721.500	181.233	408.000	834.000	822.000
19500000	426.500	4.500	422.000	431.000	426.500
19750000	863.000	0.000	863.000	863.000	863.000
20000000	428.000	0.000	428.000	428.000	428.000
20250000	632.400	150.614	431.000	813.000	619.000
20500000	412.667	28.288	373.000	437.000	428.000
20750000	417.000	11.000	406.000	428.000	417.000
21000000	534.750	169.560	428.000	828.000	441.500
21250000	424.000	0.000	424.000	424.000	424.000
21500000	417.333	24.226	395.000	451.000	406.000
21750000	585.250	160.143	428.000	850.000	531.500
22000000	406.000	0.000	406.000	406.000	406.000
22250000	426.750	267.586	59.000	815.000	416.500
22500000	416.000	0.000	416.000	416.000	416.000
22750000	486.000	134.215	393.000	753.000	426.000
23000000	407.000	0.000	407.000	407.000	407.000
23250000	427.000	0.000	427.000	427.000	427.000
23500000	422.000	0.000	422.000	422.000	422.000
23750000	431.500	1.500	430.000	433.000	431.500
24000000	424.000	0.000	424.000	424.000	424.000
24250000	844.000	0.000	844.000	844.000	844.000
24500000	864.000	0.000	864.000	864.000	864.000
24750000	395.000	0.000	395.000	395.000	395.000
25000000	401.000	0.000	401.000	401.000	401.000
25250000	421.800	11.973	406.000	438.000	427.000
25500000	381.500	39.500	342.000	421.000	381.500
25750000	414.833	16.567	387.000	430.000	423.500
26000000	442.667	30.004	419.000	485.000	424.000
26250000	635.500	210.500	425.000	846.000	635.500
26500000	642.000	214.000	428.000	856.000	642.000
26750000	365.000	0.000	365.000	365.000	365.000
27000000	605.000	234.000	371.000	839.000	605.000
27250000	384.000	0.000	384.000	384.000	384.000
27500000	821.667	42.929	761.000	854.000	850.000
27750000	431.000	0.000	431.000	431.000	431.000
28000000	645.250	218.753	425.000	864.000	646.000
28250000	630.000	228.000	402.000	858.000	630.000
28500000	625.500	234.500	391.000	860.000	625.500
28750000	410.333	24.984	375.000	428.000	428.000
29000000	562.500	138.500	424.000	701.000	562.500
29250000	857.000	0.000	857.000	857.000	857.000
29500000	429.000	0.000	429.000	429.000	429.000
29750000	637.500	219.500	418.000	857.000	637.500
30000000	423.500	4.500	419.000	428.000	423.500
30250000	431.000	0.000	431.000	431.000	431.000
30500000	423.000	0.000	423.000	423.000	423.000
30750000	394.000	0.000	394.000	394.000	394.000
31000000	431.000	0.000	431.000	431.000	431.000
31250000	431.000	0.000	431.000	431.000	431.000
31500000	407.500	9.500	398.000	417.000	407.500
31750000	428.000	0.000	428.000	428.000	428.000
32000000	429.000	2.000	427.000	431.000	429.000
32250000	640.000	196.000	444.000	836.000	640.000
32500000	842.000	0.000	842.000	842.000	842.000
32750000	415.000	0.000	415.000	415.000	415.000
33000000	567.333	209.775	419.000	864.000	419.000
33250000	405.000	0.000	405.000	405.000	405.000
33500000	410.000	11.000	399.000	421.000	410.000
33750000	394.000	0.000	394.000	394.000	394.000
34000000	427.250	10.256	413.000	442.000	427.000
34250000	374.000	64.000	310.000	438.000	374.000
34500000	605.750	246.097	301.000	864.000	629.000
34750000	415.000	0.000	415.000	415.000	415.000
35000000	397.000	0.000	397.000	397.000	397.000
35250000	428.000	0.000	428.000	428.000	428.000
35500000	422.000	0.000	422.000	422.000	422.000
35750000	522.667	143.799	418.000	726.000	424.000
36000000	421.000	0.000	421.000	421.000	421.000
36250000	386.500	55.500	331.000	442.000	386.500
36500000	861.000	0.000	861.000	861.000	861.000
36750000	522.500	197.034	394.000	863.000	416.500
37000000	645.500	218.500	427.000	864.000	645.500
37250000	430.000	0.000	430.000	430.000	430.000
37500000	430.000	0.000	430.000	430.000	430.000
37750000	644.333	211.576	347.000	822.000	764.000
38000000	422.500	8.500	414.000	431.000	422.500
38250000	568.333	199.189	424.000	850.000	431.000
38500000	644.000	219.000	425.000	863.000	644.000
38750000	420.000	4.000	416.000	424.000	420.000
39000000	626.000	194.000	432.000	820.000	626.000
39250000	383.000	0.000	383.000	383.000	383.000
39500000	422.250	7.628	412.000	431.000	423.000
39750000	837.000	0.000	837.000	837.000	837.000
40000000	421.000	10.000	411.000	431.000	421.000
40250000	379.000	0.000	379.000	379.000	379.000
40500000	424.500	3.500	421.000	428.000	424.500
40750000	425.000	0.000	425.000	425.000	425.000
41000000	382.000	0.000	382.000	382.000	382.000
41250000	506.000	110.000	396.000	616.000	506.000
41500000	424.000	0.000	424.000	424.000	424.000
41750000	422.333	5.907	414.000	427.000	426.000
42000000	401.000	30.000	371.000	431.000	401.000
42250000	462.500	35.500	427.000	498.000	462.500
42500000	568.000	196.000	372.000	764.000	568.000
42750000	457.333	63.699	372.000	525.000	475.000
43000000	410.333	11.671	398.000	426.000	407.000
43250000	847.000	12.000	835.000	859.000	847.000
43500000	378.000	49.000	329.000	427.000	378.000
43750000	858.500	5.500	853.000	864.000	858.500
44000000	622.500	194.500	428.000	817.000	622.500
44250000	402.000	0.000	402.000	402.000	402.000
44500000	420.000	0.000	420.000	420.000	420.000
44750000	428.000	0.000	428.000	428.000	428.000
45000000	634.500	214.500	420.000	849.000	634.500
45250000	411.000	0.000	411.000	411.000	411.000
45500000	438.667	18.006	420.000	463.000	433.000
45750000	411.000	0.000	411.000	411.000	411.000
46000000	437.000	9.000	428.000	446.000	437.000
46250000	338.500	148.041	87.000	460.000	403.500
46500000	413.000	0.000	413.000	413.000	413.000
46750000	567.333	210.132	404.000	864.000	434.000
47000000	405.500	3.500	402.000	409.000	405.500
47250000	658.000	182.000	476.000	840.000	658.000
47500000	864.000	0.000	864.000	864.000	864.000
47750000	855.000	10.677	840.000	864.000	861.000
48000000	855.000	0.000	855.000	855.000	855.000
48250000	855.000	0.000	855.000	855.000	855.000
48500000	417.500	7.500	410.000	425.000	417.500
48750000	428.000	0.000	428.000	428.000	428.000
49000000	677.250	182.947	415.000	864.000	715.000
49250000	634.500	229.500	405.000	864.000	634.500
49500000	857.000	0.000	857.000	857.000	857.000
49750000	414.000	16.000	398.000	430.000	414.000
50000000	703.667	166.328	469.000	835.000	807.000
