iteration	mean	std_dev	min	max	median
250000	-21.000	0.000	-21.000	-21.000	-21.000
500000	-20.982	0.134	-21.000	-20.000	-21.000
750000	-20.981	0.138	-21.000	-20.000	-21.000
1000000	-19.554	1.436	-21.000	-15.000	-20.000
1250000	-12.222	4.104	-21.000	-5.000	-12.000
1500000	-14.143	3.461	-20.000	-7.000	-14.000
1750000	-0.152	10.621	-14.000	15.000	-7.000
2000000	-6.545	5.852	-17.000	7.000	-7.000
2250000	-4.812	7.046	-15.000	8.000	-7.500
2500000	-3.909	2.065	-9.000	-1.000	-3.000
2750000	0.074	10.256	-17.000	15.000	5.000
3000000	0.050	15.980	-21.000	16.000	11.500
3250000	15.600	2.939	12.000	20.000	14.000
3500000	13.000	6.557	2.000	18.000	16.000
3750000	15.200	5.115	9.000	20.000	18.000
4000000	13.500	6.238	5.000	21.000	13.000
4250000	9.160	10.449	-10.000	21.000	10.000
4500000	15.618	2.635	13.000	20.000	14.500
4750000	17.429	3.422	13.000	21.000	20.000
5000000	18.548	1.854	16.000	21.000	18.000
5250000	20.755	0.472	19.000	21.000	21.000
5500000	20.692	0.462	20.000	21.000	21.000
5750000	20.982	0.132	20.000	21.000	21.000
6000000	20.945	0.227	20.000	21.000	21.000
6250000	20.927	0.260	20.000	21.000	21.000
6500000	20.952	0.215	20.000	21.000	21.000
6750000	20.965	0.184	20.000	21.000	21.000
7000000	20.965	0.184	20.000	21.000	21.000
7250000	20.908	0.289	20.000	21.000	21.000
7500000	20.941	0.235	20.000	21.000	21.000
7750000	20.925	0.398	18.000	21.000	21.000
8000000	20.925	0.314	19.000	21.000	21.000
8250000	20.925	0.263	20.000	21.000	21.000
8500000	20.955	0.207	20.000	21.000	21.000
8750000	20.970	0.170	20.000	21.000	21.000
9000000	20.944	0.231	20.000	21.000	21.000
9250000	20.972	0.164	20.000	21.000	21.000
9500000	20.987	0.114	20.000	21.000	21.000
9750000	20.987	0.114	20.000	21.000	21.000
10000000	20.961	0.195	20.000	21.000	21.000
10250000	20.934	0.248	20.000	21.000	21.000
10500000	20.974	0.160	20.000	21.000	21.000
10750000	20.974	0.159	20.000	21.000	21.000
11000000	20.974	0.160	20.000	21.000	21.000
11250000	20.947	0.223	20.000	21.000	21.000
11500000	20.974	0.160	20.000	21.000	21.000
11750000	21.000	0.000	21.000	21.000	21.000
12000000	20.987	0.114	20.000	21.000	21.000
12250000	20.987	0.114	20.000	21.000	21.000
12500000	20.987	0.114	20.000	21.000	21.000
12750000	20.987	0.114	20.000	21.000	21.000
13000000	21.000	0.000	21.000	21.000	21.000
13250000	20.947	0.223	20.000	21.000	21.000
13500000	20.987	0.114	20.000	21.000	21.000
13750000	21.000	0.000	21.000	21.000	21.000
14000000	20.974	0.160	20.000	21.000	21.000
14250000	20.961	0.195	20.000	21.000	21.000
14500000	20.973	0.162	20.000	21.000	21.000
14750000	20.974	0.160	20.000	21.000	21.000
15000000	20.974	0.160	20.000	21.000	21.000
15250000	20.947	0.223	20.000	21.000	21.000
15500000	20.987	0.114	20.000	21.000	21.000
15750000	20.974	0.160	20.000	21.000	21.000
16000000	20.987	0.114	20.000	21.000	21.000
16250000	21.000	0.000	21.000	21.000	21.000
16500000	20.974	0.160	20.000	21.000	21.000
16750000	20.987	0.113	20.000	21.000	21.000
17000000	20.986	0.119	20.000	21.000	21.000
17250000	20.987	0.113	20.000	21.000	21.000
17500000	20.961	0.195	20.000	21.000	21.000
17750000	20.947	0.276	19.000	21.000	21.000
18000000	20.961	0.194	20.000	21.000	21.000
18250000	20.947	0.223	20.000	21.000	21.000
18500000	20.987	0.114	20.000	21.000	21.000
18750000	20.987	0.114	20.000	21.000	21.000
19000000	20.974	0.160	20.000	21.000	21.000
19250000	21.000	0.000	21.000	21.000	21.000
19500000	21.000	0.000	21.000	21.000	21.000
19750000	20.974	0.160	20.000	21.000	21.000
20000000	20.973	0.163	20.000	21.000	21.000
20250000	21.000	0.000	21.000	21.000	21.000
20500000	21.000	0.000	21.000	21.000	21.000
20750000	21.000	0.000	21.000	21.000	21.000
21000000	20.947	0.223	20.000	21.000	21.000
21250000	20.961	0.195	20.000	21.000	21.000
21500000	20.947	0.223	20.000	21.000	21.000
21750000	20.987	0.114	20.000	21.000	21.000
22000000	20.974	0.160	20.000	21.000	21.000
22250000	20.987	0.114	20.000	21.000	21.000
22500000	20.934	0.248	20.000	21.000	21.000
22750000	21.000	0.000	21.000	21.000	21.000
23000000	21.000	0.000	21.000	21.000	21.000
23250000	20.961	0.195	20.000	21.000	21.000
23500000	20.974	0.160	20.000	21.000	21.000
23750000	20.987	0.114	20.000	21.000	21.000
24000000	20.974	0.160	20.000	21.000	21.000
24250000	20.947	0.223	20.000	21.000	21.000
24500000	20.987	0.114	20.000	21.000	21.000
24750000	21.000	0.000	21.000	21.000	21.000
25000000	20.974	0.160	20.000	21.000	21.000
25250000	20.987	0.114	20.000	21.000	21.000
25500000	20.947	0.223	20.000	21.000	21.000
25750000	20.974	0.160	20.000	21.000	21.000
26000000	20.987	0.114	20.000	21.000	21.000
26250000	21.000	0.000	21.000	21.000	21.000
26500000	21.000	0.000	21.000	21.000	21.000
26750000	20.947	0.223	20.000	21.000	21.000
27000000	20.961	0.195	20.000	21.000	21.000
27250000	21.000	0.000	21.000	21.000	21.000
27500000	20.961	0.253	19.000	21.000	21.000
27750000	20.947	0.223	20.000	21.000	21.000
28000000	21.000	0.000	21.000	21.000	21.000
28250000	20.987	0.114	20.000	21.000	21.000
28500000	20.987	0.114	20.000	21.000	21.000
28750000	20.974	0.160	20.000	21.000	21.000
29000000	21.000	0.000	21.000	21.000	21.000
29250000	20.974	0.160	20.000	21.000	21.000
29500000	20.974	0.160	20.000	21.000	21.000
29750000	20.961	0.195	20.000	21.000	21.000
30000000	21.000	0.000	21.000	21.000	21.000
30250000	20.987	0.114	20.000	21.000	21.000
30500000	21.000	0.000	21.000	21.000	21.000
30750000	20.987	0.114	20.000	21.000	21.000
31000000	20.987	0.114	20.000	21.000	21.000
31250000	20.974	0.159	20.000	21.000	21.000
31500000	20.974	0.160	20.000	21.000	21.000
31750000	20.947	0.223	20.000	21.000	21.000
32000000	20.961	0.195	20.000	21.000	21.000
32250000	20.987	0.113	20.000	21.000	21.000
32500000	21.000	0.000	21.000	21.000	21.000
32750000	20.987	0.114	20.000	21.000	21.000
33000000	20.974	0.160	20.000	21.000	21.000
33250000	20.974	0.160	20.000	21.000	21.000
33500000	20.974	0.160	20.000	21.000	21.000
33750000	21.000	0.000	21.000	21.000	21.000
34000000	20.974	0.160	20.000	21.000	21.000
34250000	21.000	0.000	21.000	21.000	21.000
34500000	20.961	0.195	20.000	21.000	21.000
34750000	20.987	0.114	20.000	21.000	21.000
35000000	20.974	0.160	20.000	21.000	21.000
