iteration	mean	std_dev	min	max	median
250000	251.127	89.585	80.000	520.000	240.000
500000	308.182	98.287	120.000	580.000	300.000
750000	338.632	121.521	80.000	640.000	340.000
1000000	245.655	90.140	60.000	520.000	220.000
1250000	476.235	128.502	160.000	740.000	500.000
1500000	511.667	123.913	220.000	780.000	530.000
1750000	316.316	110.868	120.000	620.000	290.000
2000000	437.660	128.919	120.000	780.000	440.000
2250000	582.424	104.070	240.000	760.000	580.000
2500000	433.333	120.702	180.000	680.000	430.000
2750000	673.438	98.682	400.000	840.000	670.000
3000000	432.667	111.533	180.000	740.000	420.000
3250000	425.618	129.093	120.000	700.000	420.000
3500000	394.945	111.517	140.000	680.000	400.000
3750000	481.622	89.790	300.000	700.000	480.000
4000000	746.102	81.366	500.000	880.000	780.000
4250000	713.443	94.485	460.000	880.000	720.000
4500000	509.474	125.424	200.000	860.000	510.000
4750000	221.589	164.949	0.000	740.000	220.000
5000000	366.542	109.332	140.000	680.000	360.000
5250000	588.571	151.100	220.000	920.000	600.000
5500000	508.049	117.239	160.000	700.000	540.000
5750000	901.846	159.411	540.000	1200.000	900.000
6000000	1153.125	180.285	560.000	1520.000	1190.000
6250000	1062.812	194.514	240.000	1360.000	1060.000
6500000	845.405	220.081	380.000	1240.000	870.000
6750000	505.794	234.166	80.000	1280.000	520.000
7000000	702.041	193.137	180.000	1160.000	680.000
7250000	1542.462	240.909	900.000	2000.000	1520.000
7500000	1465.312	249.430	760.000	1840.000	1520.000
7750000	1432.069	166.834	820.000	1700.000	1480.000
8000000	1342.162	463.495	400.000	3480.000	1300.000
8250000	1455.211	500.965	520.000	3130.000	1440.000
8500000	1110.571	274.158	460.000	1640.000	1130.000
8750000	1917.966	264.759	1200.000	2220.000	2040.000
9000000	2071.428	161.195	1460.000	2280.000	2120.000
9250000	1477.333	517.010	540.000	3920.000	1380.000
9500000	2083.214	100.554	1740.000	2220.000	2120.000
9750000	2020.667	283.854	1020.000	2360.000	2150.000
10000000	1245.000	296.662	600.000	1840.000	1230.000
10250000	1103.939	224.613	480.000	1520.000	1120.000
10500000	2204.210	222.608	1360.000	2380.000	2300.000
10750000	2271.273	115.476	1800.000	2380.000	2300.000
11000000	2053.104	251.631	1180.000	2360.000	2160.000
11250000	1926.721	383.764	640.000	3730.000	1980.000
11500000	1415.429	307.788	420.000	1900.000	1460.000
11750000	1861.905	330.689	880.000	2320.000	1800.000
12000000	1700.323	314.191	1060.000	2440.000	1730.000
12250000	1954.000	259.956	960.000	2280.000	1960.000
12500000	1858.806	432.954	1120.000	3080.000	1840.000
12750000	1664.058	369.984	900.000	2640.000	1660.000
13000000	1858.088	424.490	940.000	3080.000	1820.000
13250000	1535.970	434.460	660.000	3320.000	1500.000
13500000	1617.538	440.413	780.000	2500.000	1540.000
13750000	2449.455	695.166	1000.000	3940.000	2380.000
14000000	2245.000	595.582	1260.000	3980.000	2210.000
14250000	587.723	310.999	40.000	1600.000	580.000
14500000	2547.586	904.411	980.000	4730.000	2600.000
14750000	2804.231	709.738	1500.000	4200.000	2820.000
15000000	3165.800	931.395	1340.000	5480.000	3180.000
15250000	834.950	452.149	340.000	3520.000	720.000
15500000	2109.824	732.457	680.000	4020.000	2120.000
15750000	3192.083	1211.399	1340.000	6590.000	3000.000
16000000	2716.852	766.454	1340.000	4860.000	2660.000
16250000	1919.429	574.075	1020.000	3220.000	1880.000
16500000	2617.966	1141.662	620.000	6280.000	2580.000
16750000	3149.600	762.165	1540.000	5480.000	3010.000
17000000	891.429	552.860	40.000	3620.000	860.000
17250000	1070.233	563.544	380.000	3960.000	980.000
17500000	2250.000	526.537	1420.000	3820.000	2170.000
17750000	94.615	136.301	0.000	900.000	40.000
18000000	1941.970	768.310	400.000	4110.000	1950.000
18250000	1137.714	417.811	400.000	2040.000	1090.000
18500000	654.906	229.192	160.000	1400.000	620.000
18750000	1810.441	705.627	500.000	5330.000	1670.000
19000000	1064.419	617.980	260.000	3500.000	980.000
19250000	1380.000	456.165	440.000	2740.000	1340.000
19500000	3107.931	1248.114	900.000	6960.000	2780.000
19750000	3164.727	1131.134	1340.000	5930.000	3060.000
20000000	2463.077	1003.143	740.000	4970.000	2260.000
20250000	1428.182	704.086	340.000	3260.000	1300.000
20500000	1984.068	714.660	600.000	4320.000	1880.000
20750000	1567.692	434.875	460.000	2940.000	1520.000
21000000	301.722	348.803	20.000	2080.000	160.000
21250000	3589.400	1203.399	1760.000	6710.000	3350.000
21500000	1534.839	456.338	540.000	3000.000	1500.000
21750000	3045.438	1577.185	460.000	7320.000	2600.000
22000000	1332.366	615.905	420.000	3440.000	1200.000
22250000	4109.111	1698.311	1080.000	8470.000	3960.000
22500000	876.863	504.921	40.000	2530.000	750.000
22750000	2340.178	830.741	960.000	4630.000	2210.000
23000000	2120.000	1034.352	580.000	4820.000	1960.000
23250000	2036.290	1021.336	220.000	5070.000	1920.000
23500000	3180.526	1382.311	1080.000	7500.000	2990.000
23750000	1695.882	701.457	400.000	3800.000	1570.000
24000000	3383.962	1587.343	280.000	7870.000	3280.000
24250000	2769.464	1112.575	1340.000	6150.000	2400.000
24500000	1621.127	716.106	580.000	3510.000	1360.000
24750000	1599.452	750.943	460.000	3980.000	1440.000
25000000	3628.431	1276.492	1540.000	6830.000	3360.000
25250000	1373.103	567.915	320.000	2860.000	1300.000
25500000	2457.143	1305.740	640.000	6130.000	2160.000
25750000	2833.585	988.607	1460.000	6060.000	2620.000
26000000	3500.980	910.850	2080.000	5760.000	3380.000
26250000	3436.316	1570.572	1540.000	8730.000	3120.000
26500000	2167.973	1364.227	0.000	5320.000	2200.000
26750000	3251.111	1191.121	1080.000	6890.000	3160.000
27000000	636.667	585.117	40.000	2940.000	400.000
27250000	2639.464	1092.895	1020.000	5440.000	2440.000
27500000	2376.508	1125.608	760.000	5310.000	2080.000
27750000	1549.615	957.181	220.000	4590.000	1420.000
28000000	2247.164	1219.609	800.000	7400.000	2020.000
28250000	3833.019	1742.545	1000.000	7980.000	3500.000
28500000	2138.209	1141.442	0.000	5310.000	2000.000
28750000	3808.039	1575.509	1600.000	7880.000	3480.000
29000000	3816.326	1674.844	1340.000	7420.000	3160.000
29250000	3054.074	1460.411	1180.000	8590.000	2970.000
29500000	3164.340	1430.468	1000.000	7240.000	2860.000
29750000	1946.875	966.197	380.000	4960.000	1730.000
30000000	2868.833	1489.170	480.000	6170.000	2730.000
30250000	2353.623	1373.612	740.000	8690.000	2080.000
30500000	2179.844	1039.503	860.000	5440.000	1870.000
30750000	3999.574	1194.859	1580.000	6830.000	3960.000
31000000	2332.836	1174.843	260.000	5110.000	2080.000
31250000	3725.208	1311.658	820.000	6660.000	3910.000
31500000	1779.578	571.781	720.000	3440.000	1700.000
31750000	2308.095	921.906	720.000	5000.000	2140.000
32000000	1651.015	643.924	620.000	4660.000	1540.000
32250000	2004.084	999.863	240.000	4840.000	1740.000
32500000	2825.625	1353.343	680.000	7160.000	2680.000
32750000	830.408	330.840	240.000	1640.000	820.000
33000000	2802.759	1034.268	980.000	5670.000	2590.000
33250000	2638.841	1144.824	260.000	6150.000	2580.000
33500000	3477.091	1747.287	1180.000	8570.000	3040.000
33750000	1482.027	751.104	400.000	3800.000	1260.000
34000000	630.204	314.873	120.000	2060.000	580.000
34250000	3510.000	1308.109	1380.000	7900.000	3360.000
34500000	0.000	0.000	0.000	0.000	0.000
34750000	867.500	430.616	160.000	2420.000	790.000
35000000	860.833	337.144	120.000	1760.000	860.000
35250000	742.772	265.688	260.000	1600.000	720.000
35500000	1045.542	502.642	300.000	2400.000	920.000
35750000	2426.964	1012.089	660.000	7540.000	2220.000
36000000	2853.928	1197.385	60.000	5840.000	2820.000
36250000	3204.902	1125.099	1220.000	6440.000	3120.000
36500000	1461.714	689.138	500.000	4760.000	1360.000
36750000	2173.438	854.984	680.000	4230.000	2100.000
37000000	2689.677	1436.300	560.000	8130.000	2450.000
37250000	1344.638	563.891	580.000	2860.000	1280.000
37500000	2144.286	1151.289	140.000	5690.000	1980.000
37750000	907.111	621.520	100.000	3880.000	770.000
38000000	1777.931	646.110	500.000	3620.000	1750.000
38250000	1844.062	527.224	760.000	3300.000	1900.000
38500000	2082.154	980.360	100.000	4820.000	2080.000
38750000	1357.887	526.998	560.000	3190.000	1220.000
39000000	2508.104	1002.449	960.000	5670.000	2140.000
39250000	2268.308	1277.875	380.000	7400.000	1960.000
