iteration	mean	std_dev	min	max	median
250000	36.957	213.803	0.000	2600.000	0.000
500000	56.204	243.413	0.000	1900.000	0.000
750000	55.941	208.696	0.000	1900.000	0.000
1000000	218.873	457.623	0.000	3000.000	0.000
1250000	225.831	601.892	0.000	3700.000	0.000
1500000	118.325	329.889	0.000	2100.000	0.000
1750000	112.183	370.558	0.000	3600.000	0.000
2000000	34.625	167.700	0.000	1700.000	0.000
2250000	166.838	501.059	0.000	3800.000	0.000
2500000	100.249	415.444	0.000	4200.000	0.000
2750000	170.876	474.290	0.000	2700.000	0.000
3000000	206.522	479.992	0.000	2900.000	0.000
3250000	165.104	468.242	0.000	3400.000	0.000
3500000	90.750	394.765	0.000	3800.000	0.000
3750000	235.616	545.309	0.000	3500.000	0.000
4000000	290.782	626.687	0.000	3200.000	0.000
4250000	326.836	730.558	0.000	3600.000	0.000
4500000	336.856	802.028	0.000	5900.000	0.000
4750000	299.198	749.955	0.000	4300.000	0.000
5000000	395.028	837.569	0.000	3700.000	0.000
5250000	502.769	952.095	0.000	4500.000	0.000
5500000	466.964	911.473	0.000	4100.000	0.000
5750000	623.885	1083.182	0.000	5800.000	0.000
6000000	550.882	1057.035	0.000	5700.000	0.000
6250000	801.829	1279.742	0.000	5000.000	0.000
6500000	953.698	1400.934	0.000	5500.000	0.000
6750000	884.000	1424.183	0.000	5700.000	0.000
7000000	579.355	1011.654	0.000	5600.000	0.000
7250000	437.464	970.625	0.000	5000.000	0.000
7500000	551.594	983.725	0.000	4800.000	0.000
7750000	253.003	687.171	0.000	3900.000	0.000
8000000	740.785	1308.904	0.000	5200.000	0.000
8250000	838.801	1267.966	0.000	5400.000	0.000
8500000	820.783	1365.922	0.000	7200.000	0.000
8750000	507.459	1029.791	0.000	5900.000	0.000
9000000	429.586	817.494	0.000	4000.000	0.000
9250000	848.012	1327.130	0.000	5700.000	0.000
9500000	1234.354	1623.659	0.000	7400.000	200.000
9750000	825.231	1245.266	0.000	5500.000	0.000
10000000	1059.794	1363.263	0.000	5800.000	400.000
10250000	1679.554	1753.634	0.000	6400.000	1200.000
10500000	935.739	1262.611	0.000	4700.000	200.000
10750000	1044.108	1298.137	0.000	5100.000	400.000
11000000	814.557	1173.134	0.000	4800.000	0.000
11250000	1218.288	1182.005	0.000	4500.000	800.000
11500000	999.660	1199.504	0.000	5200.000	400.000
11750000	1453.696	1332.910	0.000	5500.000	1100.000
12000000	897.306	1145.475	0.000	4300.000	200.000
12250000	1236.054	1460.940	0.000	6800.000	650.000
12500000	2000.000	1468.139	0.000	7000.000	1800.000
12750000	1818.487	1428.813	0.000	7000.000	1600.000
13000000	2488.073	1507.122	0.000	7600.000	2400.000
13250000	1818.248	1658.806	0.000	7000.000	1800.000
13500000	2425.000	1351.277	0.000	7700.000	2300.000
13750000	2246.903	1184.791	0.000	6800.000	2200.000
14000000	1643.542	1573.332	0.000	6400.000	1500.000
14250000	2609.957	1435.854	0.000	7600.000	2500.000
14500000	2070.980	1378.014	0.000	6700.000	2100.000
14750000	1353.242	1337.704	0.000	5300.000	1200.000
15000000	1672.941	1439.176	0.000	5500.000	1400.000
15250000	2847.325	1840.363	0.000	8500.000	2900.000
15500000	1939.506	1399.354	0.000	5400.000	2100.000
15750000	1987.179	1191.569	0.000	6100.000	1950.000
16000000	2476.151	1584.647	0.000	7200.000	2400.000
16250000	3260.204	1388.050	0.000	7500.000	3300.000
16500000	2526.214	1459.682	0.000	6800.000	2500.000
16750000	2121.250	1672.849	0.000	7200.000	2050.000
17000000	2943.158	1520.744	0.000	7100.000	2900.000
17250000	1651.515	1623.058	0.000	9500.000	1300.000
17500000	2812.195	1369.671	0.000	6700.000	2800.000
17750000	3017.259	1192.109	0.000	8100.000	3000.000
18000000	2205.785	1678.660	0.000	13300.000	2000.000
18250000	2017.699	1288.906	0.000	5600.000	2000.000
18500000	3127.551	1542.578	0.000	6000.000	3450.000
18750000	2875.214	1986.898	0.000	8100.000	2850.000
19000000	2837.811	1159.629	0.000	5700.000	3000.000
19250000	3341.414	1534.783	0.000	8800.000	3300.000
19500000	2784.649	1990.103	0.000	8900.000	3000.000
19750000	3534.409	1848.888	0.000	9100.000	3650.000
20000000	3174.257	1920.017	0.000	8900.000	3100.000
20250000	3503.535	2024.905	0.000	10400.000	3300.000
20500000	3099.500	2029.520	0.000	9600.000	2800.000
20750000	2915.493	1863.863	0.000	8600.000	2800.000
21000000	2689.340	1681.321	0.000	8300.000	2700.000
21250000	3564.356	2126.545	0.000	9700.000	3450.000
21500000	3330.556	1856.074	0.000	8700.000	3200.000
21750000	2910.698	1880.012	0.000	7900.000	2700.000
22000000	3536.458	1825.035	0.000	8700.000	3200.000
22250000	3092.063	1843.476	0.000	8500.000	3200.000
22500000	3129.730	1631.856	0.000	8500.000	3000.000
22750000	2371.649	1660.633	0.000	7800.000	2300.000
23000000	2742.661	1381.319	0.000	7200.000	2500.000
23250000	2112.440	1321.750	0.000	6100.000	2000.000
