iteration	mean	std_dev	min	max	median
250000	11.695	3.752	4.000	23.000	11.000
500000	20.989	7.912	5.000	49.000	20.000
750000	28.483	22.794	8.000	246.000	25.000
1000000	35.373	21.666	16.000	247.000	32.000
1250000	47.358	27.873	19.000	243.000	42.000
1500000	67.494	53.540	24.000	322.000	53.000
1750000	67.612	45.368	6.000	259.000	65.000
2000000	113.863	78.587	30.000	310.000	81.000
2250000	111.699	82.198	30.000	384.000	85.000
2500000	136.822	93.546	17.000	362.000	100.500
2750000	160.261	98.197	42.000	352.000	113.000
3000000	130.930	93.954	8.000	396.000	101.500
3250000	170.406	105.303	22.000	401.000	132.000
3500000	178.543	98.554	36.000	362.000	146.000
3750000	215.421	117.183	37.000	411.000	238.000
4000000	172.306	110.884	13.000	380.000	115.500
4250000	162.414	103.875	19.000	412.000	141.000
4500000	175.603	105.155	27.000	398.000	146.000
4750000	223.130	114.059	37.000	400.000	203.000
5000000	207.341	120.853	21.000	410.000	178.500
5250000	216.312	118.492	24.000	403.000	242.000
5500000	214.508	128.582	27.000	405.000	236.000
5750000	217.106	123.680	13.000	418.000	231.500
6000000	201.192	117.025	22.000	401.000	183.500
6250000	236.130	120.289	48.000	405.000	267.500
6500000	267.386	103.750	53.000	428.000	294.000
6750000	260.985	117.036	28.000	414.000	297.000
7000000	273.736	107.951	38.000	420.000	311.000
7250000	244.339	129.946	16.000	432.000	307.000
7500000	296.846	103.155	39.000	420.000	334.000
7750000	322.805	100.787	43.000	415.000	360.000
8000000	308.859	101.966	21.000	420.000	350.500
8250000	284.875	105.890	73.000	424.000	333.000
8500000	293.021	116.379	31.000	413.000	337.500
8750000	306.706	109.292	45.000	418.000	352.000
9000000	230.448	143.309	15.000	416.000	296.000
9250000	268.613	132.035	18.000	427.000	324.500
9500000	261.303	125.636	21.000	423.000	309.000
9750000	265.535	118.032	48.000	422.000	312.000
10000000	325.738	83.739	39.000	417.000	350.500
10250000	303.644	102.610	88.000	416.000	352.000
10500000	339.156	87.003	65.000	436.000	372.000
10750000	325.411	88.939	19.000	426.000	346.000
11000000	353.481	75.436	60.000	416.000	373.000
11250000	341.685	89.048	42.000	422.000	373.000
11500000	326.694	95.978	57.000	413.000	358.500
11750000	313.275	107.355	38.000	421.000	359.000
12000000	274.636	114.461	21.000	413.000	318.500
12250000	311.809	105.646	21.000	423.000	342.000
12500000	319.394	79.605	126.000	410.000	352.000
12750000	360.705	48.964	224.000	450.000	370.000
13000000	374.745	44.818	161.000	426.000	383.000
13250000	360.638	100.166	60.000	804.000	382.000
13500000	326.325	85.774	43.000	427.000	355.000
13750000	369.548	50.167	189.000	424.000	382.000
14000000	321.095	89.223	60.000	422.000	356.500
14250000	326.271	80.929	92.000	428.000	354.500
14500000	324.300	86.159	49.000	420.000	352.500
14750000	360.659	71.857	91.000	428.000	385.000
15000000	343.697	77.483	97.000	420.000	361.000
15250000	337.209	82.421	73.000	423.000	365.000
15500000	365.043	75.434	30.000	431.000	385.000
15750000	358.258	123.941	33.000	789.000	379.000
16000000	366.792	80.782	70.000	427.000	399.000
16250000	326.316	102.842	28.000	419.000	368.500
16500000	334.478	85.460	121.000	417.000	378.000
16750000	312.333	78.705	145.000	415.000	326.000
17000000	344.750	59.654	194.000	420.000	368.000
17250000	341.674	86.429	97.000	427.000	371.000
17500000	323.350	102.353	101.000	424.000	369.000
17750000	330.600	110.223	30.000	421.000	372.500
18000000	329.696	96.803	25.000	422.000	369.000
18250000	326.853	109.867	44.000	416.000	371.500
18500000	349.500	80.809	69.000	432.000	377.000
18750000	359.140	70.572	60.000	415.000	379.000
19000000	371.000	62.570	131.000	431.000	396.000
19250000	351.406	55.630	143.000	409.000	361.500
19500000	365.167	57.517	149.000	439.000	381.500
19750000	342.846	78.537	46.000	423.000	376.000
20000000	310.362	124.770	4.000	431.000	361.000
20250000	334.909	87.927	27.000	426.000	365.000
20500000	320.318	109.116	72.000	430.000	357.500
20750000	359.286	76.638	156.000	432.000	385.000
21000000	352.873	66.995	84.000	422.000	374.000
21250000	364.725	88.154	14.000	427.000	395.500
21500000	316.412	105.052	73.000	428.000	357.500
21750000	332.000	94.840	24.000	417.000	375.000
22000000	348.600	82.875	13.000	423.000	373.000
22250000	262.441	138.949	16.000	426.000	317.000
22500000	361.116	69.352	133.000	420.000	389.000
22750000	322.414	92.264	12.000	424.000	355.000
23000000	346.190	72.762	95.000	420.000	373.000
23250000	332.239	85.414	7.000	414.000	358.000
23500000	376.333	44.472	300.000	528.000	381.500
23750000	362.458	67.987	109.000	425.000	384.500
24000000	381.182	45.709	244.000	423.000	398.000
24250000	346.500	93.735	34.000	425.000	389.000
24500000	340.211	85.669	99.000	425.000	382.000
24750000	318.324	101.773	44.000	425.000	355.000
25000000	382.394	46.332	221.000	422.000	398.000
25250000	351.357	77.326	47.000	423.000	382.000
25500000	374.917	45.591	236.000	408.000	384.000
25750000	351.214	92.101	43.000	427.000	382.500
26000000	333.615	95.130	85.000	425.000	373.500
26250000	327.744	79.118	46.000	427.000	349.000
26500000	358.114	57.407	187.000	428.000	375.000
26750000	353.826	90.545	9.000	447.000	377.000
27000000	310.750	121.921	9.000	532.000	340.500
27250000	337.100	75.358	170.000	426.000	364.000
27500000	309.926	120.440	47.000	432.000	370.000
27750000	355.607	79.953	111.000	428.000	382.500
28000000	315.531	113.320	36.000	426.000	366.500
28250000	367.767	75.292	113.000	635.000	381.000
28500000	322.250	84.266	107.000	428.000	351.500
28750000	354.250	36.820	276.000	406.000	352.500
29000000	341.167	86.254	82.000	423.000	374.000
29250000	374.889	56.905	166.000	426.000	394.000
29500000	361.868	73.434	115.000	430.000	388.500
29750000	311.944	129.794	7.000	551.000	370.500
30000000	347.698	82.076	158.000	427.000	375.000
30250000	344.848	68.284	76.000	421.000	361.500
30500000	339.889	76.168	64.000	414.000	365.000
30750000	351.574	76.745	90.000	422.000	381.500
31000000	348.320	79.880	110.000	428.000	373.000
31250000	358.196	64.525	146.000	427.000	384.000
31500000	349.731	93.780	62.000	428.000	384.500
31750000	374.516	50.304	223.000	428.000	392.000
32000000	331.467	92.466	53.000	419.000	356.000
32250000	333.703	83.795	148.000	424.000	361.000
32500000	352.293	76.584	63.000	419.000	380.000
32750000	375.476	68.009	111.000	427.000	395.000
33000000	360.027	72.529	46.000	425.000	385.000
33250000	345.128	85.541	135.000	429.000	388.000
33500000	385.964	42.087	258.000	425.000	400.000
33750000	370.548	79.963	85.000	453.000	398.000
34000000	369.304	70.295	136.000	424.000	402.000
34250000	350.195	96.696	10.000	428.000	377.000
34500000	335.721	107.142	32.000	425.000	379.000
34750000	379.212	61.068	72.000	428.000	395.000
35000000	373.034	76.861	74.000	432.000	401.000
35250000	399.121	90.141	143.000	822.000	396.000
35500000	333.261	99.986	75.000	428.000	383.000
35750000	342.241	83.264	83.000	427.000	373.000
36000000	331.257	98.212	44.000	422.000	374.000
36250000	309.788	104.600	18.000	417.000	356.500
36500000	391.516	34.620	299.000	431.000	402.000
36750000	372.471	50.505	209.000	425.000	389.000
37000000	380.025	47.723	187.000	431.000	398.500
37250000	369.528	85.288	100.000	432.000	397.500
37500000	361.471	78.402	132.000	418.000	390.000
37750000	376.031	62.313	160.000	430.000	394.000
38000000	349.786	91.581	82.000	420.000	380.500
38250000	347.000	82.664	125.000	406.000	376.000
38500000	372.375	61.940	157.000	425.000	391.000
38750000	356.353	88.279	92.000	422.000	391.000
39000000	366.125	49.866	254.000	428.000	381.500
39250000	360.900	60.452	128.000	426.000	374.500
39500000	365.028	80.809	49.000	427.000	387.500
39750000	361.950	70.594	170.000	424.000	396.000
40000000	395.176	21.987	338.000	431.000	399.000
40250000	381.192	68.007	64.000	428.000	402.500
40500000	325.724	110.073	13.000	416.000	378.000
40750000	349.714	61.586	188.000	426.000	362.000
41000000	344.333	67.798	157.000	408.000	368.500
41250000	355.062	64.540	202.000	423.000	376.000
41500000	352.241	86.478	72.000	423.000	389.000
41750000	367.429	31.055	306.000	418.000	372.500
42000000	373.481	59.711	157.000	412.000	395.000
42250000	359.476	79.630	155.000	427.000	393.000
42500000	364.059	72.511	126.000	420.000	392.000
42750000	373.700	52.004	209.000	427.000	386.000
43000000	364.895	42.179	285.000	428.000	365.000
43250000	376.731	55.829	184.000	428.000	394.000
43500000	361.742	84.751	49.000	430.000	385.000
43750000	340.952	69.235	174.000	425.000	355.000
44000000	377.278	36.321	272.000	429.000	387.000
44250000	334.719	83.949	114.000	411.000	375.000
44500000	352.100	81.975	132.000	423.000	389.000
44750000	391.045	48.400	188.000	427.000	402.000
45000000	339.021	111.591	35.000	427.000	386.000
45250000	370.545	53.076	180.000	428.000	386.000
45500000	371.172	79.432	59.000	429.000	398.000
45750000	383.640	50.096	175.000	428.000	399.000
46000000	377.857	47.414	279.000	424.000	403.500
46250000	371.789	47.370	227.000	420.000	383.000
46500000	348.889	100.841	95.000	428.000	390.000
46750000	384.143	30.875	329.000	414.000	393.000
47000000	327.348	75.336	152.000	419.000	346.000
47250000	305.571	100.427	113.000	422.000	344.000
47500000	331.846	102.662	86.000	420.000	382.000
47750000	295.259	94.526	62.000	402.000	325.000
48000000	358.500	26.491	314.000	390.000	357.500
48250000	357.071	58.843	234.000	423.000	378.500
48500000	367.148	62.580	122.000	427.000	395.000
48750000	362.500	61.109	207.000	419.000	380.500
49000000	364.375	70.389	116.000	417.000	395.500
49250000	344.485	83.637	29.000	424.000	373.000
49500000	370.909	55.462	171.000	426.000	383.500
49750000	320.821	133.910	8.000	426.000	374.000
50000000	372.053	54.003	208.000	430.000	395.500
